Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ch_1A_CKDL260002520-1A_23757VLT4_L4_2	95.17114169312813	60.0	150.0	150	27.27272727272727	27.601841
ch_1B_CKDL260002520-1A_2372W3LT4_L5_1	88.41152502510353	60.0	150.0	150	27.27272727272727	1.036448
ch_1B_CKDL260002520-1A_2372W3LT4_L5_2	88.90626457319453	59.0	150.0	150	27.27272727272727	1.036448
ch_1B_CKDL260002520-1A_23757VLT4_L4_1	95.1666294828189	59.0	150.0	150	27.27272727272727	30.971353999999998
ch_1B_CKDL260002520-1A_23757VLT4_L4_2	94.89770509156207	58.0	150.0	150	27.27272727272727	30.971353999999998
ch_1C_CKDL260002520-1A_2372W3LT4_L5_1	89.3771184665162	61.0	150.0	150	36.36363636363637	0.8830089999999999
ch_1C_CKDL260002520-1A_2372W3LT4_L5_2	90.52931510324356	61.0	150.0	150	27.27272727272727	0.8830089999999999
ch_1C_CKDL260002520-1A_23757VLT4_L4_1	95.26217722642632	61.0	150.0	150	27.27272727272727	23.318223999999997
ch_1C_CKDL260002520-1A_23757VLT4_L4_2	95.46053979876028	60.0	150.0	150	27.27272727272727	23.318223999999997
ch_1D_CKDL260002520-1A_2372W3LT4_L5_1	89.27651157494479	61.0	150.0	150	27.27272727272727	0.781602
ch_1D_CKDL260002520-1A_2372W3LT4_L5_2	90.64792567060985	61.0	150.0	150	27.27272727272727	0.781602
ch_1D_CKDL260002520-1A_23757VLT4_L4_1	95.28958036622858	61.0	150.0	150	18.181818181818183	20.822103
ch_1D_CKDL260002520-1A_23757VLT4_L4_2	95.5796279241266	60.0	150.0	150	27.27272727272727	20.822103
ch_2A_CKDL260002520-1A_2372W3LT4_L5_1	88.20908368129525	61.0	150.0	150	18.181818181818183	0.854884
ch_2A_CKDL260002520-1A_2372W3LT4_L5_2	88.82632029608695	61.0	150.0	150	27.27272727272727	0.854884
ch_2A_CKDL260002520-1A_23757VLT4_L4_1	94.04071684140067	60.0	150.0	150	18.181818181818183	21.433079
ch_2A_CKDL260002520-1A_23757VLT4_L4_2	94.2726026173679	60.0	150.0	150	27.27272727272727	21.433079
ch_2B_CKDL260002520-1A_2372W3LT4_L5_1	89.65273833888752	60.0	150.0	150	36.36363636363637	0.7465839999999999
