Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
C1_A_CKDL260002520-1A_2372W3LT4_L5_1	(1, 0.0053296252062201566)	(2, 0.07194994028397211)	(3, 0.0363383536787738)	(4, 0.07885422748293913)	(5, 0.00024225569119182532)	(6, 0.0)	(7, 0.001090150610363214)	(8, 0.0016957898383427774)	(9, 0.0)	(10, 0.00012112784559591266)	(15, 0.0003876091059069205)	(20, 0.0005571880897411983)	(25, 0.020640184889543518)	(30, 0.0017684665457003248)	(35, 0.02085821501161616)	(40, 0.0015019852853893172)	(45, 0.0020591733751305153)	(50, 0.003318902969328007)	(55, 0.0027859404487059914)	(60, 0.004869339392955689)	(65, 0.003222000692851277)	(70, 0.012839551633166742)	(75, 0.0030281961398978163)	(80, 0.0017442409765811425)	(85, 0.0030281961398978163)	(90, 0.0027132637413484436)	(95, 0.0022287523589647933)	(100, 0.014898725008297257)	(105, 0.003391579676685555)	(110, 0.0027859404487059914)	(115, 0.01962271098653785)	(120, 0.0011143761794823966)	(125, 0.011482919762492522)	(130, 0.0007025415044562935)	(135, 0.0016715642692235945)	(140, 0.000775218211813841)	(145, 0.0011386017486015789)	(150, 0.0013324063015550391)
C1_A_CKDL260002520-1A_2372W3LT4_L5_2	(1, 0.07546264780625359)	(2, 0.050752567304687406)	(3, 0.0)	(4, 0.00012112784559591266)	(5, 0.00181691768393869)	(6, 0.0013324063015550391)	(7, 0.0019380455295346026)	(8, 0.0)	(9, 0.0012112784559591267)	(10, 0.0019138199604154201)	(15, 0.0006783159353371109)	(20, 0.0017200154074619597)	(25, 0.002931293863421086)	(30, 0.0030766472781361812)	(35, 0.0022287523589647933)	(40, 0.0011628273177207616)	(45, 0.0012355040250783091)	(50, 0.002810166017825174)	(55, 0.002034947806011333)	(60, 0.003391579676685555)	(65, 0.0013324063015550391)	(70, 0.0034400308149239193)	(75, 0.0045544069944063155)	(80, 0.0032946774002088246)	(85, 0.003343128538447189)	(90, 0.0036096097987581973)	(95, 0.004263700164976126)	(100, 0.0030766472781361812)	(105, 0.002737489310467626)	(110, 0.003464256384043102)	(115, 0.0020591733751305153)	(120, 0.003222000692851277)	(125, 0.0027859404487059914)	(130, 0.002640587033990896)	(135, 0.004191023457618579)	(140, 0.003343128538447189)	(145, 0.0035611586605198324)	(150, 0.004602858132644681)
C1_A_CKDL260002520-1A_23757VLT4_L4_1	(1, 0.0)	(2, 0.07512563462731554)	(3, 5.042327312391136e-06)	(4, 0.0002521163656195568)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017446452500873332)	(10, 0.0)	(15, 0.0)	(20, 3.025396387434681e-06)	(25, 5.9499462286215405e-05)	(30, 0.0)	(35, 0.00036203910102968357)	(40, 0.0001744645250087333)	(45, 0.000199676161570689)	(50, 0.0003963269267539433)	(55, 9.378728801047513e-05)	(60, 0.0)	(65, 0.0)	(70, 1.0084654624782272e-06)	(75, 4.033861849912909e-06)	(80, 0.0001704306631588204)	(85, 0.0)	(90, 0.000377166082966857)	(95, 0.00018757457602095026)	(100, 0.0003670814283420747)	(105, 0.0)	(110, 0.00013110051012216954)	(115, 0.0)	(120, 1.2101585549738725e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0006938242381850203)	(140, 0.0003338020680802932)	(145, 2.0169309249564544e-05)	(150, 0.0)
C1_A_CKDL260002520-1A_23757VLT4_L4_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.000559698331675416)	(9, 6.555025506108477e-05)	(10, 0.00020875235073299306)	(15, 0.0)	(20, 0.0)	(25, 0.007738963959057916)	(30, 2.0169309249564544e-06)	(35, 0.0018142293669983307)	(40, 0.001042753288202487)	(45, 0.0009388813455672295)	(50, 2.7228567486912135e-05)	(55, 0.0)	(60, 0.0002037100234206019)	(65, 1.0084654624782272e-05)	(70, 0.0008329924720070158)	(75, 2.7228567486912135e-05)	(80, 8.571956431064931e-05)	(85, 0.0002823703294939036)	(90, 0.0003600221701047271)	(95, 0.00024304017645725276)	(100, 3.630475664921618e-05)	(105, 0.00030253963874346816)	(110, 0.0005526390734380685)	(115, 0.0007109681510471501)	(120, 1.0084654624782272e-05)	(125, 4.638941127399845e-05)	(130, 0.00016437987038395104)	(135, 4.235554942408554e-05)	(140, 0.0001855576450959938)	(145, 0.0008864411415183617)	(150, 0.0005344866951134604)
C1_B_CKDL260002520-1A_2372W3LT4_L5_1	(1, 0.006246311055427411)	(2, 0.06816626412662087)	(3, 0.04137049496130908)	(4, 0.08771993351752407)	(5, 0.0)	(6, 0.0)	(7, 0.0012673674605215037)	(8, 0.0019010511907822554)	(9, 0.0)	(10, 7.242099774408592e-05)	(15, 0.0006155784808247304)	(20, 0.00038021023815645107)	(25, 0.021382299583941368)	(30, 0.0020458931862704275)	(35, 0.01993387962905965)	(40, 0.002154524682886556)	(45, 0.0026433664176591363)	(50, 0.004146102120848919)	(55, 0.003711576134384403)	(60, 0.006807573787944076)	(65, 0.004001260125360747)	(70, 0.013904831566864496)	(75, 0.004309049365773112)	(80, 0.0024261034244268784)	(85, 0.0037477866332564463)	(90, 0.004146102120848919)	(95, 0.002987366156943544)	(100, 0.01576967225877471)	(105, 0.004797891100545693)	(110, 0.00403747062423279)	(115, 0.019010511907822554)	(120, 0.0015570514514978472)	(125, 0.011786517382849984)	(130, 0.0011949464627774176)	(135, 0.002172629932322578)	(140, 0.0011225254650333318)	(145, 0.0018829459413462338)	(150, 0.00208210368514247)
C1_B_CKDL260002520-1A_2372W3LT4_L5_2	(1, 0.08681467104572299)	(2, 0.0586610081727096)	(3, 0.0)	(4, 0.0)	(5, 0.0019010511907822554)	(6, 0.0012673674605215037)	(7, 0.0028968399097634365)	(8, 0.0)	(9, 0.0011768412133413963)	(10, 0.0022450509300666636)	(15, 0.0010319992178532244)	(20, 0.00195536693909032)	(25, 0.003729681383820425)	(30, 0.003313260646791931)	(35, 0.0025528401704790287)	(40, 0.0012130517122134392)	(45, 0.0013035779593935466)	(50, 0.003295155397355909)	(55, 0.0028425241614553724)	(60, 0.004091786372540855)	(65, 0.0016656829481139761)	(70, 0.004363365114081177)	(75, 0.0057212588217827876)	(80, 0.004127996871412898)	(85, 0.0045625228578774135)	(90, 0.0045625228578774135)	(95, 0.005739364071218809)	(100, 0.0038564181298725753)	(105, 0.0037658918826924677)	(110, 0.004309049365773112)	(115, 0.0028968399097634365)	(120, 0.003928839127616661)	(125, 0.0036029446377682747)	(130, 0.0035305236400241884)	(135, 0.004109891621976876)	(140, 0.004363365114081177)	(145, 0.004091786372540855)	(150, 0.0028063136625833293)
C1_B_CKDL260002520-1A_23757VLT4_L4_1	(1, 0.0)	(2, 0.07723794190736717)	(3, 0.0)	(4, 0.00021750018840953822)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.001808876566939326)	(10, 0.0)	(15, 0.0)	(20, 2.900002512127176e-06)	(25, 6.887505966302042e-05)	(30, 0.0)	(35, 0.0004734254101047615)	(40, 0.00016240014067912185)	(45, 0.00020300017584890234)	(50, 0.0005575254829564496)	(55, 9.932508604035578e-05)	(60, 0.0)	(65, 7.25000628031794e-07)	(70, 7.25000628031794e-06)	(75, 1.8850016328826645e-05)	(80, 0.0001355751174419455)	(85, 1.450001256063588e-06)	(90, 0.0003784503278325965)	(95, 0.0002530252191830961)	(100, 0.0004495003893797123)	(105, 0.0)	(110, 0.00016747514507534442)	(115, 0.0)	(120, 2.175001884095382e-05)	(125, 7.25000628031794e-07)	(130, 0.0)	(135, 0.00084462573165704)	(140, 0.00031972527696202117)	(145, 3.480003014552611e-05)	(150, 0.0)
C1_B_CKDL260002520-1A_23757VLT4_L4_2	(1, 0.0)	(2, 7.25000628031794e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0006561255683687736)	(9, 8.337507222365632e-05)	(10, 0.000271150234883891)	(15, 0.0)	(20, 0.0)	(25, 0.007795931753225882)	(30, 7.25000628031794e-06)	(35, 0.0024084520863216197)	(40, 0.0009874508553793034)	(45, 0.0008279507172123089)	(50, 2.7550023865208172e-05)	(55, 0.0)	(60, 0.00018560016077613927)	(65, 2.2475019468985615e-05)	(70, 0.0008047506971152914)	(75, 3.1175027005367146e-05)	(80, 7.612506594333838e-05)	(85, 0.0002914502524687812)	(90, 0.00033205028763856164)	(95, 0.00021025018212922025)	(100, 4.350003768190764e-05)	(105, 0.00040672535232583645)	(110, 0.0006307505463876608)	(115, 0.0007648756625735427)	(120, 1.2325010676540498e-05)	(125, 3.62500314015897e-05)	(130, 0.00021315018464134744)	(135, 5.4375047102384554e-05)	(140, 0.00016385014193518545)	(145, 0.000777925673878115)	(150, 0.00045675039566003025)
C1_C_CKDL260002520-1A_2372W3LT4_L5_1	(1, 0.006100725233126787)	(2, 0.07132576291075392)	(3, 0.03871324407194036)	(4, 0.08872412746448587)	(5, 7.531759547070108e-05)	(6, 0.0)	(7, 0.0015816695048847227)	(8, 0.0024101630550624345)	(9, 0.0)	(10, 0.0001054446336589815)	(15, 0.0003916514964476456)	(20, 0.000421778534635926)	(25, 0.02099854561723146)	(30, 0.0020185115586147887)	(35, 0.02072740227353694)	(40, 0.0016569871003554238)	(45, 0.0023499089786858736)	(50, 0.004293102941829961)	(55, 0.003148275490675305)	(60, 0.0068237741496455185)	(65, 0.0035248634680288106)	(70, 0.013090198092807849)	(75, 0.004142467750888559)	(80, 0.0023499089786858736)	(85, 0.00350979994893467)	(90, 0.0040520866363237176)	(95, 0.0030729578952046043)	(100, 0.01548529762877614)	(105, 0.004142467750888559)	(110, 0.0035248634680288106)	(115, 0.019311431478687757)	(120, 0.0014009072757550402)	(125, 0.011553719145205544)	(130, 0.0009640652220249738)	(135, 0.0020185115586147887)	(140, 0.0011448274511546563)	(145, 0.0015816695048847227)	(150, 0.0011297639320605162)
C1_C_CKDL260002520-1A_2372W3LT4_L5_2	(1, 0.08292467261324189)	(2, 0.05242104644760796)	(3, 0.0)	(4, 0.0003012703818828043)	(5, 0.0018076222912968261)	(6, 0.0010544463365898152)	(7, 0.0030880214142987444)	(8, 0.0)	(9, 0.000979128741119114)	(10, 0.0020185115586147887)	(15, 0.0009188746647425532)	(20, 0.0019883845204265085)	(25, 0.00350979994893467)	(30, 0.002997640299733903)	(35, 0.0024101630550624345)	(40, 0.0013406531993784792)	(45, 0.0011598909702487965)	(50, 0.002937386223357342)	(55, 0.0023649724977800137)	(60, 0.004021959598135438)	(65, 0.0016720506194495641)	(70, 0.0042027218272651205)	(75, 0.005483120950267038)	(80, 0.003931578483570597)	(85, 0.004262975903641681)	(90, 0.004519055728242065)	(95, 0.005452993912078759)	(100, 0.003976769040853017)	(105, 0.003630308101687792)	(110, 0.0043232299800182415)	(115, 0.002651179360568678)	(120, 0.0035399269871229508)	(125, 0.003554990506217091)	(130, 0.0033591647579932684)	(135, 0.004293102941829961)	(140, 0.004172594789076839)	(145, 0.0037960068117233346)	(150, 0.003690562178064353)
