Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
C1_A_CKDL260002520-1A_2372W3LT4_L5_1	0.7827281382407877	29.582326962816172
C1_A_CKDL260002520-1A_2372W3LT4_L5_2	0.9784707367237825	24.968567324067863
C1_A_CKDL260002520-1A_23757VLT4_L4_1	0.7098033734379878	29.558647107277327
C1_A_CKDL260002520-1A_23757VLT4_L4_2	1.059680380990184	24.99929911650358
C1_B_CKDL260002520-1A_2372W3LT4_L5_1	1.083961283734606	29.396678773043455
C1_B_CKDL260002520-1A_2372W3LT4_L5_2	1.0840518099817862	20.57462440660045
C1_B_CKDL260002520-1A_23757VLT4_L4_1	1.1359273589970746	28.61377378668154
C1_B_CKDL260002520-1A_23757VLT4_L4_2	1.0797180603057697	20.584830456609385
C1_C_CKDL260002520-1A_2372W3LT4_L5_1	1.1326260006884028	30.167483737048197
C1_C_CKDL260002520-1A_2372W3LT4_L5_2	1.09579569650323	22.40909354520675
C1_C_CKDL260002520-1A_23757VLT4_L4_1	1.1819743688862494	29.663105868601146
C1_C_CKDL260002520-1A_23757VLT4_L4_2	1.1474295676302726	22.786807166989124
C1_D_CKDL260002520-1A_2372W3LT4_L5_1	0.9627431984535653	29.33721856386524
C1_D_CKDL260002520-1A_2372W3LT4_L5_2	1.0809323948728256	21.399347994637658
C1_D_CKDL260002520-1A_23757VLT4_L4_1	0.938718581548088	28.582888566406773
C1_D_CKDL260002520-1A_23757VLT4_L4_2	1.1033785361185047	21.159137025223224
C2_A_CKDL260002520-1A_2372W3LT4_L5_1	1.0445932028836251	28.965911431513902
C2_A_CKDL260002520-1A_2372W3LT4_L5_2	0.9959835221421215	21.485684860968075
C2_A_CKDL260002520-1A_23757VLT4_L4_1	1.1015691210518364	28.54484436899136
C2_A_CKDL260002520-1A_23757VLT4_L4_2	1.020336393150945	21.53423967210112
C2_B_CKDL260002520-1A_2372W3LT4_L5_1	0.9852441080603532	28.686610630481088
C2_B_CKDL260002520-1A_2372W3LT4_L5_2	1.0425098564257749	20.117127240394325
C2_B_CKDL260002520-1A_23757VLT4_L4_1	1.0202137489228031	28.105065358961745
C2_B_CKDL260002520-1A_23757VLT4_L4_2	1.0610084889374265	20.365334351063566
C2_C_CKDL260002520-1A_2372W3LT4_L5_1	0.9627581836827794	29.13620949846766
C2_C_CKDL260002520-1A_2372W3LT4_L5_2	1.0973513727909743	20.94139002604914
C2_C_CKDL260002520-1A_23757VLT4_L4_1	1.0211373242780044	29.09565873828563
C2_C_CKDL260002520-1A_23757VLT4_L4_2	1.1275687338329392	20.65329440324333
C2_D_CKDL260002520-1A_2372W3LT4_L5_1	0.9841235721183311	29.27585078077632
C2_D_CKDL260002520-1A_2372W3LT4_L5_2	1.012921185608413	21.7700112647075
C2_D_CKDL260002520-1A_23757VLT4_L4_1	1.0037228728081353	29.126431829935655
C2_D_CKDL260002520-1A_23757VLT4_L4_2	1.046815032636956	21.542803902259674
C3_A_CKDL260002520-1A_2372W3LT4_L5_1	0.7996893082467654	28.748268846068356
C3_A_CKDL260002520-1A_2372W3LT4_L5_2	1.118848551611388	22.038027172501497
C3_A_CKDL260002520-1A_23757VLT4_L4_1	0.8412883029801134	28.536085434081787
C3_A_CKDL260002520-1A_23757VLT4_L4_2	1.156113851394895	20.960918862473942
C3_B_CKDL260002520-1A_2372W3LT4_L5_1	1.032186815503194	29.19038061459221
C3_B_CKDL260002520-1A_2372W3LT4_L5_2	1.1222310815393215	20.943998423652545
C3_B_CKDL260002520-1A_23757VLT4_L4_1	1.0731064632872571	28.667595525705917
C3_B_CKDL260002520-1A_23757VLT4_L4_2	1.1365726833701901	20.773713174908824
C3_C_CKDL260002520-1A_2372W3LT4_L5_1	1.0097849990522756	29.749780392908168
C3_C_CKDL260002520-1A_2372W3LT4_L5_2	1.1071050791910306	21.79562171735803
C3_C_CKDL260002520-1A_23757VLT4_L4_1	1.0427733781371316	29.697548313769875
C3_C_CKDL260002520-1A_23757VLT4_L4_2	1.1205514106022227	21.920195318046737
C3_D_CKDL260002520-1A_2372W3LT4_L5_1	0.9590069444592968	29.385592510449484
C3_D_CKDL260002520-1A_2372W3LT4_L5_2	1.0267334235877783	21.782760545547482
C3_D_CKDL260002520-1A_23757VLT4_L4_1	0.9377538054600765	28.974202517201032
C3_D_CKDL260002520-1A_23757VLT4_L4_2	1.0563394688641434	21.47541033912797
ch_1A_CKDL260002520-1A_2372W3LT4_L5_1	1.0500510725229828	29.948463181353887
ch_1A_CKDL260002520-1A_2372W3LT4_L5_2	1.1955613334571455	22.70127217011793
ch_1A_CKDL260002520-1A_23757VLT4_L4_1	1.0713850572503478	30.024421197122322
ch_1A_CKDL260002520-1A_23757VLT4_L4_2	1.22291480484943	22.790262432132696
ch_1B_CKDL260002520-1A_2372W3LT4_L5_1	1.2536084781870387	36.90353978202476
ch_1B_CKDL260002520-1A_2372W3LT4_L5_2	1.6350072555497235	30.66907360523635
ch_1B_CKDL260002520-1A_23757VLT4_L4_1	1.3497633974930512	35.9698384513638
ch_1B_CKDL260002520-1A_23757VLT4_L4_2	1.9224280604587065	30.176833728354275
ch_1C_CKDL260002520-1A_2372W3LT4_L5_1	1.0155049382282626	31.715192030885305
ch_1C_CKDL260002520-1A_2372W3LT4_L5_2	1.286963100036353	25.079472576157208
ch_1C_CKDL260002520-1A_23757VLT4_L4_1	1.0744729101152815	31.026531008536494
ch_1C_CKDL260002520-1A_23757VLT4_L4_2	1.3129130245939828	25.44420621398954
ch_1D_CKDL260002520-1A_2372W3LT4_L5_1	0.8972597306557558	32.51718905529925
ch_1D_CKDL260002520-1A_2372W3LT4_L5_2	1.3407079306347733	27.585011297309883
ch_1D_CKDL260002520-1A_23757VLT4_L4_1	0.900840803640247	32.24980685188235
ch_1D_CKDL260002520-1A_23757VLT4_L4_2	1.3827517806438667	27.96706941657142
ch_2A_CKDL260002520-1A_2372W3LT4_L5_1	0.9520589927990231	30.2456239676962
ch_2A_CKDL260002520-1A_2372W3LT4_L5_2	1.082719994759523	21.5656159198207
ch_2A_CKDL260002520-1A_23757VLT4_L4_1	0.9551030908811561	29.385913241863197
ch_2A_CKDL260002520-1A_23757VLT4_L4_2	1.1092899904862012	21.66100353570292
ch_2B_CKDL260002520-1A_2372W3LT4_L5_1	1.234154495676307	38.650038039925846
