Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
C1_A_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 2.0)	(14.0, 8.0)	(15.0, 23.0)	(16.0, 51.0)	(17.0, 129.0)	(18.0, 312.0)	(19.0, 622.0)	(20.0, 1008.0)	(21.0, 1581.0)	(22.0, 2425.0)	(23.0, 3045.0)	(24.0, 3221.0)	(25.0, 3136.0)	(26.0, 3123.0)	(27.0, 3322.0)	(28.0, 3569.0)	(29.0, 3960.0)	(30.0, 4489.0)	(31.0, 5266.0)	(32.0, 8537.0)	(33.0, 10413.0)	(34.0, 10235.0)	(35.0, 12701.0)	(36.0, 18931.0)	(37.0, 37166.0)	(38.0, 86104.0)	(39.0, 456588.0)	(40.0, 145607.0)			
C1_A_CKDL260002520-1A_2372W3LT4_L5_2	(10.0, 1.0)	(11.0, 4.0)	(12.0, 30.0)	(13.0, 140.0)	(14.0, 353.0)	(15.0, 669.0)	(16.0, 718.0)	(17.0, 660.0)	(18.0, 627.0)	(19.0, 636.0)	(20.0, 725.0)	(21.0, 809.0)	(22.0, 851.0)	(23.0, 951.0)	(24.0, 1063.0)	(25.0, 1263.0)	(26.0, 1496.0)	(27.0, 1625.0)	(28.0, 2052.0)	(29.0, 2335.0)	(30.0, 3084.0)	(31.0, 3633.0)	(32.0, 4600.0)	(33.0, 5862.0)	(34.0, 8062.0)	(35.0, 11904.0)	(36.0, 18884.0)	(37.0, 37759.0)	(38.0, 91103.0)	(39.0, 479785.0)	(40.0, 143890.0)
C1_A_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 6.0)	(14.0, 46.0)	(15.0, 198.0)	(16.0, 670.0)	(17.0, 3431.0)	(18.0, 12689.0)	(19.0, 27551.0)	(20.0, 54049.0)	(21.0, 115418.0)	(22.0, 148107.0)	(23.0, 126316.0)	(24.0, 87137.0)	(25.0, 57288.0)	(26.0, 45335.0)	(27.0, 40790.0)	(28.0, 41500.0)	(29.0, 48650.0)	(30.0, 62089.0)	(31.0, 96112.0)	(32.0, 170354.0)	(33.0, 193038.0)	(34.0, 225108.0)	(35.0, 319838.0)	(36.0, 524810.0)	(37.0, 1109149.0)	(38.0, 2715488.0)	(39.0, 11510811.0)	(40.0, 2096134.0)			
C1_A_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 1.0)	(11.0, 23.0)	(12.0, 254.0)	(13.0, 1605.0)	(14.0, 5162.0)	(15.0, 8855.0)	(16.0, 9844.0)	(17.0, 9885.0)	(18.0, 9569.0)	(19.0, 9908.0)	(20.0, 11016.0)	(21.0, 12252.0)	(22.0, 13794.0)	(23.0, 15631.0)	(24.0, 18113.0)	(25.0, 22129.0)	(26.0, 26721.0)	(27.0, 33265.0)	(28.0, 44183.0)	(29.0, 58651.0)	(30.0, 82235.0)	(31.0, 110930.0)	(32.0, 152835.0)	(33.0, 185144.0)	(34.0, 241793.0)	(35.0, 339791.0)	(36.0, 573261.0)	(37.0, 1247489.0)	(38.0, 3121547.0)	(39.0, 11722181.0)	(40.0, 1744045.0)
C1_B_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 3.0)	(14.0, 42.0)	(15.0, 84.0)	(16.0, 135.0)	(17.0, 270.0)	(18.0, 487.0)	(19.0, 877.0)	(20.0, 1526.0)	(21.0, 2242.0)	(22.0, 2844.0)	(23.0, 3238.0)	(24.0, 3400.0)	(25.0, 3461.0)	(26.0, 3494.0)	(27.0, 3946.0)	(28.0, 4192.0)	(29.0, 4536.0)	(30.0, 5201.0)	(31.0, 5859.0)	(32.0, 7858.0)	(33.0, 11629.0)	(34.0, 13666.0)	(35.0, 16434.0)	(36.0, 23897.0)	(37.0, 45330.0)	(38.0, 101354.0)	(39.0, 611235.0)	(40.0, 227412.0)			
C1_B_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 6.0)	(12.0, 23.0)	(13.0, 160.0)	(14.0, 502.0)	(15.0, 849.0)	(16.0, 907.0)	(17.0, 840.0)	(18.0, 800.0)	(19.0, 807.0)	(20.0, 867.0)	(21.0, 941.0)	(22.0, 1034.0)	(23.0, 1200.0)	(24.0, 1327.0)	(25.0, 1553.0)	(26.0, 1728.0)	(27.0, 2096.0)	(28.0, 2476.0)	(29.0, 2701.0)	(30.0, 3297.0)	(31.0, 3950.0)	(32.0, 4930.0)	(33.0, 6152.0)	(34.0, 8127.0)	(35.0, 11834.0)	(36.0, 18825.0)	(37.0, 39168.0)	(38.0, 101475.0)	(39.0, 642491.0)	(40.0, 243586.0)	
C1_B_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 16.0)	(14.0, 127.0)	(15.0, 474.0)	(16.0, 1317.0)	(17.0, 5046.0)	(18.0, 19971.0)	(19.0, 50023.0)	(20.0, 79736.0)	(21.0, 116114.0)	(22.0, 133228.0)	(23.0, 112418.0)	(24.0, 80574.0)	(25.0, 58978.0)	(26.0, 52918.0)	(27.0, 52391.0)	(28.0, 54155.0)	(29.0, 61927.0)	(30.0, 77029.0)	(31.0, 101996.0)	(32.0, 175226.0)	(33.0, 251177.0)	(34.0, 303729.0)	(35.0, 430491.0)	(36.0, 683001.0)	(37.0, 1388315.0)	(38.0, 3368476.0)	(39.0, 16471207.0)	(40.0, 3456123.0)			
C1_B_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 1.0)	(11.0, 21.0)	(12.0, 238.0)	(13.0, 1815.0)	(14.0, 5948.0)	(15.0, 9933.0)	(16.0, 11320.0)	(17.0, 10925.0)	(18.0, 10998.0)	(19.0, 11979.0)	(20.0, 13347.0)	(21.0, 15199.0)	(22.0, 17428.0)	(23.0, 19956.0)	(24.0, 23338.0)	(25.0, 27428.0)	(26.0, 31882.0)	(27.0, 38336.0)	(28.0, 46646.0)	(29.0, 55966.0)	(30.0, 74404.0)	(31.0, 92776.0)	(32.0, 127778.0)	(33.0, 166967.0)	(34.0, 244154.0)	(35.0, 373655.0)	(36.0, 656295.0)	(37.0, 1440915.0)	(38.0, 3709192.0)	(39.0, 17024780.0)	(40.0, 3322563.0)
C1_C_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 2.0)	(14.0, 19.0)	(15.0, 63.0)	(16.0, 127.0)	(17.0, 264.0)	(18.0, 479.0)	(19.0, 977.0)	(20.0, 1870.0)	(21.0, 2871.0)	(22.0, 3966.0)	(23.0, 4584.0)	(24.0, 4757.0)	(25.0, 4518.0)	(26.0, 4564.0)	(27.0, 4881.0)	(28.0, 5224.0)	(29.0, 5512.0)	(30.0, 6057.0)	(31.0, 6666.0)	(32.0, 8074.0)	(33.0, 11515.0)	(34.0, 15610.0)	(35.0, 19116.0)	(36.0, 27301.0)	(37.0, 51960.0)	(38.0, 116528.0)	(39.0, 733095.0)	(40.0, 287111.0)			
C1_C_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 8.0)	(12.0, 50.0)	(13.0, 214.0)	(14.0, 595.0)	(15.0, 1018.0)	(16.0, 1030.0)	(17.0, 986.0)	(18.0, 973.0)	(19.0, 959.0)	(20.0, 1027.0)	(21.0, 1132.0)	(22.0, 1274.0)	(23.0, 1428.0)	(24.0, 1603.0)	(25.0, 1729.0)	(26.0, 1967.0)	(27.0, 2329.0)	(28.0, 2701.0)	(29.0, 3241.0)	(30.0, 4054.0)	(31.0, 4782.0)	(32.0, 6197.0)	(33.0, 7795.0)	(34.0, 10604.0)	(35.0, 15514.0)	(36.0, 25219.0)	(37.0, 52285.0)	(38.0, 127266.0)	(39.0, 750479.0)	(40.0, 299252.0)	
C1_C_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 23.0)	(14.0, 142.0)	(15.0, 443.0)	(16.0, 1211.0)	(17.0, 5286.0)	(18.0, 21756.0)	(19.0, 54227.0)	(20.0, 94347.0)	(21.0, 165698.0)	(22.0, 204821.0)	(23.0, 173222.0)	(24.0, 115558.0)	(25.0, 74771.0)	(26.0, 61729.0)	(27.0, 57579.0)	(28.0, 58484.0)	(29.0, 65975.0)	(30.0, 81200.0)	(31.0, 102722.0)	(32.0, 166163.0)	(33.0, 263955.0)	(34.0, 334662.0)	(35.0, 474029.0)	(36.0, 758850.0)	(37.0, 1562984.0)	(38.0, 3838243.0)	(39.0, 20511099.0)	(40.0, 4946994.0)			
C1_C_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 2.0)	(11.0, 44.0)	(12.0, 444.0)	(13.0, 2898.0)	(14.0, 9175.0)	(15.0, 15096.0)	(16.0, 16617.0)	(17.0, 15812.0)	(18.0, 15061.0)	(19.0, 15548.0)	(20.0, 17157.0)	(21.0, 18819.0)	(22.0, 20659.0)	(23.0, 23580.0)	(24.0, 26784.0)	(25.0, 31531.0)	(26.0, 36771.0)	(27.0, 44255.0)	(28.0, 56425.0)	(29.0, 70077.0)	(30.0, 94932.0)	(31.0, 121671.0)	(32.0, 173675.0)	(33.0, 235076.0)	(34.0, 344084.0)	(35.0, 518464.0)	(36.0, 865747.0)	(37.0, 1807748.0)	(38.0, 4501831.0)	(39.0, 20751321.0)	(40.0, 4344869.0)
C1_D_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 1.0)	(14.0, 18.0)	(15.0, 41.0)	(16.0, 83.0)	(17.0, 133.0)	(18.0, 237.0)	(19.0, 508.0)	(20.0, 830.0)	(21.0, 1235.0)	(22.0, 1697.0)	(23.0, 1916.0)	(24.0, 2082.0)	(25.0, 2205.0)	(26.0, 2223.0)	(27.0, 2392.0)	(28.0, 2574.0)	(29.0, 2748.0)	(30.0, 3133.0)	(31.0, 3483.0)	(32.0, 4855.0)	(33.0, 6763.0)	(34.0, 8296.0)	(35.0, 10159.0)	(36.0, 14646.0)	(37.0, 28267.0)	(38.0, 65067.0)	(39.0, 370018.0)	(40.0, 126041.0)			
