	D1	D2	D3	D4	D5	D6	D7	D8	D9
ENSMUSG00000000340	11.176856	12.153766	13.271607	13.643394	12.461526	12.310137	14.095424	14.783017	12.755276
ENSMUSG00000000346	133.324294	126.659553	129.249516	146.010664	143.222891	138.563773	146.7264	155.63235	148.38019
ENSMUSG00000000355	42.174501	39.594347	44.150365	43.306276	38.295922	42.34895	41.873778	42.613099	49.984627
ENSMUSG00000000359	0	0	0	0	0	0	0	0	0
ENSMUSG00000000365	0	0	0	0	0	0	0	0	0
ENSMUSG00000000374	13.495419	13.61773	13.06811	13.703485	14.363898	14.76298	14.641074	15.752919	15.949873
ENSMUSG00000000378	33.396673	30.52844	32.164141	42.046279	47.736791	46.194696	54.256839	48.888373	55.633047
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	19.308103	18.789232	20.416704	25.270476	26.356905	24.055387	24.386147	24.74465	23.686591
ENSMUSG00000000385	0	0.129286	0	0.015231	0	0.035486	0.028745	0.037276	0
ENSMUSG00000000386	0	0	0	0.036164	0	0	0.061171	0.039719	0.013352
ENSMUSG00000000392	0.030531	0	0	0	0	0.017593	0	0	0
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	109.522368	103.422334	107.624825	97.457821	97.455786	93.603765	96.68177	91.014857	94.059402
ENSMUSG00000000402	0	0	0	0	0	0	0	0	0
ENSMUSG00000000409	0.404919	1.20316	0.965285	0.611252	0.088986	0.188232	0.326796	1.177484	0.367089
ENSMUSG00000000411	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	0	0	0	0	0	0	0	0	0
ENSMUSG00000000420	41.385467	40.108612	40.025798	47.339539	48.538295	46.520234	52.435106	53.878861	51.730376
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	31.289002	29.375952	37.571164	19.23508	25.128899	21.865763	16.357387	18.546501	21.421656
ENSMUSG00000000440	9.169081	8.770284	8.142444	8.703567	7.900113	8.016271	8.895252	9.733757	8.72207
ENSMUSG00000000441	26.299343	25.809622	26.155508	29.505281	30.19432	29.997786	29.838974	29.387484	31.789693
ENSMUSG00000000486	0.864807	0.781875	0.596233	0.688633	0.470524	0.457619	0.521539	1.378582	0.592048
ENSMUSG00000000489	3.934957	4.448788	4.554118	5.129443	5.187886	4.583832	7.776758	8.693503	8.157698
ENSMUSG00000000530	0.469522	1.20131	0.651767	0.580621	0.878718	0.402747	0.462874	0.656024	0.577737
ENSMUSG00000000531	22.910521	23.772694	21.672162	17.240958	16.576493	16.88837	13.583617	12.727879	13.08919
ENSMUSG00000000532	6.079822	6.114055	6.328383	5.856452	5.956033	5.802743	6.437823	6.37735	6.99202
ENSMUSG00000000538	6.431366	6.628864	6.78335	11.529306	11.816776	11.21238	13.482685	14.615047	14.627075
ENSMUSG00000000544	0.04787	0	0.068379	0	0.028804	0.151127	0.195863	0.244728	0.098714
ENSMUSG00000000552	35.842304	40.856959	39.765261	40.460915	38.416241	38.018202	44.000347	44.563684	42.919708
ENSMUSG00000000555	74.411734	73.292512	73.546689	68.623029	68.683425	67.611888	80.011148	81.138606	80.716581
ENSMUSG00000000560	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	22.397241	23.418887	24.808493	37.490756	37.458085	42.144271	36.465506	37.147133	36.209175
ENSMUSG00000000562	0	0	0	0	0.045616	0	0	0	0
ENSMUSG00000000563	305.187304	295.944854	310.8586	289.960447	305.430235	295.059097	295.760327	304.128807	295.445327
ENSMUSG00000000567	4.621603	5.003762	4.790685	11.788756	10.576321	10.352829	11.768744	11.68903	12.271386
ENSMUSG00000000568	109.642725	111.068922	102.134398	265.241941	263.477982	271.252675	274.364385	273.397882	270.451065
ENSMUSG00000000579	7.809205	6.345185	7.621457	7.959739	8.32299	6.338042	10.195304	10.316974	9.287685
ENSMUSG00000000581	63.326856	75.465297	74.321026	77.596253	86.392014	79.332598	76.805066	76.429603	82.336843
ENSMUSG00000000594	14.983345	15.168394	14.433591	13.224828	12.651278	12.605753	13.435158	14.307392	14.828581
ENSMUSG00000000600	6.325365	5.986298	6.299724	7.408523	8.02303	7.952634	11.582388	11.424896	11.757124
ENSMUSG00000000605	5.592916	5.39643	5.215745	9.112667	9.261764	8.828759	9.35393	10.042694	8.965938
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	0.016567	0.027389	0	0.011601	0	0	0.108289	0	0.034233
ENSMUSG00000000628	19.523609	20.586548	18.819631	29.241573	28.789057	30.670948	36.055474	38.830089	37.430491
ENSMUSG00000000631	17.900137	17.923838	16.28366	22.069347	21.285118	21.504515	22.42816	24.824277	23.216803
ENSMUSG00000000632	0.021307	0.035189	0.009814	0	0.11097	0.032602	0.030958	0.03272	0.010322
ENSMUSG00000000673	0.148106	0.060306	0.0806	0	0.056539	0	0.028377	0	0.028355
ENSMUSG00000000682	0.10869	0	0	0.145458	0.213526	0	0.110069	0	0.109373
ENSMUSG00000000686	0.865532	0.822155	0.840048	1.28273	1.679073	1.577826	2.17849	1.932179	1.745589
ENSMUSG00000000690	0.058178	0	0	0	0	0.031042	0.029915	0.088947	0
ENSMUSG00000000693	18.219975	16.036901	17.272094	15.691539	16.588238	15.749563	18.824656	18.964775	19.411386
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0.745761	0.990193	1.299171	0.762523	1.142507	0.894775	0.968169	1.488588	1.014478
ENSMUSG00000000708	5.483001	7.092448	5.660225	8.765947	9.033726	9.159572	9.500048	10.147843	10.213058
ENSMUSG00000000711	50.778401	51.717748	51.188377	50.196377	48.789176	47.880472	49.833715	51.784133	50.240549
ENSMUSG00000000724	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	6.227467	6.031062	7.078373	8.719742	11.957195	10.716738	10.676555	14.079162	9.380929
ENSMUSG00000000731	0.168634	0.592966	0.057209	0.184312	0.319501	0.176844	0.550667	0.866594	0.648501
ENSMUSG00000000732	15.803512	16.177506	15.839984	14.411332	16.148204	15.415189	19.393987	19.217519	18.619078
ENSMUSG00000000738	75.804725	68.78021	65.432226	79.102454	72.882937	73.773294	74.649148	68.616073	78.597812
ENSMUSG00000000739	0.517379	0.37912	0.449999	0.477831	0.84927	0.365967	0.733347	0.226207	0.700689
ENSMUSG00000000740	4939.988766	4814.763947	4840.125665	4184.893292	4236.31778	4001.846231	4161.064457	4301.624246	4235.666187
ENSMUSG00000000743	79.644869	78.135435	80.057797	79.819819	84.202906	81.433803	93.074457	91.923182	91.496811
ENSMUSG00000000751	677.929147	654.187716	658.089875	627.549322	617.325326	583.37422	615.041619	618.877165	602.528219
ENSMUSG00000000753	279.252241	284.379687	285.214626	348.102552	369.636907	360.626927	317.047837	305.775168	325.539282
ENSMUSG00000000759	30.958957	29.304624	30.421906	33.836235	34.2786	33.519625	35.341262	37.398152	34.581399
ENSMUSG00000000766	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	12.963362	11.909194	13.978834	11.172938	12.184125	11.839023	11.576843	10.919436	10.501502
ENSMUSG00000000782	7.485569	7.842035	6.827565	7.356132	7.819367	7.385375	8.278212	7.893138	8.231054
ENSMUSG00000000787	62.569167	60.777899	60.582891	101.887736	101.545183	97.282107	99.792546	100.0988	100.938847
ENSMUSG00000000791	0.356658	0.612938	0.366736	0.426093	0.461416	0.589387	1.008164	0.667104	1.14675
ENSMUSG00000000792	0.011826	0	0.011601	0	0.012219	0.038504	0.02441	0.036311	0.048827
ENSMUSG00000000794	1.774016	1.594799	1.204372	2.726728	2.650654	2.762438	3.757417	2.723801	3.41918
ENSMUSG00000000804	12.445184	11.838533	11.959199	12.892322	14.989769	14.240001	14.298872	13.664126	13.659957
ENSMUSG00000000805	0	0	0	0	0	0	0	0	0
ENSMUSG00000000811	7.25939	6.748157	6.603917	13.262445	12.848297	13.346924	13.530196	12.214808	13.759013
ENSMUSG00000000817	0	0	0.054722	0	0	0	0	0	0
ENSMUSG00000000823	4.474612	4.310472	4.252933	5.424268	7.021593	5.001479	6.858445	6.070195	8.166238
ENSMUSG00000000826	30.606808	30.340213	29.916255	32.971192	32.695411	30.916449	26.160319	32.745508	27.657043
ENSMUSG00000000827	85.044429	85.712393	82.787677	77.816548	80.122293	76.980819	73.02184	74.151258	80.056658
ENSMUSG00000000838	42.23485	40.073088	43.718723	52.163094	48.613891	48.192791	49.339053	48.253589	49.50342
ENSMUSG00000000861	0	0	0	0	0	0	0	0	0
ENSMUSG00000000869	0	0	0	0	0	0	0	0	0
ENSMUSG00000000876	17.125062	16.17998	19.838997	15.435642	17.067345	17.512086	18.263892	17.075922	16.894409
ENSMUSG00000000881	16.83638	16.936487	16.796233	17.450527	17.890604	16.831652	18.108438	18.475297	17.632213
ENSMUSG00000000884	19.564366	15.789338	14.06952	16.767976	14.408874	15.450033	14.055556	12.856167	14.91219
ENSMUSG00000000889	0	0	0	0	0.014175	0	0	0	0
ENSMUSG00000000901	32.853573	31.296732	33.141435	31.447267	32.453193	30.683893	30.721259	31.144187	30.410096
ENSMUSG00000000902	57.766556	53.225195	55.060388	62.876261	63.684685	63.015111	67.591692	66.153099	66.844362
ENSMUSG00000000903	0	0	0	0	0	0	0	0	0
ENSMUSG00000000915	14.733674	10.475849	12.311703	11.43857	11.305659	12.508148	10.806847	13.196132	12.846042
ENSMUSG00000000916	8.160147	14.413061	12.136193	13.188706	17.319582	17.872445	12.462865	14.913318	15.401036
ENSMUSG00000000934	13.700978	13.673881	12.6172	13.337334	13.756398	13.821351	13.256131	14.756481	13.095416
ENSMUSG00000000938	18.02241	16.934681	16.50119	15.740469	14.602296	14.77123	14.44626	13.202981	15.21908
ENSMUSG00000000942	5.151199	5.334668	6.255085	4.473146	4.404935	4.827699	4.223801	3.568554	4.485356
