	D1	D2	D3	D4	D5	D6	D7	D8	D9
ENSMUSG00000027708	1713.581	1398.944	1542.104	1337.074	1885.334	1765.024	2001.01	1367.986	2023.013
ENSMUSG00000027709	828	778	835	580.001	796	797.001	805	546	811
ENSMUSG00000027710	1648.831	1512.18	1604.882	1437.945	2005.927	1895.009	2134.161	1526.345	2330.705
ENSMUSG00000027712	10355	9343	10586	9480	12747	11891	13483	9004	13031
ENSMUSG00000027713	24	19	21	28	30	32	22	16	27
ENSMUSG00000027714	606	530.999	614	736	1018	915.999	1077	674	1005
ENSMUSG00000027715	18648	16595	19326	11120.001	14913	13720	14481	9948	14502
ENSMUSG00000027716	0	0	0	0	0	1	0	0	0
ENSMUSG00000027718	0	0	0	0	0	0	1	0	3
ENSMUSG00000027719	0	0	0	0	0	0	0	0	0
ENSMUSG00000027720	0	2.004	0	2.008	3.039	4.066	1.002	4.034	1.002
ENSMUSG00000027722	822.999	697	869	519	729.999	699	552.999	323.999	540.001
ENSMUSG00000027737	294.001	265	300	876	1260	1191	1536	1018	1564
ENSMUSG00000027739	1708	1504	1686	1145	1559.999	1369.001	1757	1250	1732.001
ENSMUSG00000027742	2230	2123.999	2166	1511	2103	1887.001	2295.999	1484	2313
ENSMUSG00000027744	0	0	0	0	0	0	0	0	0
ENSMUSG00000027746	1348.91	1095.625	1253.959	1193.774	1627.918	1517.811	1498.9	1013.726	1496
ENSMUSG00000027748	0	0	0	0	0	0	0	0	0
ENSMUSG00000027750	82	48	60.999	43	42	44.001	54	32	47
ENSMUSG00000027751	2325.999	1990.001	2329.001	1300	1776	1699	1722.999	1194	1835
ENSMUSG00000027752	2290	2035.999	2285.001	1719.001	2387	2280	2483	1659.999	2556
ENSMUSG00000027761	0	0	0	0	0	0	0	0	0
ENSMUSG00000027762	0	0	0	0	0	0	0	0	0
ENSMUSG00000027763	2389.999	2026	2408	2089.998	2894	2614.001	3380.001	2203.999	3253.999
ENSMUSG00000027765	3	5	6	7	10	9	11	6	9
ENSMUSG00000027770	3755	3130	3610	2694	3373	3164	3386.001	2340	3547
ENSMUSG00000027774	1909.999	1594	1876	1590	2124.999	1973	2182	1432	1999
ENSMUSG00000027775	4356	3771	4333	2981	3929	3718	3601	2622	3589
ENSMUSG00000027776	6	7	8	3	10	5	3	2	4
ENSMUSG00000027777	598	499	650.999	481	570	608	663	418	651
ENSMUSG00000027778	2091	1846	1978.999	1897	2514	2322	2709.001	1838	2769.001
ENSMUSG00000027782	6846	5875	7014	4919	6419	5944	6021	4040	6013
ENSMUSG00000027784	534	433	476	633	899	806	971	626	983
ENSMUSG00000027787	1805.001	1493	1852	1840.001	2482.999	2290.999	2735.001	1923.999	2683
ENSMUSG00000027788	1	2	1	2	2	0	0	0	3
ENSMUSG00000027790	10	3	4	4	4	1	10	12	7
ENSMUSG00000027792	641	533	644	548	597	618	748	440	723
ENSMUSG00000027793	0	0	0	0	0	0	0	0	0
ENSMUSG00000027794	0	1	1	0	0	7	1	4	2
ENSMUSG00000027796	989	847	1041	501	813	707	651	426	661
ENSMUSG00000027797	3997.001	3537.999	3975	4779.002	6196	5833	6144.999	3968.001	6212.999
ENSMUSG00000027799	915	789	878	781	1033	895.999	1119	752	1152
ENSMUSG00000027800	5055	4223.001	4945.001	4748.001	6632.001	5985.001	7268.001	4882	7123
ENSMUSG00000027801	0	1	1	1	1	1	6	4	2
ENSMUSG00000027803	4819	4192	4796	4007	5541	5139	5808	3848	5790
ENSMUSG00000027804	2143.001	1803	2051	2109	2883.999	2644.001	2644.999	2000	2652
ENSMUSG00000027805	3988	3513.999	3946	3010	4202	3984	4675.999	2885.999	4645
ENSMUSG00000027806	2514	2361	2504.001	2489	3304.001	2986.999	3647.001	2456.001	3771.999
ENSMUSG00000027808	9357	8271	9614	7147	9399	8466	9153	6312	9151
ENSMUSG00000027809	3529	2926.999	3406	2245	3081.001	2942	2997.999	2138.001	3128.999
ENSMUSG00000027810	4690	4042	4526.999	2671	3665.001	3288	3762.999	2471.999	3567
ENSMUSG00000027811	1324	1216	1353	1119	1538	1462	1638	1112	1708
ENSMUSG00000027820	6	9	7	6	9	10	9	0	10
ENSMUSG00000027822	397	421	424	741	987	857	1247	776	1195
ENSMUSG00000027823	5623.895	4957.934	5493.932	3985.475	5498.879	5187	4981.972	3450	5081.98
ENSMUSG00000027824	13	20	19	14	10	7	19	14	14
ENSMUSG00000027827	81.001	74	74	98	132	105	145	94	116
ENSMUSG00000027828	33191	28971	33083	22496	30760.001	28430	31035	21038	30127
ENSMUSG00000027829	1034	870.001	995.999	803	1074.999	938.998	1025.002	662.001	1004.999
ENSMUSG00000027831	2	3	2	3	7	3	12	4	7
ENSMUSG00000027832	35152	32029	35336	33820	45185	42068	61077	41432	60294
ENSMUSG00000027833	1073	953.001	1126	896.001	1138	1088	1301	872	1325
ENSMUSG00000027834	498	421	499	347	428	408	439	322	432.999
ENSMUSG00000027835	2171	1879.001	2210	1636	2202	2095.001	2414.001	1731.999	2361.998
ENSMUSG00000027840	0	0	0	0	0	2	0	0	1
ENSMUSG00000027843	27	24	32	36	32	53	53	28	49
ENSMUSG00000027845	251.999	246.999	265.001	395.999	509	511.999	682	428	625.999
ENSMUSG00000027848	747	689	700	866	1135	1040	972	638	915
ENSMUSG00000027849	0	0	0	0	0	1	0	0	0
ENSMUSG00000027852	4057	3637	4120.001	2802	3656.999	3463.999	3583	2344	3595.001
ENSMUSG00000027854	1948	1652.001	1816.001	1583	2132	1960	2527.999	1630	2459.999
ENSMUSG00000027855	0	1	0	2	0	2	0	2	1
ENSMUSG00000027857	0	0	0	0	0	0	0	0	0
ENSMUSG00000027858	249	184	248	201	306	269	365	240	369
ENSMUSG00000027859	347	328	391	448	561	519	816	602	789
ENSMUSG00000027860	1640	1508	1692	1086.001	1498	1370	1559	1088	1606.999
ENSMUSG00000027861	7	3	8	2	2	5	10.999	8	15
ENSMUSG00000027863	0	0	1	0	2	3	1	0	0
ENSMUSG00000027864	6902	6105	6677	5172	6973	6714	7361	4798	7305
ENSMUSG00000027865	1230	1127	1249	816	1081	1080	1111	770	1041
ENSMUSG00000027867	0	0	0	0	0	0	0	0	0
ENSMUSG00000027868	580	557	629	563	696	625	749	430	685
ENSMUSG00000027869	0	0	0	0	0	0	0	0	0
ENSMUSG00000027870	0	0	0	0	0	0	0	0	0
ENSMUSG00000027871	0	0	0	0	0	0	0	0	0
ENSMUSG00000027875	1	0	0	0	0	0	0	0	2
