## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D4.sorted.bam --OUTPUT D4.markdup.sorted.bam --METRICS_FILE D4.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 21 12:14:50 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	31407085	5597450	0	0	7989000	1706611	0.254369	59910484

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.043763	19135924	0	20273853
2.0	1.661681	3041279	1392717	2194978
3.0	2.027493	666274	120240	463715
4.0	2.244058	228947	15066	181203
5.0	2.372266	109525	3070	92978
6.0	2.448166	62526	1112	55117
7.0	2.4931	39996	464	35553
8.0	2.519701	27132	254	24068
9.0	2.535449	19309	144	17425
10.0	2.544772	14502	117	13194
11.0	2.550291	11248	62	10110
12.0	2.553559	8861	49	7970
13.0	2.555493	6870	33	6261
14.0	2.556638	5669	22	5211
15.0	2.557316	4672	19	4319
16.0	2.557718	3947	15	3493
17.0	2.557955	3132	13	2963
18.0	2.558096	2820	13	2521
19.0	2.558179	2441	10	2168
20.0	2.558228	2121	4	1931
21.0	2.558258	1832	5	1717
22.0	2.558275	1600	4	1475
23.0	2.558285	1425	2	1317
24.0	2.558291	1261	2	1106
25.0	2.558295	1100	5	960
26.0	2.558297	961	1	897
27.0	2.558298	893	1	814
28.0	2.558299	812	0	749
29.0	2.558299	696	0	650
30.0	2.558299	655	0	611
31.0	2.5583	609	1	532
32.0	2.5583	558	0	523
33.0	2.5583	500	0	457
34.0	2.5583	476	0	398
35.0	2.5583	429	1	383
36.0	2.5583	383	0	357
37.0	2.5583	367	0	345
38.0	2.5583	319	0	308
39.0	2.5583	272	0	242
40.0	2.5583	295	0	256
41.0	2.5583	268	0	266
42.0	2.5583	274	1	212
43.0	2.5583	215	1	214
44.0	2.5583	203	0	187
45.0	2.5583	224	0	198
46.0	2.5583	185	0	173
47.0	2.5583	159	0	155
48.0	2.5583	170	0	135
49.0	2.5583	177	0	175
50.0	2.5583	140	0	123
51.0	2.5583	144	0	122
52.0	2.5583	133	0	115
53.0	2.5583	123	0	109
54.0	2.5583	114	0	114
55.0	2.5583	111	0	106
56.0	2.5583	111	0	95
57.0	2.5583	103	0	90
58.0	2.5583	74	0	77
59.0	2.5583	91	0	81
60.0	2.5583	72	0	64
61.0	2.5583	84	0	75
62.0	2.5583	76	0	65
63.0	2.5583	68	0	61
64.0	2.5583	73	0	66
65.0	2.5583	62	0	61
66.0	2.5583	57	0	57
67.0	2.5583	55	0	46
68.0	2.5583	56	0	55
69.0	2.5583	55	0	50
70.0	2.5583	48	0	35
71.0	2.5583	58	0	46
72.0	2.5583	48	0	46
73.0	2.5583	43	0	41
74.0	2.5583	39	0	44
75.0	2.5583	40	0	44
76.0	2.5583	41	0	39
77.0	2.5583	37	0	34
78.0	2.5583	39	0	38
