## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D9.sorted.bam --OUTPUT D9.markdup.sorted.bam --METRICS_FILE D9.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 21 12:06:17 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	42567204	7487690	0	0	11966311	2691643	0.281116	71837585

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.049557	24246784	0	25942445
2.0	1.629875	4463616	2117447	3274416
3.0	1.950742	1027678	210156	680608
4.0	2.128155	348866	29507	262041
5.0	2.226249	163405	6586	133764
6.0	2.280488	92553	2343	78878
7.0	2.310477	58763	1137	51490
8.0	2.327058	40103	599	35370
9.0	2.336226	28711	393	25499
10.0	2.341296	21689	269	19254
11.0	2.344099	16531	165	14469
12.0	2.345648	12969	127	11676
13.0	2.346505	10360	88	9284
14.0	2.346979	8500	81	7558
15.0	2.347241	6840	44	6121
16.0	2.347386	5856	30	5115
17.0	2.347466	4746	44	4318
18.0	2.34751	4125	33	3770
19.0	2.347535	3665	19	3265
20.0	2.347548	3007	23	2662
21.0	2.347556	2669	20	2460
22.0	2.34756	2357	6	2126
23.0	2.347562	2104	6	1842
24.0	2.347563	1862	9	1711
25.0	2.347564	1689	7	1536
26.0	2.347565	1548	4	1360
27.0	2.347565	1414	6	1236
28.0	2.347565	1236	5	1181
29.0	2.347565	1112	3	1025
30.0	2.347565	998	2	916
31.0	2.347565	943	2	823
32.0	2.347565	863	0	787
33.0	2.347565	763	3	711
34.0	2.347565	763	4	649
35.0	2.347565	635	2	577
36.0	2.347565	606	0	497
37.0	2.347565	583	0	520
38.0	2.347565	550	1	465
39.0	2.347565	495	1	418
40.0	2.347565	412	1	401
41.0	2.347565	376	0	358
42.0	2.347565	381	1	332
43.0	2.347565	352	1	319
44.0	2.347565	323	1	309
45.0	2.347565	310	0	283
46.0	2.347565	309	0	283
47.0	2.347565	279	0	257
48.0	2.347565	259	0	229
49.0	2.347565	243	0	238
50.0	2.347565	248	0	205
51.0	2.347565	230	1	196
52.0	2.347565	208	0	183
53.0	2.347565	197	1	164
54.0	2.347565	174	1	159
55.0	2.347565	173	0	162
56.0	2.347565	172	0	146
57.0	2.347565	154	0	136
58.0	2.347565	153	0	142
59.0	2.347565	146	0	130
60.0	2.347565	129	1	116
61.0	2.347565	143	0	94
62.0	2.347565	101	0	116
63.0	2.347565	117	0	101
64.0	2.347565	120	0	87
65.0	2.347565	84	0	95
66.0	2.347565	90	0	83
67.0	2.347565	85	0	85
68.0	2.347565	79	0	93
69.0	2.347565	101	0	80
70.0	2.347565	92	0	61
71.0	2.347565	75	0	80
72.0	2.347565	80	0	65
73.0	2.347565	86	0	72
74.0	2.347565	68	0	70
75.0	2.347565	68	0	58
76.0	2.347565	62	0	70
77.0	2.347565	72	0	78
78.0	2.347565	74	0	47
79.0	2.347565	55	0	52
80.0	2.347565	60	0	52
81.0	2.347565	45	0	45
82.0	2.347565	61	0	53
83.0	2.347565	54	1	34
84.0	2.347565	54	0	44
85.0	2.347565	45	0	41
86.0	2.347565	38	0	44
87.0	2.347565	46	0	36
88.0	2.347565	36	0	26
89.0	2.347565	40	0	35
90.0	2.347565	40	0	42
91.0	2.347565	44	0	36
92.0	2.347565	33	0	40
93.0	2.347565	34	0	34
94.0	2.347565	36	0	19
95.0	2.347565	38	0	34
96.0	2.347565	35	0	24
97.0	2.347565	27	0	21
98.0	2.347565	28	0	37
99.0	2.347565	25	0	28
100.0	2.347565	35	0	29
101.0	0	23	0	23
102.0	0	26	0	30
103.0	0	27	0	21
104.0	0	22	0	22
105.0	0	28	0	25
106.0	0	16	0	18
107.0	0	34	0	18
108.0	0	21	0	21
109.0	0	26	0	23
110.0	0	22	0	18
111.0	0	18	0	20
112.0	0	18	0	16
113.0	0	24	0	12
114.0	0	18	0	15
115.0	0	14	0	23
116.0	0	23	0	15
117.0	0	12	0	11
118.0	0	21	0	16
119.0	0	19	0	24
120.0	0	20	0	19
121.0	0	11	0	15
122.0	0	15	0	18
123.0	0	22	0	13
124.0	0	15	0	12
125.0	0	18	0	9
126.0	0	12	0	14
127.0	0	19	0	6
128.0	0	9	0	11
129.0	0	18	0	7
130.0	0	12	0	10
131.0	0	7	0	14
132.0	0	13	0	10
133.0	0	8	0	9
134.0	0	8	0	6
135.0	0	12	0	12
136.0	0	11	0	13
137.0	0	8	0	12
138.0	0	7	0	15
139.0	0	6	0	6
140.0	0	10	0	9
