## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D8.sorted.bam --OUTPUT D8.markdup.sorted.bam --METRICS_FILE D8.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 21 10:04:32 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	29043284	4803060	0	0	17789406	1420348	0.612514	12694763

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.013553	6928250	0	7287402
2.0	1.116416	2076643	868967	1921323
3.0	1.126855	836117	123237	753968
4.0	1.127915	421046	29938	380505
5.0	1.128022	244543	11627	221837
6.0	1.128033	156476	5878	142930
7.0	1.128034	106690	3558	97877
8.0	1.128035	76955	2286	70369
9.0	1.128035	57719	1524	53292
10.0	1.128035	44863	1182	41407
11.0	1.128035	35631	803	32952
12.0	1.128035	28966	638	26808
13.0	1.128035	23921	486	21966
14.0	1.128035	20068	371	18524
15.0	1.128035	16788	278	15630
16.0	1.128035	14494	279	13299
17.0	1.128035	12463	214	11772
18.0	1.128035	11177	177	10183
19.0	1.128035	9469	137	9159
20.0	1.128035	8774	127	8057
21.0	1.128035	7736	121	7134
22.0	1.128035	6799	87	6347
23.0	1.128035	6176	75	5811
24.0	1.128035	5620	67	5236
25.0	1.128035	5141	46	4780
26.0	1.128035	4628	52	4375
27.0	1.128035	4275	38	3970
28.0	1.128035	3935	58	3685
29.0	1.128035	3594	40	3350
30.0	1.128035	3397	38	3127
31.0	1.128035	3071	34	2925
32.0	1.128035	2898	22	2760
33.0	1.128035	2729	20	2495
34.0	1.128035	2527	27	2325
35.0	1.128035	2346	12	2209
36.0	1.128035	2122	26	2047
37.0	1.128035	2017	18	1890
38.0	1.128035	1936	17	1781
39.0	1.128035	1848	15	1781
40.0	1.128035	1762	12	1626
41.0	1.128035	1621	14	1469
42.0	1.128035	1529	14	1436
43.0	1.128035	1434	9	1384
44.0	1.128035	1437	9	1355
45.0	1.128035	1316	8	1203
46.0	1.128035	1234	10	1195
47.0	1.128035	1223	6	1181
48.0	1.128035	1148	4	1146
49.0	1.128035	1133	6	1073
50.0	1.128035	1100	8	935
51.0	1.128035	1035	3	915
52.0	1.128035	1023	5	928
53.0	1.128035	914	3	845
54.0	1.128035	861	9	892
55.0	1.128035	839	8	798
56.0	1.128035	822	1	751
57.0	1.128035	755	7	764
58.0	1.128035	785	2	711
59.0	1.128035	742	4	661
60.0	1.128035	678	5	685
61.0	1.128035	623	3	634
62.0	1.128035	687	3	588
63.0	1.128035	631	5	583
64.0	1.128035	567	5	549
65.0	1.128035	593	3	521
66.0	1.128035	574	2	541
67.0	1.128035	505	1	501
68.0	1.128035	547	3	463
69.0	1.128035	496	1	415
70.0	1.128035	488	2	435
71.0	1.128035	444	2	444
72.0	1.128035	425	2	409
73.0	1.128035	433	3	423
74.0	1.128035	433	1	407
75.0	1.128035	436	1	365
76.0	1.128035	379	3	380
77.0	1.128035	361	1	319
78.0	1.128035	374	0	329
79.0	1.128035	342	0	320
80.0	1.128035	341	1	314
81.0	1.128035	353	1	317
82.0	1.128035	307	2	323
83.0	1.128035	320	3	284
84.0	1.128035	301	2	305
85.0	1.128035	271	0	278
86.0	1.128035	281	2	266
87.0	1.128035	282	1	263
88.0	1.128035	285	0	226
89.0	1.128035	257	0	281
90.0	1.128035	287	0	255
91.0	1.128035	258	1	245
92.0	1.128035	272	0	252
93.0	1.128035	228	0	229
94.0	1.128035	226	0	214
95.0	1.128035	251	0	223
96.0	1.128035	227	1	226
97.0	1.128035	198	0	190
98.0	1.128035	213	1	210
99.0	1.128035	229	0	187
100.0	1.128035	203	1	182
101.0	0	203	0	165
102.0	0	206	1	190
103.0	0	202	1	188
104.0	0	176	0	157
105.0	0	179	0	136
106.0	0	178	1	179
107.0	0	174	0	141
108.0	0	169	0	155
109.0	0	158	1	142
110.0	0	143	2	128
111.0	0	136	0	142
112.0	0	128	0	133
113.0	0	148	0	160
114.0	0	139	0	123
115.0	0	123	0	133
116.0	0	145	0	115
117.0	0	144	0	117
118.0	0	124	0	123
119.0	0	117	1	124
120.0	0	125	0	105
121.0	0	131	0	93
122.0	0	123	0	111
123.0	0	114	0	97
124.0	0	96	0	99
125.0	0	103	0	104
126.0	0	109	0	111
127.0	0	92	0	75
128.0	0	117	0	84
129.0	0	92	0	97
130.0	0	102	1	94
131.0	0	82	0	101
132.0	0	102	0	82
133.0	0	88	0	96
134.0	0	89	0	73
135.0	0	119	1	104
136.0	0	82	0	76
137.0	0	89	0	88
138.0	0	93	0	78
139.0	0	77	0	88
140.0	0	83	0	102
141.0	0	88	0	74
142.0	0	85	0	72
143.0	0	62	0	58
144.0	0	76	0	61
145.0	0	80	0	74
146.0	0	79	0	90
147.0	0	82	2	63
148.0	0	70	0	71
149.0	0	81	0	64
150.0	0	67	0	72
151.0	0	71	0	69
152.0	0	64	0	73
153.0	0	65	0	50
154.0	0	67	0	66
155.0	0	67	0	74
156.0	0	66	0	54
157.0	0	65	0	58
158.0	0	75	0	41
159.0	0	61	0	55
160.0	0	60	0	49
161.0	0	55	0	43
162.0	0	64	0	64
163.0	0	62	0	45
164.0	0	51	0	68
165.0	0	47	0	57
166.0	0	64	0	44
167.0	0	51	1	47
168.0	0	47	0	53
169.0	0	53	0	49
170.0	0	39	0	52
171.0	0	41	0	45
172.0	0	56	0	37
173.0	0	50	0	39
174.0	0	48	0	49
175.0	0	57	0	42
176.0	0	65	0	48
177.0	0	51	0	28
178.0	0	39	0	34
179.0	0	45	0	39
180.0	0	33	0	51
181.0	0	39	0	32
182.0	0	44	0	33
183.0	0	34	1	38
184.0	0	35	0	38
185.0	0	42	0	43
186.0	0	31	0	32
187.0	0	40	0	43
188.0	0	29	0	43
189.0	0	32	0	36
190.0	0	28	0	38
191.0	0	40	0	36
192.0	0	40	0	27
193.0	0	33	0	36
194.0	0	45	0	36
195.0	0	46	0	42
196.0	0	37	0	28
197.0	0	45	0	24
198.0	0	37	0	23
199.0	0	25	0	36
200.0	0	32	0	25
201.0	0	34	0	42
202.0	0	23	0	32
203.0	0	31	0	33
204.0	0	33	0	24
205.0	0	41	0	26
206.0	0	35	0	28
207.0	0	33	0	31
208.0	0	29	0	28
209.0	0	27	0	27
210.0	0	28	0	27
211.0	0	30	0	16
212.0	0	32	0	26
213.0	0	29	0	19
214.0	0	24	0	30
215.0	0	20	0	26
216.0	0	26	0	18
217.0	0	38	0	26
218.0	0	20	0	28
219.0	0	31	0	19
220.0	0	19	0	21
221.0	0	23	0	28
222.0	0	23	0	25
223.0	0	32	0	13
224.0	0	28	0	20
225.0	0	19	0	11
226.0	0	18	0	15
227.0	0	18	0	16
228.0	0	21	0	27
229.0	0	23	0	19
230.0	0	22	0	18
231.0	0	21	0	20
232.0	0	18	0	18
233.0	0	18	0	25
234.0	0	22	0	19
235.0	0	24	0	22
236.0	0	12	0	19
237.0	0	19	0	17
238.0	0	17	0	19
239.0	0	26	0	23
240.0	0	20	0	17
241.0	0	16	0	17
242.0	0	12	0	19
243.0	0	21	0	18
244.0	0	20	0	27
245.0	0	21	0	15
246.0	0	19	0	16
247.0	0	20	0	22
248.0	0	21	0	23
249.0	0	15	0	10
250.0	0	22	0	20
251.0	0	14	0	22
252.0	0	24	0	24
253.0	0	15	0	17
254.0	0	12	0	13
255.0	0	20	0	12
256.0	0	21	0	13
257.0	0	19	0	18
258.0	0	15	0	13
259.0	0	23	0	14
260.0	0	23	0	9
261.0	0	16	0	15
262.0	0	18	0	15
263.0	0	13	0	19
264.0	0	16	0	16
265.0	0	12	0	14
266.0	0	19	0	14
267.0	0	21	0	15
268.0	0	15	0	13
269.0	0	17	0	15
270.0	0	9	0	14
271.0	0	7	0	12
272.0	0	17	0	10
273.0	0	13	0	13
274.0	0	16	0	11
275.0	0	11	0	13
276.0	0	16	0	9
277.0	0	18	0	13
278.0	0	9	0	11
279.0	0	12	0	9
280.0	0	9	0	10
281.0	0	19	0	12
282.0	0	14	0	10
283.0	0	8	1	9
284.0	0	14	0	6
285.0	0	14	0	16
286.0	0	7	0	11
287.0	0	8	0	14
288.0	0	17	0	12
289.0	0	18	0	16
290.0	0	17	0	9
291.0	0	8	0	11
292.0	0	11	0	11
293.0	0	6	0	11
294.0	0	8	0	12
295.0	0	10	0	9
296.0	0	8	0	5
297.0	0	9	0	9
298.0	0	12	0	11
299.0	0	13	0	6
300.0	0	4	0	7
301.0	0	16	0	7
302.0	0	10	0	12
303.0	0	11	0	11
304.0	0	13	0	7
305.0	0	5	0	6
306.0	0	9	0	10
307.0	0	10	0	11
308.0	0	8	0	7
309.0	0	8	0	9
310.0	0	15	0	10
311.0	0	6	0	12
312.0	0	9	0	8
313.0	0	7	0	12
314.0	0	10	0	6
315.0	0	12	0	8
316.0	0	15	0	7
317.0	0	5	0	4
318.0	0	6	0	6
319.0	0	14	0	9
320.0	0	8	0	9
321.0	0	6	0	5
322.0	0	6	0	11
323.0	0	15	0	7
324.0	0	8	0	7
325.0	0	11	0	8
326.0	0	8	0	14
327.0	0	4	0	7
328.0	0	13	0	5
329.0	0	8	0	7
330.0	0	5	0	5
331.0	0	4	0	6
332.0	0	6	0	8
333.0	0	4	0	4
334.0	0	5	0	4
335.0	0	8	0	8
336.0	0	13	0	5
337.0	0	8	0	6
338.0	0	9	0	1
339.0	0	10	0	9
340.0	0	7	0	4
341.0	0	7	0	5
342.0	0	5	0	5
343.0	0	4	0	12
344.0	0	8	0	4
345.0	0	7	0	3
346.0	0	2	0	5
347.0	0	3	0	7
348.0	0	10	0	6
349.0	0	4	0	4
350.0	0	9	0	2
351.0	0	5	0	5
352.0	0	2	0	9
353.0	0	5	0	3
354.0	0	10	0	9
355.0	0	2	0	4
356.0	0	3	0	3
357.0	0	5	0	4
358.0	0	4	0	3
359.0	0	7	0	4
360.0	0	6	0	2
361.0	0	4	0	7
362.0	0	2	0	4
363.0	0	4	0	6
364.0	0	9	0	9
365.0	0	5	0	6
366.0	0	2	0	8
367.0	0	4	0	5
368.0	0	3	0	3
369.0	0	5	0	1
370.0	0	4	0	5
371.0	0	4	0	5
372.0	0	3	0	3
373.0	0	8	0	4
374.0	0	8	0	3
375.0	0	8	0	6
376.0	0	6	0	7
377.0	0	4	0	7
378.0	0	6	0	5
379.0	0	2	0	4
380.0	0	3	0	2
381.0	0	8	0	5
382.0	0	5	0	7
383.0	0	5	0	6
384.0	0	4	0	5
385.0	0	4	0	4
386.0	0	3	0	3
387.0	0	7	0	4
388.0	0	2	0	7
389.0	0	4	0	4
390.0	0	4	0	4
391.0	0	5	0	5
392.0	0	12	0	5
393.0	0	4	0	3
394.0	0	5	0	3
395.0	0	3	0	0
396.0	0	3	0	1
397.0	0	4	0	5
398.0	0	9	0	5
399.0	0	3	0	3
400.0	0	3	0	5
401.0	0	3	0	5
402.0	0	2	0	6
403.0	0	7	0	2
404.0	0	3	0	4
405.0	0	4	0	5
406.0	0	0	0	7
407.0	0	2	0	4
408.0	0	7	0	3
409.0	0	4	0	5
410.0	0	4	0	5
411.0	0	4	0	9
412.0	0	5	0	4
413.0	0	4	0	4
414.0	0	2	0	5
415.0	0	2	0	3
416.0	0	4	0	3
417.0	0	10	0	2
418.0	0	5	0	2
419.0	0	4	0	2
420.0	0	3	0	2
421.0	0	8	0	5
422.0	0	5	0	1
423.0	0	4	0	5
424.0	0	2	0	4
425.0	0	5	0	4
426.0	0	3	0	4
427.0	0	5	0	1
428.0	0	8	0	5
429.0	0	7	0	3
430.0	0	2	0	1
431.0	0	5	0	7
432.0	0	4	0	8
433.0	0	4	0	4
434.0	0	3	0	4
435.0	0	5	0	0
436.0	0	4	0	4
437.0	0	4	0	7
438.0	0	0	0	3
439.0	0	2	0	3
440.0	0	2	0	5
441.0	0	2	0	3
442.0	0	2	0	5
443.0	0	2	0	2
444.0	0	2	0	1
445.0	0	4	0	0
446.0	0	4	0	3
447.0	0	3	0	3
448.0	0	3	0	3
449.0	0	3	0	1
450.0	0	5	0	2
451.0	0	5	0	3
452.0	0	2	0	2
453.0	0	5	0	5
454.0	0	5	0	2
455.0	0	3	0	5
456.0	0	3	0	2
457.0	0	4	0	6
458.0	0	8	0	5
459.0	0	4	0	4
460.0	0	2	0	2
461.0	0	4	0	3
462.0	0	4	0	4
463.0	0	4	0	5
464.0	0	2	0	1
465.0	0	1	0	3
466.0	0	5	0	1
467.0	0	2	0	2
468.0	0	3	0	3
469.0	0	1	0	6
470.0	0	2	0	2
471.0	0	3	0	3
472.0	0	2	0	1
473.0	0	2	0	1
