## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT WT_2.sorted.bam --OUTPUT WT_2.markdup.sorted.bam --METRICS_FILE WT_2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE GRCh38.primary_assembly.genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 02 22:28:24 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5862	22550045	16882595	0	3057	5202403	906960	0.230743	47043411

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.032686	14725376	0	15360240
2.0	1.672114	1898707	759249	1404716
3.0	2.06804	358551	57179	254738
4.0	2.313193	128469	7105	108620
5.0	2.464989	66297	1467	60118
6.0	2.558979	40314	459	37239
7.0	2.617177	27048	206	25206
8.0	2.653212	19178	94	18090
9.0	2.675525	14021	57	13123
10.0	2.68934	10808	26	10088
11.0	2.697895	8352	31	7791
12.0	2.703192	6674	12	6392
13.0	2.706472	5485	11	5105
14.0	2.708502	4471	9	4264
15.0	2.70976	3794	5	3555
16.0	2.710538	3156	13	3019
17.0	2.71102	2663	2	2530
18.0	2.711319	2296	3	2112
19.0	2.711504	2055	0	1947
20.0	2.711618	1759	1	1639
21.0	2.711689	1512	2	1421
22.0	2.711733	1360	1	1292
23.0	2.71176	1176	1	1172
24.0	2.711777	1038	0	971
25.0	2.711787	898	1	851
26.0	2.711794	920	0	821
27.0	2.711798	791	1	736
28.0	2.7118	678	0	662
29.0	2.711802	642	2	584
30.0	2.711803	587	0	515
31.0	2.711803	483	0	469
32.0	2.711804	462	0	452
33.0	2.711804	439	0	418
34.0	2.711804	413	0	413
35.0	2.711804	402	0	384
36.0	2.711804	384	0	353
37.0	2.711804	338	0	333
38.0	2.711804	329	0	280
39.0	2.711804	285	0	251
40.0	2.711804	248	0	210
41.0	2.711804	215	0	228
42.0	2.711804	207	0	191
43.0	2.711804	191	0	181
44.0	2.711804	172	0	167
45.0	2.711804	184	1	155
46.0	2.711804	152	0	166
47.0	2.711804	158	0	144
48.0	2.711804	138	0	135
49.0	2.711804	136	0	121
50.0	2.711804	115	0	97
51.0	2.711804	123	0	123
52.0	2.711804	106	0	114
53.0	2.711804	123	0	117
54.0	2.711804	115	0	100
55.0	2.711804	104	0	103
56.0	2.711804	90	0	97
57.0	2.711804	86	0	81
58.0	2.711804	98	0	73
59.0	2.711804	73	0	84
60.0	2.711804	101	0	84
61.0	2.711804	66	0	59
62.0	2.711804	59	0	66
63.0	2.711804	76	0	65
64.0	2.711804	61	0	67
65.0	2.711804	65	0	60
66.0	2.711804	57	0	55
67.0	2.711804	59	0	47
68.0	2.711804	53	0	62
69.0	2.711804	48	0	43
70.0	2.711804	56	0	47
71.0	2.711804	49	0	37
72.0	2.711804	49	0	40
73.0	2.711804	40	0	39
74.0	2.711804	40	0	35
75.0	2.711804	31	0	38
76.0	2.711804	36	0	42
77.0	2.711804	32	0	34
78.0	2.711804	36	0	41
79.0	2.711804	40	0	21
80.0	2.711804	21	0	37
81.0	2.711804	43	0	34
82.0	2.711804	30	0	35
83.0	2.711804	46	0	26
84.0	2.711804	32	0	32
85.0	2.711804	25	0	33
86.0	2.711804	33	0	36
87.0	2.711804	32	0	27
88.0	2.711804	27	0	18
89.0	2.711804	23	0	18
90.0	2.711804	28	0	20
91.0	2.711804	20	0	16
92.0	2.711804	10	0	18
93.0	2.711804	22	0	21
94.0	2.711804	24	0	19
95.0	2.711804	16	0	13
96.0	2.711804	20	0	11
97.0	2.711804	13	0	11
98.0	2.711804	16	0	16
99.0	2.711804	12	0	7
100.0	2.711804	18	0	14
101.0	0	12	0	11
102.0	0	13	0	19
103.0	0	12	0	13
104.0	0	12	0	16
105.0	0	11	0	11
106.0	0	12	0	15
107.0	0	13	0	8
108.0	0	15	0	16
109.0	0	9	0	11
110.0	0	14	0	11
111.0	0	13	0	12
112.0	0	15	0	8
113.0	0	6	0	8
114.0	0	7	0	8
115.0	0	9	0	12
116.0	0	12	0	12
117.0	0	10	0	7
118.0	0	9	0	7
119.0	0	8	0	8
120.0	0	12	0	7
121.0	0	8	0	8
122.0	0	7	0	7
123.0	0	12	0	10
124.0	0	10	0	9
125.0	0	7	0	7
126.0	0	3	0	5
127.0	0	11	0	6
128.0	0	4	0	5
129.0	0	5	0	7
130.0	0	3	0	4
131.0	0	2	0	6
132.0	0	8	0	9
133.0	0	3	0	5
134.0	0	8	0	4
135.0	0	8	0	8
136.0	0	6	0	3
137.0	0	5	0	3
138.0	0	7	0	4
139.0	0	6	0	6
140.0	0	4	0	4
141.0	0	6	0	2
142.0	0	6	0	6
143.0	0	2	0	7
144.0	0	9	0	4
145.0	0	3	0	1
146.0	0	4	0	7
147.0	0	4	0	7
148.0	0	2	0	4
149.0	0	4	0	4
150.0	0	3	0	3
151.0	0	1	0	2
152.0	0	10	0	2
153.0	0	4	0	3
154.0	0	1	0	2
155.0	0	2	0	3
156.0	0	5	0	2
157.0	0	0	0	4
158.0	0	2	0	3
159.0	0	4	0	1
160.0	0	2	0	5
161.0	0	4	0	1
162.0	0	4	0	4
163.0	0	3	0	4
164.0	0	4	0	4
165.0	0	4	0	3
166.0	0	5	0	4
167.0	0	4	0	2
168.0	0	2	0	4
169.0	0	3	0	2
170.0	0	1	0	0
171.0	0	2	0	4
172.0	0	3	0	2
173.0	0	1	0	2
174.0	0	2	0	5
175.0	0	1	0	3
176.0	0	3	0	1
177.0	0	7	0	3
178.0	0	3	0	3
179.0	0	3	0	0
180.0	0	1	0	1
181.0	0	4	0	1
182.0	0	2	0	3
183.0	0	2	0	4
184.0	0	3	0	4
185.0	0	1	0	3
186.0	0	5	0	2
187.0	0	1	0	1
188.0	0	1	0	0
189.0	0	4	0	2
190.0	0	3	0	6
191.0	0	0	0	2
192.0	0	4	0	1
193.0	0	3	0	3
194.0	0	1	0	1
195.0	0	1	0	1
196.0	0	0	0	3
197.0	0	4	0	3
198.0	0	2	0	0
199.0	0	1	0	1
200.0	0	3	0	0
201.0	0	1	0	2
202.0	0	1	0	2
203.0	0	3	0	2
204.0	0	1	0	0
205.0	0	2	0	0
206.0	0	0	0	1
208.0	0	1	0	0
209.0	0	3	0	1
210.0	0	1	0	1
213.0	0	0	0	3
214.0	0	1	0	2
215.0	0	0	0	1
216.0	0	1	0	4
217.0	0	0	0	2
218.0	0	2	0	0
219.0	0	0	0	1
220.0	0	3	0	0
221.0	0	1	0	0
222.0	0	1	0	2
224.0	0	2	0	0
225.0	0	3	0	0
226.0	0	1	0	1
227.0	0	0	0	1
229.0	0	1	0	1
230.0	0	1	0	0
231.0	0	1	0	2
234.0	0	1	0	0
236.0	0	0	0	3
237.0	0	1	0	1
238.0	0	0	0	1
239.0	0	1	0	0
240.0	0	1	0	1
241.0	0	1	0	3
242.0	0	0	0	2
243.0	0	2	0	0
244.0	0	0	0	3
245.0	0	2	0	0
246.0	0	2	0	2
247.0	0	3	0	1
248.0	0	0	0	3
249.0	0	2	0	0
250.0	0	1	0	1
251.0	0	0	0	1
253.0	0	3	0	0
256.0	0	2	0	0
259.0	0	0	0	2
261.0	0	1	0	0
262.0	0	1	0	0
263.0	0	2	0	0
266.0	0	1	0	0
267.0	0	0	0	1
269.0	0	1	0	0
272.0	0	0	0	1
276.0	0	0	0	1
277.0	0	1	0	0
278.0	0	0	0	1
279.0	0	0	0	1
281.0	0	1	0	1
284.0	0	0	0	1
286.0	0	2	0	0
287.0	0	1	0	0
293.0	0	0	0	1
295.0	0	0	0	1
296.0	0	1	0	0
297.0	0	0	0	1
299.0	0	2	0	0
302.0	0	1	0	1
306.0	0	0	0	1
310.0	0	1	0	0
311.0	0	1	0	0
312.0	0	0	0	1
314.0	0	1	0	2
322.0	0	1	0	2
326.0	0	1	0	0
329.0	0	1	0	0
330.0	0	1	0	1
331.0	0	0	0	1
335.0	0	1	0	0
336.0	0	1	0	0
341.0	0	0	0	1
343.0	0	2	0	0
348.0	0	0	0	1
349.0	0	0	0	1
352.0	0	0	0	1
353.0	0	0	0	1
355.0	0	1	0	0
356.0	0	1	0	0
363.0	0	1	0	1
370.0	0	1	0	0
372.0	0	0	0	1
376.0	0	1	0	0
378.0	0	0	0	1
380.0	0	1	0	1
389.0	0	1	0	0
393.0	0	1	0	2
398.0	0	0	0	1
405.0	0	1	0	0
406.0	0	1	0	0
411.0	0	0	0	1
413.0	0	1	0	0
418.0	0	0	0	1
425.0	0	1	0	0
442.0	0	1	0	0
446.0	0	0	0	1
449.0	0	0	0	1
452.0	0	1	0	0
458.0	0	1	0	0
470.0	0	0	0	1
485.0	0	1	0	0
541.0	0	0	0	1
544.0	0	0	0	1
552.0	0	1	0	0
554.0	0	1	0	0
672.0	0	0	0	1
682.0	0	1	0	0
688.0	0	0	0	1
708.0	0	1	0	0
728.0	0	0	0	1
756.0	0	1	0	0
1000.0	0	0	0	1
1019.0	0	1	0	0
1043.0	0	0	0	1
1064.0	0	1	0	0

