## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Mock_2.sorted.bam --OUTPUT Mock_2.markdup.sorted.bam --METRICS_FILE Mock_2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE GRCh38.primary_assembly.genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 02 22:29:58 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	7745	25805318	6942457	0	4992	6190212	1920975	0.239942	58586402

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.064088	16114668	0	17410730
2.0	1.749081	2573270	1458036	1615257
3.0	2.190035	520892	167538	277337
4.0	2.473893	163802	25980	109873
5.0	2.656623	75034	5788	58411
6.0	2.774253	42979	1885	35977
7.0	2.849976	27872	820	23627
8.0	2.898722	19140	458	16524
9.0	2.930101	14010	265	12115
10.0	2.950301	10183	157	8860
11.0	2.963304	7932	113	6801
12.0	2.971675	6289	74	5674
13.0	2.977063	5142	63	4372
14.0	2.980532	4114	31	3687
15.0	2.982765	3483	23	2976
16.0	2.984203	2969	19	2547
17.0	2.985128	2400	21	2191
18.0	2.985724	2145	15	1850
19.0	2.986107	1774	8	1530
20.0	2.986354	1534	10	1348
21.0	2.986513	1347	7	1165
22.0	2.986615	1162	9	1072
23.0	2.986681	1004	7	862
24.0	2.986724	978	1	806
25.0	2.986751	861	3	713
26.0	2.986768	735	2	673
27.0	2.98678	697	3	589
28.0	2.986787	571	1	494
29.0	2.986792	542	1	463
30.0	2.986795	478	0	450
31.0	2.986797	475	1	377
32.0	2.986798	386	2	326
33.0	2.986799	376	0	334
34.0	2.986799	302	0	302
35.0	2.9868	303	0	251
36.0	2.9868	289	0	272
37.0	2.9868	257	0	254
38.0	2.9868	291	0	228
39.0	2.9868	243	1	211
40.0	2.9868	227	2	170
41.0	2.9868	195	0	150
42.0	2.9868	170	1	143
43.0	2.9868	156	1	145
44.0	2.9868	135	0	147
45.0	2.9868	152	0	126
46.0	2.9868	147	0	142
47.0	2.9868	142	0	136
48.0	2.9868	122	0	116
49.0	2.9868	119	0	96
50.0	2.9868	121	0	94
51.0	2.9868	109	0	97
52.0	2.9868	109	0	87
53.0	2.9868	98	0	74
54.0	2.9868	100	0	64
55.0	2.9868	78	0	63
56.0	2.9868	85	0	67
57.0	2.9868	76	0	62
58.0	2.9868	66	0	71
59.0	2.9868	57	0	58
60.0	2.9868	45	0	57
61.0	2.9868	70	0	51
62.0	2.9868	51	0	50
63.0	2.9868	65	0	47
64.0	2.9868	62	0	55
65.0	2.9868	41	0	55
66.0	2.9868	52	0	43
67.0	2.9868	37	0	37
68.0	2.9868	53	0	35
69.0	2.9868	51	0	34
70.0	2.9868	35	0	37
71.0	2.9868	35	0	40
72.0	2.9868	31	0	34
73.0	2.9868	42	0	23
74.0	2.9868	34	0	26
75.0	2.9868	22	0	24
76.0	2.9868	43	0	22
