UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
15	2
1	0
0	0
0	0
13	8
2	969
52	1453
4	119
1	958
7	4
34	38
4	854
0	277
1	0
0	851
1524	1215
0	855
6	476
11	272
0	142
5	671
0	481
10	113
682	4700
4	4653
15	2
1	0
19	140
1	138
0	60
0	31
0	26
0	2
0	0
0	0
0	0
0	0
0	0
0	1151
32	1903
20	244
1	1299
1	254
1	31
6	1567
0	473
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	52
0	102
10	1
0	0
0	1
22	1535
0	107
0	13
0	644
1	1241
5	217
0	519
49	1
0	80
0	1
0	30
5	69
3	3
0	115
0	0
1	0
0	0
9	0
0	1
0	1
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
6	10
0	0
0	0
0	0
0	0
4	0
267	1038
8	150
4	11
0	702
2	0
0	251
33	0
1	54
3	953
0	904
71	69
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
3	3
0	0
0	0
0	0
0	0
0	0
0	0
1	4
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
1191	0
0	18
1	18
0	0
0	1
0	12
0	1
0	0
11	667
0	0
0	1
0	0
1	1
0	0
262	179
9	177
0	5
0	17
0	67
1369	4
3	18
0	17
1	1
0	1
0	2
0	0
0	2
0	2
1	37
0	36
0	40
0	0
0	33
0	32
2	0
0	0
0	37
0	1
0	4
0	34
0	299
0	2
4	3
0	0
0	0
0	0
0	0
0	0
0	0
53	557
1	382
0	153
0	66
0	303
10	402
2	259
1	126
0	135
0	104
0	84
0	55
0	267
2	3
2	211
0	79
0	243
0	125
4	18
0	68
0	274
0	122
0	0
32	52
0	52
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
132	2712
1	997
22	1658
0	828
11	1941
4	599
5	661
2	0
0	1
45	245
14	18
0	16
0	95
0	13
7	117
7	136
0	38
0	107
0	22
0	10
2	204
0	23
0	0
15	2
0	14
0	9
2	8
0	4
0	0
0	5
0	44
0	3
1	7
0	1
0	19
875	1721
0	112
0	130
7	45
2	2
0	0
7	1432
0	0
0	46
0	183
0	1
0	1
0	0
0	0
