task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	32/87fb96	3639282	NFCORE_SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta)	COMPLETED	0	2026-03-26 18:44:05.596	748ms	435ms	17.5%	5.7 MB	8.8 MB	285.4 KB	110.6 KB
2	69/b64ae6	3640278	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list)	COMPLETED	0	2026-03-26 18:44:10.749	527ms	0ms	112.7%	3.2 MB	4.3 MB	126.7 KB	1.1 KB
14	cf/0f464b	3640922	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr22_1-40001)	COMPLETED	0	2026-03-26 18:44:13.164	810ms	443ms	15.0%	5.8 MB	10.2 MB	126.6 KB	3.3 KB
12	4f/d52c39	3639580	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (test-test_L2)	COMPLETED	0	2026-03-26 18:44:07.925	8.6s	8.3s	332.6%	186.5 MB	3.7 GB	175.3 MB	176.7 MB
8	4b/272b74	3639610	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (test-test_L1)	COMPLETED	0	2026-03-26 18:44:07.965	8.9s	8.6s	334.3%	608.2 MB	4.1 GB	175.3 MB	176.7 MB
5	09/d7de82	3641279	NFCORE_SAREK:SAREK:FASTQC (test-test_L2)	COMPLETED	0	2026-03-26 18:44:14.335	6.4s	6s	244.3%	916.2 MB	7.5 GB	43.1 MB	3.5 MB
4	a9/464b77	3641303	NFCORE_SAREK:SAREK:FASTQC (test-test_L1)	COMPLETED	0	2026-03-26 18:44:14.376	6.3s	6s	200.1%	828 MB	7.6 GB	43.3 MB	3.5 MB
15	72/7a96e8	3643107	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (test)	COMPLETED	0	2026-03-26 18:44:43.481	22.7s	22.1s	167.6%	5.2 GB	30.6 GB	281.3 MB	117.7 MB
