.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
C1_A_CKDL260002520-1A_2372W3LT4_L5_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	0.5
C1_A_CKDL260002520-1A_2372W3LT4_L5_2	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.5
C1_A_CKDL260002520-1A_23757VLT4_L4_1	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
C1_A_CKDL260002520-1A_23757VLT4_L4_2	1	1	1	1	0.5	0.25	1	1	0.25	0.25	1
C1_B_CKDL260002520-1A_2372W3LT4_L5_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.5
C1_B_CKDL260002520-1A_2372W3LT4_L5_2	1	1	1	1	0.5	0.25	1	1	0.25	0.25	0.5
C1_B_CKDL260002520-1A_23757VLT4_L4_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
C1_B_CKDL260002520-1A_23757VLT4_L4_2	1	1	1	1	0.5	0.25	1	1	0.25	0.25	0.5
C1_C_CKDL260002520-1A_2372W3LT4_L5_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.5
C1_C_CKDL260002520-1A_2372W3LT4_L5_2	1	1	1	1	0.5	0.25	1	1	0.25	0.25	0.5
C1_C_CKDL260002520-1A_23757VLT4_L4_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
C1_C_CKDL260002520-1A_23757VLT4_L4_2	1	1	1	1	0.5	0.25	1	1	0.25	0.25	0.5
C1_D_CKDL260002520-1A_2372W3LT4_L5_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.5
C1_D_CKDL260002520-1A_2372W3LT4_L5_2	1	1	1	1	0.5	0.25	1	1	0.25	0.25	0.5
C1_D_CKDL260002520-1A_23757VLT4_L4_1	1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.5
C1_D_CKDL260002520-1A_23757VLT4_L4_2	1	1	1	1	0.5	0.25	1	1	0.25	0.25	0.5
C2_A_CKDL260002520-1A_2372W3LT4_L5_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.5
C2_A_CKDL260002520-1A_2372W3LT4_L5_2	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.5
C2_A_CKDL260002520-1A_23757VLT4_L4_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
C2_A_CKDL260002520-1A_23757VLT4_L4_2	1	1	1	1	0.5	0.25	1	1	0.25	0.25	0.5
C2_B_CKDL260002520-1A_2372W3LT4_L5_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.5
