Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
C1_A_CKDL260002520-1A_2372W3LT4_L5_1	(1, 38.06525035914406)	(2, 38.20723399719468)	(3, 38.84931453752177)	(4, 38.99946703747938)	(5, 39.08036711427443)	(6, 39.02845656476585)	(7, 39.05421682368873)	(8, 39.1613822625228)	(9, 39.10670151918544)	(10, 39.12386363911654)	(15, 39.17019334426714)	(20, 39.30953784881792)	(25, 39.26510355219521)	(30, 39.20123841109337)	(35, 39.0695232650253)	(40, 39.10630640015311)	(45, 38.95987591663497)	(50, 38.77775535566769)	(55, 38.69385494213722)	(60, 38.71352804230753)	(65, 38.7261476257731)	(70, 38.64694648814037)	(75, 38.62373863517988)	(80, 38.537283635385805)	(85, 38.48327345580166)	(90, 38.53377262365336)	(95, 38.448415526651765)	(100, 38.31750539624552)	(105, 38.369578741578586)	(110, 38.172503010026965)	(115, 38.06657331747367)	(120, 37.96658761055944)	(125, 37.85980663150728)	(130, 37.831163529859225)	(135, 37.69107069747836)	(140, 37.6654005576726)	(145, 37.62914311739468)	(150, 37.5011579822039)
C1_A_CKDL260002520-1A_2372W3LT4_L5_2	(1, 38.0881156625572)	(2, 37.94277557190512)	(3, 38.47234166773663)	(4, 38.5983497542316)	(5, 38.77351999941859)	(6, 38.83270790989057)	(7, 38.80204681833488)	(8, 38.8579691220896)	(9, 38.934364454306944)	(10, 38.89299832601317)	(15, 38.98536509143941)	(20, 39.00219847039757)	(25, 39.07213575039911)	(30, 39.074575991976495)	(35, 39.06682187181283)	(40, 39.03389132894205)	(45, 39.053726740425454)	(50, 39.088632636202206)	(55, 39.100064197758165)	(60, 39.07871371918205)	(65, 39.05832160412028)	(70, 39.02706141424027)	(75, 38.997254273996035)	(80, 38.95333355943865)	(85, 38.939186796095804)	(90, 38.883233968124)	(95, 38.83851235625153)	(100, 38.79705102147112)	(105, 38.75677213671942)	(110, 38.70334119049292)	(115, 38.65926155620211)	(120, 38.59652896045661)	(125, 38.5168513058793)	(130, 38.515692839164025)	(135, 38.45778161618462)	(140, 38.432616821750685)	(145, 38.36853679985077)	(150, 38.38780412173833)
C1_A_CKDL260002520-1A_23757VLT4_L4_1	(1, 37.94667547258709)	(2, 38.047254573794255)	(3, 38.744163102749724)	(4, 38.863575094775584)	(5, 38.90450427064954)	(6, 38.83473338593489)	(7, 38.7774252182521)	(8, 38.9946468132088)	(9, 38.89735293951547)	(10, 38.86014123962188)	(15, 39.15797484403073)	(20, 39.34125173355213)	(25, 39.30775410102565)	(30, 39.18936062886293)	(35, 39.14896571782169)	(40, 39.13223430767233)	(45, 38.85979555783065)	(50, 38.628792233525104)	(55, 38.52303343184023)	(60, 38.51871205648698)	(65, 38.52797485209845)	(70, 38.44994186196609)	(75, 38.39842383907473)	(80, 38.31716282158955)	(85, 38.24338166303215)	(90, 38.28476791579233)	(95, 38.189559044442674)	(100, 38.03705737442387)	(105, 38.05492003070576)	(110, 37.903984487380875)	(115, 37.798011386785234)	(120, 37.66956518801427)	(125, 37.56042637314674)	(130, 37.54248825339429)	(135, 37.367980848434094)	(140, 37.337257938035044)	(145, 37.28404068109337)	(150, 37.144548144947954)
C1_A_CKDL260002520-1A_23757VLT4_L4_2	(1, 37.99816383650919)	(2, 37.98456306620293)	(3, 38.557025797353305)	(4, 38.72069212799928)	(5, 38.875558135210206)	(6, 39.00819569796701)	(7, 38.941515053969034)	(8, 38.96999013519085)	(9, 39.01310082355324)	(10, 38.99821493545418)	(15, 39.08771929081481)	(20, 39.09149765793981)	(25, 39.12930291035065)	(30, 39.1199700969821)	(35, 39.074192128402665)	(40, 39.032619581817606)	(45, 39.03321232756249)	(50, 39.05737208422381)	(55, 39.07348223930966)	(60, 39.020114539490294)	(65, 39.000080152834954)	(70, 38.9386711712802)	(75, 38.8964292154058)	(80, 38.788543802092285)	(85, 38.76534336837146)	(90, 38.67582592312912)	(95, 38.62161963385442)	(100, 38.50959241254789)	(105, 38.46206355631715)	(110, 38.40351638796715)	(115, 38.32906805891375)	(120, 38.23538107287816)	(125, 38.149361863224655)	(130, 38.14974519103159)	(135, 38.053046432976984)	(140, 37.995790191180845)	(145, 37.89877027721506)	(150, 37.96440812758621)
C1_B_CKDL260002520-1A_2372W3LT4_L5_1	(1, 38.454555823915584)	(2, 38.83857178550349)	(3, 39.05601945228)	(4, 39.15847162726361)	(5, 39.09981424014079)	(6, 39.096851316070584)	(7, 39.10856269666827)	(8, 39.14253176566014)	(9, 39.11763976347302)	(10, 39.14788059950102)	(15, 39.193591103804636)	(20, 39.32570673841174)	(25, 39.283847582768146)	(30, 39.20837530733661)	(35, 39.07234495569645)	(40, 39.092390363662034)	(45, 38.99033596100853)	(50, 38.90257728225721)	(55, 38.85080061413006)	(60, 38.84211824176302)	(65, 38.861433102913864)	(70, 38.78838258564688)	(75, 38.77491988427125)	(80, 38.73125943736127)	(85, 38.69257757194121)	(90, 38.72465645289195)	(95, 38.68542201525911)	(100, 38.566299793962266)	(105, 38.59465858931138)	(110, 38.45250341283952)	(115, 38.353413744781164)	(120, 38.26063610983368)	(125, 38.160808109703325)	(130, 38.09934078786803)	(135, 37.933753797576074)	(140, 37.86139417662757)	(145, 37.741254259259925)	(150, 37.60666255073996)
C1_B_CKDL260002520-1A_2372W3LT4_L5_2	(1, 38.39458942725854)	(2, 38.45252803597875)	(3, 38.847320242030975)	(4, 38.89290563906099)	(5, 38.99529716145899)	(6, 39.03780647660983)	(7, 39.02207029906251)	(8, 39.05896517636324)	(9, 39.14542045820765)	(10, 39.09531001618609)	(15, 39.15148354413879)	(20, 39.15576308194798)	(25, 39.20865467133541)	(30, 39.19353117542901)	(35, 39.18905881671331)	(40, 39.1735601800386)	(45, 39.17334635704276)	(50, 39.19677961928282)	(55, 39.20491829100929)	(60, 39.18674188794299)	(65, 39.174077265962495)	(70, 39.1435183207019)	(75, 39.124352646806415)	(80, 39.0821636135181)	(85, 39.0680451400079)	(90, 39.03854046342197)	(95, 39.010046602912055)	(100, 38.992349264745826)	(105, 38.967074879690614)	(110, 38.93372501022946)	(115, 38.89264981188646)	(120, 38.83702849404157)	(125, 38.760463385754065)	(130, 38.74685457501548)	(135, 38.686622031191725)	(140, 38.63185021165037)	(145, 38.56561125132621)	(150, 38.55123151906664)
C1_B_CKDL260002520-1A_23757VLT4_L4_1	(1, 37.70682526103738)	(2, 38.59305953998783)	(3, 38.82126505142085)	(4, 39.00548013474717)	(5, 38.895445411929586)	(6, 38.91304878967851)	(7, 38.864989803047415)	(8, 39.04303607353)	(9, 38.9395253051138)	(10, 38.92868307297171)	(15, 39.19610809512864)	(20, 39.36532377096172)	(25, 39.33940568001017)	(30, 39.216430399232834)	(35, 39.14222841920537)	(40, 39.126581143900914)	(45, 38.95482058536333)	(50, 38.83485011318891)	(55, 38.78016222831553)	(60, 38.76356356368693)	(65, 38.776915566753104)	(70, 38.70755413316876)	(75, 38.672607449896205)	(80, 38.62437611611581)	(85, 38.56819879720221)	(90, 38.596970969126104)	(95, 38.53962352819888)	(100, 38.41406375793273)	(105, 38.40394051616347)	(110, 38.286917751542504)	(115, 38.18788666050682)	(120, 38.07917151133232)	(125, 37.969761391055805)	(130, 37.90096724871288)	(135, 37.706556191554306)	(140, 37.63479080088753)	(145, 37.49490875921471)	(150, 37.35178545723415)
C1_B_CKDL260002520-1A_23757VLT4_L4_2	(1, 38.34590475964)	(2, 38.56954019336419)	(3, 38.96292183663104)	(4, 39.045610732010296)	(5, 39.14404522727918)	(6, 39.22446055693896)	(7, 39.178017632957776)	(8, 39.18418097204677)	(9, 39.234374505526915)	(10, 39.22530402266961)	(15, 39.277668896780675)	(20, 39.27149849618557)	(25, 39.29968654235347)	(30, 39.2800748041148)	(35, 39.242164195024735)	(40, 39.22097249191742)	(45, 39.20663738074963)	(50, 39.225728474287294)	(55, 39.234741522594845)	(60, 39.1971407787732)	(65, 39.180615897458516)	(70, 39.13236457541082)	(75, 39.10484366032082)	(80, 39.014618339913135)	(85, 38.990224736782174)	(90, 38.934263758055984)	(95, 38.89586172904022)	(100, 38.82316910607024)	(105, 38.78350495971117)	(110, 38.7404013813727)	(115, 38.65327439464894)	(120, 38.5619118092561)	(125, 38.46813472527171)	(130, 38.43562501561017)	(135, 38.31704833539312)	(140, 38.21905532200667)	(145, 38.10426172406672)	(150, 38.10362709476697)
C1_C_CKDL260002520-1A_2372W3LT4_L5_1	(1, 38.721165223456005)	(2, 38.86668258378518)	(3, 39.104569443199615)	(4, 39.129333115414425)	(5, 39.15446509067109)	(6, 39.08664460865354)	(7, 39.15328109807029)	(8, 39.27736758978422)	(9, 39.182984098196066)	(10, 39.206631714281194)	(15, 39.25002203039668)	(20, 39.35880353480539)	(25, 39.34005849164464)	(30, 39.29090005279763)	(35, 39.08697224019384)	(40, 39.14806219124493)	(45, 39.001027783907794)	(50, 38.86600457479075)	(55, 38.80897288641881)	(60, 38.807244799508325)	(65, 38.834871896067746)	(70, 38.745371696099525)	(75, 38.74183176911241)	(80, 38.68362512625113)	(85, 38.643773381406035)	(90, 38.68515783931895)	(95, 38.65972700384346)	(100, 38.539754961734886)	(105, 38.60299056044576)	(110, 38.45464186106766)	(115, 38.366890535666265)	(120, 38.27320493691775)	(125, 38.180604363449575)	(130, 38.14600948549797)	(135, 37.98434629222775)	(140, 37.93907740464604)	(145, 37.87137185727918)	(150, 37.7353015829499)
C1_C_CKDL260002520-1A_2372W3LT4_L5_2	(1, 38.24309130526146)	(2, 38.29888130775447)	(3, 38.73979201799187)	(4, 38.81259701847767)	(5, 38.927230398784076)	(6, 38.97663271600521)	(7, 38.964331093136984)	(8, 38.991455971969806)	(9, 39.08248406467974)	(10, 39.053024189752136)	(15, 39.117488519715515)	(20, 39.12396357339813)	(25, 39.184489696929525)	(30, 39.187168894435615)	(35, 39.1844286896772)	(40, 39.15071035790168)	(45, 39.150361185529086)	(50, 39.182253818790386)	(55, 39.188486349815584)	(60, 39.17131634821132)	(65, 39.15859279617327)	(70, 39.13402178636766)	(75, 39.12447919765672)	(80, 39.08423067971871)	(85, 39.07135438359703)	(90, 39.04239371369221)	(95, 39.013732657182175)	(100, 38.989263627400845)	(105, 38.95823835156898)	(110, 38.921323691676875)	(115, 38.87514526881226)	(120, 38.81827385628348)	(125, 38.72808148761289)	(130, 38.72016274626029)	(135, 38.64945082175262)	(140, 38.59421786819572)	(145, 38.516650988053875)	(150, 38.50780930488638)
