Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
C1_A_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.581544476933624)	(2.0, 2.8351183540179314)	(3.0, 1.2885580214493189)	(4.0, 0.9007066598512066)	(5.0, 0.692245637580641)	(6.0, 0.5821404259339562)	(7.0, 0.4900832632810626)	(8.0, 0.4205558799090087)	(9.0, 0.43933069597637525)	('>10', 9.660551325502015)	('>50', 6.827613272704809)	('>100', 26.25627745059801)	('>500', 14.585367271740632)	('>1k', 23.559002584868225)	('>5k', 2.8809046796531868)	('>10k+', 0.0)
C1_A_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.07789489494582)	(2.0, 2.079280597499437)	(3.0, 0.7976268632490849)	(4.0, 0.4874184506779526)	(5.0, 0.35369330914006497)	(6.0, 0.32413811481466226)	(7.0, 0.281501113164901)	(8.0, 0.25194591883949835)	(9.0, 0.2616361464871713)	('>10', 7.560194482868889)	('>50', 8.385075111377054)	('>100', 33.39107093973405)	('>500', 16.6519294454525)	('>1k', 16.536010097217208)	('>5k', 4.560584514531707)	('>10k+', 0.0)
C1_A_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 3.944872271336239)	(2.0, 1.4265931524329898)	(3.0, 0.7470663238737099)	(4.0, 0.48007294338361994)	(5.0, 0.3797616193938106)	(6.0, 0.3151202124813878)	(7.0, 0.2545763670622485)	(8.0, 0.22131016538447412)	(9.0, 0.1989895361509799)	('>10', 3.3144701207332337)	('>50', 1.780153956306893)	('>100', 6.148464913381084)	('>500', 4.50259413844158)	('>1k', 18.669092346152606)	('>5k', 12.173591776133485)	('>10k+', 45.44327015735167)
C1_A_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 3.9019397977548884)	(2.0, 1.325002956828468)	(3.0, 0.6316686273354222)	(4.0, 0.3992257649957899)	(5.0, 0.2937160474429645)	(6.0, 0.2283250701929018)	(7.0, 0.18691062645730475)	(8.0, 0.1626931085624929)	(9.0, 0.1453846317516103)	('>10', 2.096590247786219)	('>50', 1.0219819816127609)	('>100', 3.991291874265067)	('>500', 3.6041843931978326)	('>1k', 23.395310590405273)	('>5k', 15.214163228210783)	('>10k+', 43.40161105320022)
C1_B_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.533268509004863)	(2.0, 2.7833741039435598)	(3.0, 1.2732445722991341)	(4.0, 0.8078398222888417)	(5.0, 0.6409578599398876)	(6.0, 0.556003243631469)	(7.0, 0.49502697542815766)	(8.0, 0.42487855938831515)	(9.0, 0.3988173808233417)	('>10', 7.8001252715924565)	('>50', 5.297281901665815)	('>100', 22.477565023012662)	('>500', 15.577687710589721)	('>1k', 27.345337581300168)	('>5k', 3.5035820172409977)	('>10k+', 1.0850094678506066)
C1_B_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.996241560271983)	(2.0, 2.0857580576155526)	(3.0, 0.7665945770292584)	(4.0, 0.45618171981590216)	(5.0, 0.3287565253717253)	(6.0, 0.2893570107835311)	(7.0, 0.2550652239333405)	(8.0, 0.23203544878060894)	(9.0, 0.21372640165026402)	('>10', 5.986514578539711)	('>50', 6.196977981691498)	('>100', 33.82442371291019)	('>500', 16.4737917526458)	('>1k', 19.759993796001172)	('>5k', 3.04918145797987)	('>10k+', 1.0854001949796064)
C1_B_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.333079344504133)	(2.0, 1.5827578990316775)	(3.0, 0.8210098422238046)	(4.0, 0.5433841605245151)	(5.0, 0.4149424851840707)	(6.0, 0.32899186283465576)	(7.0, 0.28569875352759055)	(8.0, 0.24184307763630916)	(9.0, 0.21227433453679107)	('>10', 3.3609277944594713)	('>50', 1.607415912649631)	('>100', 5.2760216827639645)	('>500', 3.46401406186131)	('>1k', 14.978989005646385)	('>5k', 10.96355153412284)	('>10k+', 51.58509824849287)
C1_B_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.35108882321143)	(2.0, 1.5358854458959432)	(3.0, 0.7220785007299696)	(4.0, 0.44758815908793925)	(5.0, 0.3172602748958818)	(6.0, 0.23951669456462815)	(7.0, 0.19435514359163403)	(8.0, 0.16608407745672826)	(9.0, 0.14039298340144882)	('>10', 2.002118653956292)	('>50', 0.87164308356418)	('>100', 3.269758270789369)	('>500', 2.7938323272343255)	('>1k', 18.925286292994066)	('>5k', 16.253648826747554)	('>10k+', 47.76946244187862)
C1_C_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.544254701629317)	(2.0, 2.60043999489908)	(3.0, 1.1732259284119386)	(4.0, 0.7780019884554636)	(5.0, 0.6078190020077192)	(6.0, 0.5034094635598529)	(7.0, 0.4377857345684272)	(8.0, 0.37692968070109245)	(9.0, 0.3564927247450349)	('>10', 7.087749161019601)	('>50', 4.941347544533033)	('>100', 20.804289796456647)	('>500', 13.826780612721254)	('>1k', 30.656304550562012)	('>5k', 5.389537363872771)	('>10k+', 1.9156317518567425)
C1_C_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.44807576058096)	(2.0, 2.0851803470479715)	(3.0, 0.7999619700239001)	(4.0, 0.46907899751893084)	(5.0, 0.33970786011517284)	(6.0, 0.2562960952807153)	(7.0, 0.23368349378454878)	(8.0, 0.22590310285994886)	(9.0, 0.2011152475955221)	('>10', 5.300705857546892)	('>50', 5.033398337515368)	('>100', 30.14943476499018)	('>500', 16.07800758158545)	('>1k', 25.19386586920102)	('>5k', 2.1848105746264794)	('>10k+', 3.000774139726943)
C1_C_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 3.63580647452319)	(2.0, 1.441439551608745)	(3.0, 0.7815483689245546)	(4.0, 0.5129790423207923)	(5.0, 0.3726166910981234)	(6.0, 0.311606504555287)	(7.0, 0.25686193293592086)	(8.0, 0.2265207672429005)	(9.0, 0.194059949834003)	('>10', 3.0208656865531287)	('>50', 1.4452322208035688)	('>100', 4.748257728620212)	('>500', 3.031177288801962)	('>1k', 13.252004217648858)	('>5k', 9.91126448575843)	('>10k+', 56.85775908877033)
C1_C_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 3.818195706018991)	(2.0, 1.457839166918612)	(3.0, 0.7175083873886071)	(4.0, 0.4549721118150168)	(5.0, 0.3140232822010741)	(6.0, 0.24177488009263282)	(7.0, 0.19042714216300033)	(8.0, 0.16286011612249726)	(9.0, 0.14379852838475718)	('>10', 1.9324595500595214)	('>50', 0.8634233619234596)	('>100', 2.9257920062081206)	('>500', 2.492550352350712)	('>1k', 15.297565248524025)	('>5k', 14.626653081331419)	('>10k+', 54.360157078497565)
C1_D_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.941041425162208)	(2.0, 3.0659668012290466)	(3.0, 1.3992270849738002)	(4.0, 0.9213316385828783)	(5.0, 0.7163897583469231)	(6.0, 0.6039437709608237)	(7.0, 0.6072687867168644)	(8.0, 0.4679203991228004)	(9.0, 0.46519993168603996)	('>10', 10.12724230750048)	('>50', 7.066867578224774)	('>100', 28.378102655327353)	('>500', 12.632037131357771)	('>1k', 22.64471753235467)	('>5k', 0.9627431984535653)	('>10k+', 0.0)
