Sample	Unique Reads	Duplicate Reads
ch_2D_CKDL260002520-1A_23757VLT4_L4_2	1163651.0	20191602.0
ch_3A_CKDL260002520-1A_2372W3LT4_L5_1	141317.0	904216.0
ch_3A_CKDL260002520-1A_2372W3LT4_L5_2	128690.0	916843.0
ch_3A_CKDL260002520-1A_23757VLT4_L4_1	1827334.0	25312837.0
ch_3A_CKDL260002520-1A_23757VLT4_L4_2	1799061.0	25341110.0
ch_3B_CKDL260002520-1A_2372W3LT4_L5_1	180537.0	1369444.0
ch_3B_CKDL260002520-1A_2372W3LT4_L5_2	164055.0	1385926.0
ch_3B_CKDL260002520-1A_23757VLT4_L4_1	2223425.0	37129568.0
ch_3B_CKDL260002520-1A_23757VLT4_L4_2	2153926.0	37199067.0
ch_3C_CKDL260002520-1A_2372W3LT4_L5_1	119207.0	825081.0
ch_3C_CKDL260002520-1A_2372W3LT4_L5_2	107498.0	836790.0
ch_3C_CKDL260002520-1A_23757VLT4_L4_1	1485861.0	23346290.0
ch_3C_CKDL260002520-1A_23757VLT4_L4_2	1449022.0	23383129.0
ch_3D_CKDL260002520-1A_2372W3LT4_L5_1	118083.0	882463.0
ch_3D_CKDL260002520-1A_2372W3LT4_L5_2	100660.0	899886.0
ch_3D_CKDL260002520-1A_23757VLT4_L4_1	1492306.0	24840673.0
ch_3D_CKDL260002520-1A_23757VLT4_L4_2	1431648.0	24901331.0
