Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
C1_A_CKDL260002520-1A_2372W3LT4_L5_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.000363383536787738)	(5, 0.000363383536787738)	(6, 0.0012112784559591267)	(7, 0.0013324063015550394)	(8, 0.0015746619927468645)	(9, 0.0016957898383427772)	(10, 0.0019380455295346026)	(12, 0.004845113823836506)	(14, 0.007631054272542497)	(16, 0.009690227647673012)	(18, 0.011143761794823966)	(20, 0.014959288931095212)	(22, 0.020167786291719458)	(24, 0.029010119020221083)	(26, 0.035066511300016714)	(28, 0.04178910673058987)	(30, 0.0579596741176442)	(32, 0.09036137281455084)	(34, 0.1205222063679331)	(36, 0.14002378950887504)	(38, 0.1609789067969679)	(40, 0.18883831128402784)	(42, 0.22935557563586062)	(44, 0.27647430757267066)	(46, 0.3182028503804626)	(48, 0.3665934246960296)	(50, 0.4181333229970905)	(52, 0.4929297676525666)	(54, 0.5718445590583037)	(56, 0.6516072453832121)	(58, 0.739122113826259)	(60, 0.8359638263801912)	(62, 0.9480676474792085)	(64, 1.0644109431740825)	(66, 1.1558019026761985)	(68, 1.2451336888031843)	(70, 1.3362823926141085)	(72, 1.4259775622778816)	(74, 1.5206995375338854)	(76, 1.6190553481577665)	(78, 1.715715368943305)	(80, 1.80565279429827)	(82, 1.896135294958417)	(84, 2.000244678248104)	(86, 2.1048385729201744)	(88, 2.19683517165027)	(90, 2.294464215200575)	(92, 2.399118673795444)	(94, 2.5069224563758064)	(96, 2.632108084799182)	(98, 2.7457865678909466)	(100, 2.8584960282179432)	(102, 2.9641800735003767)	(104, 3.0697429909372147)	(106, 3.180453841811879)	(108, 3.300854920334216)	(110, 3.4189545697902304)	(112, 3.540082415386143)	(114, 3.65872714014734)	(116, 3.778340887673304)	(118, 3.9228464074692275)	(120, 4.068442077875515)	(122, 4.211372935678692)	(124, 4.367567292574621)	(126, 4.528364507603195)	(128, 4.685951834723477)	(130, 4.8361503632624085)	(132, 4.992829231540721)	(134, 5.152657423804529)	(136, 5.339436561713426)	(138, 5.520704382647709)
C1_A_CKDL260002520-1A_2372W3LT4_L5_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.007509926426946585)	(4, 0.007994437809330235)	(5, 0.008236693500522061)	(6, 0.008478949191713886)	(7, 0.008600077037309799)	(8, 0.008963460574097536)	(9, 0.009447971956481187)	(10, 0.009690227647673012)	(12, 0.009993047261662794)	(14, 0.010295866875652575)	(16, 0.010416994721248489)	(18, 0.010538122566844402)	(20, 0.010780378258036226)	(22, 0.010962070026430095)	(24, 0.011204325717621921)	(26, 0.011567709254409659)	(28, 0.012173348482389223)	(30, 0.012597295941974916)	(32, 0.012960679478762656)	(34, 0.013142371247156524)	(36, 0.013263499092752436)	(38, 0.013505754783944262)	(40, 0.013626882629540173)	(42, 0.014595905394307475)	(44, 0.014959288931095214)	(46, 0.015322672467882952)	(48, 0.015746619927468647)	(50, 0.016473387001044122)	(52, 0.017079026229023686)	(54, 0.017381845843013468)	(56, 0.018108612916588943)	(58, 0.01968327490933581)	(60, 0.020107222368921502)	(62, 0.021560756516072456)	(64, 0.022529779280839754)	(66, 0.02289316281762749)	(68, 0.023317110277213185)	(70, 0.02428613304198049)	(72, 0.025679103266333485)	(74, 0.026163614648717137)	(76, 0.027617148795868088)	(78, 0.028828427251827216)	(80, 0.029979141784988384)	(82, 0.03137211200934138)	(84, 0.035066511300016714)	(86, 0.03930598589587366)	(88, 0.042031362421781696)	(90, 0.04439335541090199)	(92, 0.04966241669432419)	(94, 0.05777798234925034)	(96, 0.06655975115495401)	(98, 0.0744936250414863)	(100, 0.08309370207879609)	(102, 0.10211077383735437)	(104, 0.13596600668141196)	(106, 0.16812544968712678)	(108, 0.18980733404879513)	(110, 0.21360895570839197)	(112, 0.24485993987213744)	(114, 0.28798145290428234)	(116, 0.3360086436830617)	(118, 0.3838541426934472)	(120, 0.4349095296121244)	(122, 0.49389879041733387)	(124, 0.5751755748121913)	(126, 0.6598439388837343)	(128, 0.7443911751096812)	(130, 0.8353581871522117)	(132, 0.9342590730812743)	(134, 1.0576277838207115)	(136, 1.1734260042104039)	(138, 1.266270497859671)
C1_A_CKDL260002520-1A_2372W3LT4_L5_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00012112784559591266)	(5, 0.00024225569119182532)	(6, 0.001090150610363214)	(7, 0.0012112784559591267)	(8, 0.001453534147150952)	(9, 0.0015746619927468645)	(10, 0.00181691768393869)	(12, 0.003936654981867162)	(14, 0.006238084048189502)	(16, 0.008297257423320017)	(18, 0.009993047261662794)	(20, 0.014171957934721782)	(22, 0.020107222368921502)	(24, 0.02949463040260473)	(26, 0.036217225833177887)	(28, 0.04390884402851834)	(30, 0.06110899810313794)	(32, 0.09290505757206502)	(34, 0.12391378604461865)	(36, 0.14329424133996468)	(38, 0.1644916143192494)	(40, 0.19174537957832974)	(42, 0.23153587685658705)	(44, 0.2783517891794073)	(46, 0.31965638452761347)	(48, 0.36635116900483783)	(50, 0.4178305033831007)	(52, 0.49353540688054615)	(54, 0.5732980932054546)	(56, 0.6543326219091202)	(58, 0.7408784675873998)	(60, 0.836266645994181)	(62, 0.9482493392476024)	(64, 1.0629574090269316)	(66, 1.153803293223866)	(68, 1.2418026730492966)	(70, 1.3323457376322414)	(72, 1.4207690649172575)	(74, 1.514885400945282)	(76, 1.6125750084183852)	(78, 1.7095378488179134)	(80, 1.7991118906360906)	(82, 1.8886859324542682)	(84, 1.9926136239755614)	(86, 2.0953300370408954)	(88, 2.1868421243886074)	(90, 2.2840472204793274)	(92, 2.3870058892358528)	(94, 2.4939617768970437)	(96, 2.615634697798138)	(98, 2.72876810558472)	(100, 2.839963467841768)	(102, 2.945708077047)	(104, 3.049635768568293)	(106, 3.1574395511486557)	(108, 3.2750546892222867)	(110, 3.390792345689181)	(112, 3.511980755207892)	(114, 3.629474765435927)	(116, 3.7487856933479007)	(118, 3.892382754301855)	(120, 4.037009401943375)	(122, 4.176064168687483)	(124, 4.3314711945870386)	(126, 4.4908148754684625)	(128, 4.6465852849048055)	(130, 4.796057046370162)	(132, 4.952251403266091)	(134, 5.112019031607099)	(136, 5.298313658133614)	(138, 5.477643433538362)
C1_A_CKDL260002520-1A_2372W3LT4_L5_2 - polyg	(1, 0.24625291009649045)	(2, 0.24915997839079235)	(3, 0.25097689607473106)	(4, 0.2526726859130738)	(5, 0.253762836523437)	(6, 0.2548529871338002)	(7, 0.2561853934353553)	(8, 0.25679103266333486)	(9, 0.25909246172965716)	(10, 0.2623629135607468)	(12, 0.2678136666125629)	(14, 0.2702362235244812)	(16, 0.27162919374883415)	(18, 0.27296160005038916)	(20, 0.2740517506607524)	(22, 0.2752630291167115)	(24, 0.27592923226748906)	(26, 0.2765954354182666)	(28, 0.27707994680065023)	(30, 0.2775644581830339)	(32, 0.27786727779702364)	(34, 0.27810953348821543)	(36, 0.27895742840738685)	(38, 0.2793208119441746)	(40, 0.27968419548096235)	(42, 0.28035039863173983)	(44, 0.2809560378597194)	(46, 0.28144054924210304)	(48, 0.2818644967016888)	(50, 0.2820461884700826)	(52, 0.2828335194664561)	(54, 0.2830757751576479)	(56, 0.2839236700768193)	(58, 0.284347617536405)	(60, 0.28531664030117226)	(62, 0.2858011516835559)	(64, 0.2863462269887375)	(66, 0.2869518662167171)	(68, 0.28737581367630277)	(70, 0.2877391972130905)	(72, 0.2880420168270803)	(74, 0.2887687839006558)	(76, 0.28973780666542304)	(78, 0.29022231804780674)	(80, 0.2917364161177557)	(82, 0.2934927698788964)	(84, 0.2949463040260473)	(86, 0.2959758907136126)	(88, 0.3005181849234593)	(90, 0.30330412537216533)	(92, 0.3062111936664672)	(94, 0.3088760062695773)	(96, 0.3145084510897872)	(98, 0.3226240167447134)	(100, 0.33261706400637614)	(102, 0.34097488535249415)	(104, 0.3513313161509447)	(106, 0.37149910244266415)	(108, 0.40505151567273195)	(110, 0.43715039475564876)	(112, 0.4586505873489233)	(114, 0.48263390077691404)	(116, 0.5143088324002452)	(118, 0.5571880897411983)	(120, 0.6042462577552103)	(122, 0.6512438618464245)	(124, 0.7007245867723548)	(126, 0.7581997495076154)	(128, 0.837720180141332)	(130, 0.919542039841371)	(132, 1.0040892760673181)	(134, 1.0951168520326464)	(136, 1.1971670619472028)	(138, 1.3152667114032177)
C1_A_CKDL260002520-1A_23757VLT4_L4_1 - illumina_universal_adapter	(1, 7.563490968586704e-05)	(2, 0.00015631214668412522)	(3, 0.00031766662068064157)	(4, 0.0007412221149214971)	(5, 0.0008269416792321463)	(6, 0.0014269786294066914)	(7, 0.0014925288844677763)	(8, 0.0016135447399651635)	(9, 0.001815237832460809)	(10, 0.0023850208187610076)	(12, 0.005586898662129379)	(14, 0.008950130979494268)	(16, 0.011125895214791043)	(18, 0.013684876325829542)	(20, 0.017549820210777348)	(22, 0.02419560760850887)	(24, 0.03245998207351794)	(26, 0.037777116224434394)	(28, 0.04464224486025492)	(30, 0.06103232978918231)	(32, 0.09296790982221156)	(34, 0.12336305886130533)	(36, 0.13991954059154166)	(38, 0.15953419383674317)	(40, 0.18711320307186646)	(42, 0.22643075029023635)	(44, 0.2703292518719136)	(46, 0.3111771454295942)	(48, 0.35470251479015447)	(50, 0.40757383782423173)	(52, 0.47400397900132873)	(54, 0.5476522117261138)	(56, 0.6224702643873734)	(58, 0.7009818218049595)	(60, 0.7834566484900851)	(62, 0.8801180630686233)	(64, 0.9803670935299277)	(66, 1.0608880183815017)	(68, 1.1352926002031452)	(70, 1.2082777668863507)	(72, 1.281981465211572)	(74, 1.3582769197753624)	(76, 1.4359363238771543)	(78, 1.5112333976330912)	(80, 1.5861598603315672)	(82, 1.6592685640339264)	(84, 1.7345958917537376)	(86, 1.8147941076573186)	(88, 1.886954853824948)	(90, 1.957547436198424)	(92, 2.033131922611167)	(94, 2.111794749848125)	(96, 2.2008649406578584)	(98, 2.288412348619249)	(100, 2.37471430173448)	(102, 2.4612053421239253)	(104, 2.5494284219451764)	(106, 2.6437527178144213)	(108, 2.7351902812973226)	(110, 2.828722931778522)	(112, 2.924176708965742)	(114, 3.0211154515464615)	(116, 3.113102628706413)	(118, 3.2202949438768798)	(120, 3.325422426012923)	(122, 3.433613121991243)	(124, 3.557129971835576)	(126, 3.677694539038505)	(128, 3.794714350140822)	(130, 3.912326634702345)	(132, 4.037252815030492)	(134, 4.162713482053752)	(136, 4.309359487280023)	(138, 4.451898516910353)
C1_A_CKDL260002520-1A_23757VLT4_L4_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.008052596717888645)	(4, 0.00874339555968623)	(5, 0.00896021563411905)	(6, 0.00936864414642273)	(7, 0.009529998620419247)	(8, 0.009766988004101631)	(9, 0.010155247207155748)	(10, 0.010356940299651392)	(12, 0.010656958774738667)	(14, 0.0108082285941104)	(16, 0.010931765613263984)	(18, 0.011037654486824196)	(20, 0.011176318487914953)	(22, 0.011423392526222119)	(24, 0.011925104093805036)	(26, 0.012527662207635779)	(28, 0.013241151522339123)	(30, 0.013974810146292035)	(32, 0.01457988942377897)	(34, 0.014960585135864502)	(36, 0.015406831103011116)	(38, 0.015941317798124577)	(40, 0.016478325656894235)	(42, 0.017728822830367235)	(44, 0.018485171927225905)	(46, 0.01931211360645805)	(48, 0.020209647868063674)	(50, 0.021563512751440694)	(52, 0.022327425339267952)	(54, 0.023285467528622268)	(56, 0.025090620706458296)	(58, 0.027833646764399072)	(60, 0.02854965724275861)	(62, 0.029883352816886068)	(64, 0.030576672822339848)	(66, 0.031338064246510915)	(68, 0.03218265407133643)	(70, 0.03313565393337835)	(72, 0.03451977278062972)	(74, 0.03554840755235751)	(76, 0.03681907403508008)	(78, 0.038218319864268616)	(80, 0.03977387784014128)	(82, 0.042436226661083806)	(84, 0.046452440365403344)	(86, 0.051875463389880014)	(88, 0.05521096290702675)	(90, 0.05917675333822238)	(92, 0.06494265461994164)	(94, 0.07349696290541319)	(96, 0.08293367847055322)	(98, 0.09055263503957622)	(100, 0.10056669708198501)	(102, 0.12045867832936805)	(104, 0.15310018418613208)	(106, 0.1842617669767093)	(108, 0.20533869514250425)	(110, 0.2295922895151056)	(112, 0.2620926102071227)	(114, 0.3038203898808155)	(116, 0.34976859751497974)	(118, 0.395136937508219)	(120, 0.44561063390525424)	(122, 0.5033150276682584)	(124, 0.5736933111309577)	(126, 0.6547537650049576)	(128, 0.7339863752282157)	(130, 0.8189748020785683)	(132, 0.9093333075166175)	(134, 1.0091234861924943)	(136, 1.1126954103526643)	(138, 1.1979863768417605)
C1_A_CKDL260002520-1A_23757VLT4_L4_2 - illumina_universal_adapter	(1, 7.563490968586704e-05)	(2, 0.00013110051012216954)	(3, 0.0002823703294939036)	(4, 0.0006555025506108477)	(5, 0.0007412221149214971)	(6, 0.0013412590650960423)	(7, 0.001411851647469518)	(8, 0.0015328675029669054)	(9, 0.001739602922774942)	(10, 0.002311907072731336)	(12, 0.00481794374698973)	(14, 0.007495419549869424)	(16, 0.009678747276134787)	(18, 0.012295715151265785)	(20, 0.01629175954633576)	(22, 0.023230001928185966)	(24, 0.03189524141453014)	(26, 0.03836202619267176)	(28, 0.046792797458989746)	(30, 0.06357114159097126)	(32, 0.09558739886099876)	(34, 0.126169114010651)	(36, 0.14275584970476163)	(38, 0.1622494870944658)	(40, 0.1894881392360027)	(42, 0.22853340077950346)	(44, 0.27196296592112834)	(46, 0.3122335130015401)	(48, 0.35559500672444766)	(50, 0.4082898483025913)	(52, 0.4742737435125417)	(54, 0.5478513836549531)	(56, 0.6220567935477572)	(58, 0.7009364408591481)	(60, 0.7830709104506872)	(62, 0.8792432192799233)	(64, 0.9787711969355558)	(66, 1.0586845213459868)	(68, 1.1323932619985202)	(70, 1.2049473096965164)	(72, 1.277942561034347)	(74, 1.353630415156994)	(76, 1.4305838934350512)	(78, 1.5054523693694346)	(80, 1.579748541153862)	(82, 1.65214879786883)	(84, 1.726994583330308)	(86, 1.80650956388306)	(88, 1.8781711196467628)	(90, 1.9479644931412248)	(92, 2.0223968077630863)	(94, 2.100015873246379)	(96, 2.187966667392762)	(98, 2.274752683929982)	(100, 2.360502502204506)	(102, 2.445924569203724)	(104, 2.5330736333074357)	(106, 2.626202897603644)	(108, 2.7162714692212306)	(110, 2.80892927591373)	(112, 2.904052780661989)	(114, 3.000905803678398)	(116, 3.0916878646106882)	(118, 3.1975162302431532)	(120, 3.301806686045339)	(122, 3.408908239324183)	(124, 3.530950208429642)	(126, 3.6502062916950044)	(128, 3.765731052749198)	(130, 3.8817297925707557)	(132, 4.005249163578745)	(134, 4.129552616483812)	(136, 4.2759238148715575)	(138, 4.416942582817201)
C1_A_CKDL260002520-1A_23757VLT4_L4_2 - polyg	(1, 0.19986777000855985)	(2, 0.20323100232592475)	(3, 0.20458234604564557)	(4, 0.2064984304243542)	(5, 0.2076279117423298)	(6, 0.20878764702417976)	(7, 0.2102549642720856)	(8, 0.21199456719486054)	(9, 0.2136131542621381)	(10, 0.2164040824295466)	(12, 0.2200900236949045)	(14, 0.22189517687274052)	(16, 0.22337005761161494)	(18, 0.22439617121968652)	(20, 0.22546262344625725)	(22, 0.22653663916379657)	(24, 0.22740644062518406)	(26, 0.22823590346807238)	(28, 0.2287451785266239)	(30, 0.2291435223843028)	(32, 0.22952673926004452)	(34, 0.22985449053534995)	(36, 0.2301671148287182)	(38, 0.23059067032295905)	(40, 0.23104447978107423)	(42, 0.23137979454734825)	(44, 0.23179326538696432)	(46, 0.23229497695454726)	(48, 0.23280425201309876)	(50, 0.2331824265615281)	(52, 0.2335606011099574)	(54, 0.23399424125882307)	(56, 0.23442536024403252)	(58, 0.23485395806558576)	(60, 0.23517414584992258)	(62, 0.23552458759813377)	(64, 0.23598343938356137)	(66, 0.23637421975027167)	(68, 0.23673726731676387)	(70, 0.237216288411441)	(72, 0.23765497088761905)	(74, 0.23827517714704313)	(76, 0.23906178020777616)	(78, 0.23998956843325614)	(80, 0.24134595448028934)	(82, 0.24300992249337844)	(84, 0.2443688297040678)	(86, 0.24634290084686894)	(88, 0.25111546364804715)	(90, 0.2547736721131869)	(92, 0.2582579202860492)	(94, 0.26216824511680853)	(96, 0.2674299136672887)	(98, 0.27592875635232395)	(100, 0.28553943220974143)	(102, 0.2937785950381886)	(104, 0.3049145749076044)	(106, 0.3247964715003626)	(108, 0.35920783424377595)	(110, 0.3900744408865783)	(112, 0.409447062420785)	(114, 0.43141900368452946)	(116, 0.462030972798056)	(118, 0.5039427974186511)	(120, 0.5499968939263755)	(122, 0.5930886231380702)	(124, 0.6395082883759431)	(126, 0.6971219202473241)	(128, 0.7675506269831474)	(130, 0.84431501798699)	(132, 0.9234719933005622)	(134, 1.0066048436999548)	(136, 1.0957481482557179)	(138, 1.1958307819157135)
C1_B_CKDL260002520-1A_2372W3LT4_L5_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 9.05262471801074e-05)	(4, 0.000452631235900537)	(5, 0.000452631235900537)	(6, 0.0007242099774408592)	(7, 0.0008147362246209666)	(8, 0.0008147362246209666)	(9, 0.001086314966161289)	(10, 0.0016294724492419332)	(12, 0.0030326292805335983)	(14, 0.0050242067184959605)	(16, 0.006110521684657249)	(18, 0.007558941639538968)	(20, 0.010093676560581976)	(22, 0.013669463324196218)	(24, 0.01787893381807121)	(26, 0.020594721233474434)	(28, 0.02335577177246771)	(30, 0.03005471406379566)	(32, 0.04141575808489913)	(34, 0.052278907746512025)	(36, 0.05988311250964104)	(38, 0.06848310599175125)	(40, 0.07952730814772435)	(42, 0.09781361007810604)	(44, 0.11863464692953074)	(46, 0.14366515427483045)	(48, 0.171954606518614)	(50, 0.20671668543577526)	(52, 0.24442086738628999)	(54, 0.28678715106658026)	(56, 0.3348565883192173)	(58, 0.3981344350981123)	(60, 0.466119646730373)	(62, 0.5514406346976242)	(64, 0.6401563569341295)	(66, 0.7174657720259412)	(68, 0.7917878209608094)	(70, 0.8785119657593523)	(72, 0.9714371584897326)	(74, 1.0706539253991303)	(76, 1.1743517415439433)	(78, 1.2814442919580102)	(80, 1.3978157827080384)	(82, 1.5201167426483635)	(84, 1.6510629591943888)	(86, 1.7913786423235551)	(88, 1.9345911653624852)	(90, 2.0883499961978975)	(92, 2.254329870402625)	(94, 2.422437111416084)	(96, 2.6129948617302103)	(98, 2.8054536632351184)	(100, 3.006512458222137)	(102, 3.210151251253788)	(104, 3.4174110941726443)	(106, 3.6308719850233375)	(108, 3.850171818817148)	(110, 4.0672537595550455)	(112, 4.292120957550432)	(114, 4.526946042735631)	(116, 4.747649033360732)	(118, 5.0095414664527835)	(120, 5.280622313633614)	(122, 5.55446421135344)	(124, 5.84994188214931)	(126, 6.148135340360584)	(128, 6.453208793357546)	(130, 6.755385406444745)	(132, 7.08046516006851)	(134, 7.414823854028237)	(136, 7.766246745581414)	(138, 8.114501218483287)
C1_B_CKDL260002520-1A_2372W3LT4_L5_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0033494711456639736)	(4, 0.004345259864645156)	(5, 0.004345259864645156)	(6, 0.004797891100545692)	(7, 0.0048884173477257995)	(8, 0.005069469842086015)	(9, 0.005612627325166659)	(10, 0.005793679819526873)	(12, 0.006291574179017464)	(14, 0.006472626673377679)	(16, 0.0066084160441478405)	(18, 0.0066084160441478405)	(20, 0.006789468538508055)	(22, 0.007061047280048378)	(24, 0.007377889145178753)	(26, 0.007513678515948915)	(28, 0.007875783504669345)	(30, 0.00832841474056988)	(32, 0.008962098470830633)	(34, 0.008962098470830633)	(36, 0.009097887841600793)	(38, 0.00941472970673117)	(40, 0.009776834695451599)	(42, 0.010319992178532245)	(44, 0.010682097167252673)	(46, 0.01113472840315321)	(48, 0.011994727751364231)	(50, 0.013035779593935466)	(52, 0.013397884582655895)	(54, 0.014393673301637076)	(56, 0.015253672649848098)	(58, 0.017018934469860192)	(60, 0.017335776334990567)	(62, 0.018331565053971748)	(64, 0.018512617548331965)	(66, 0.018648406919102124)	(68, 0.019236827525772823)	(70, 0.01941788002013304)	(72, 0.01968945876167336)	(74, 0.020096826873983842)	(76, 0.020594721233474434)	(78, 0.021364194334505347)	(80, 0.022359983053486528)	(82, 0.024170507997088676)	(84, 0.0262978748058212)	(86, 0.02851576786173383)	(88, 0.030281029681745925)	(90, 0.03209155462534807)	(92, 0.0348978682879314)	(94, 0.03987681188283731)	(96, 0.044222071747482466)	(98, 0.047978911005456926)	(100, 0.05191680275779159)	(102, 0.05888732379065986)	(104, 0.07011257844099318)	(106, 0.08160941183286682)	(108, 0.09066203655087757)	(110, 0.100303081875559)	(112, 0.11410833457052538)	(114, 0.13397884582655895)	(116, 0.15665567074517583)	(118, 0.1834967030340777)	(120, 0.2164482570076368)	(122, 0.2541977020817416)	(124, 0.2956134601666407)	(126, 0.3406955312623342)	(128, 0.3933818071211567)	(130, 0.4576101794954429)	(132, 0.5321585440482614)	(134, 0.621145845026307)	(136, 0.7141163008802773)	(138, 0.7971741326680257)
