task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
19	68/0b570b	2446684	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Q65R_3)	COMPLETED	0	2026-04-01 23:57:10.312	9m 45s	9m 44s	724.4%	5.7 GB	7 GB	106.9 GB	103.9 GB
11	56/634c88	2481770	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_3)	COMPLETED	0	2026-04-02 00:06:54.915	13m 5s	13m 5s	723.5%	5.9 GB	7.2 GB	148 GB	144 GB
8	21/b53f0d	2523433	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_1)	COMPLETED	0	2026-04-02 00:20:00.260	10m 56s	10m 55s	712.7%	5.7 GB	7 GB	117.8 GB	114.5 GB
14	c2/d0bb15	2560668	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (vpr_2)	COMPLETED	0	2026-04-02 00:30:56.041	10m 58s	10m 58s	718.2%	5.7 GB	7.1 GB	123.6 GB	120.2 GB
17	57/096479	2598128	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Q65R_1)	COMPLETED	0	2026-04-02 00:41:54.225	10m 59s	10m 58s	712.0%	5.7 GB	7 GB	120.2 GB	116.9 GB
15	54/27e19c	2635571	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (vpr_3)	COMPLETED	0	2026-04-02 00:52:53.081	9m 54s	9m 53s	719.0%	5.7 GB	7 GB	111.2 GB	108.1 GB
5	8a/3a1751	2670906	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Mock_2)	COMPLETED	0	2026-04-02 01:02:46.914	10m 37s	10m 36s	724.0%	5.7 GB	7 GB	116.1 GB	112.8 GB
28	9a/2f4454	2707946	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:SORTMERNA_INDEX ([])	COMPLETED	0	2026-04-02 01:13:23.782	2m 59s	2m 59s	97.8%	797.9 MB	807.6 MB	1.1 GB	1.3 GB
27	3d/953845	2712621	NFCORE_RNASEQ:PREPARE_GENOME:SORTMERNA_INDEX ([])	COMPLETED	0	2026-04-02 01:16:23.238	3m 9s	3m 9s	97.8%	797.9 MB	807.6 MB	1.1 GB	1.3 GB
30	0b/e5d09f	2717671	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-04-02 01:19:32.280	54.7s	54s	95.3%	1.7 GB	2 GB	5.2 GB	2.2 GB
42	1a/fc63d2	2719983	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:SORTMERNA (Mock_2)	COMPLETED	0	2026-04-02 01:20:27.026	1h 40m 21s	1h 40m 21s	647.6%	869.3 MB	2.8 GB	37.4 GB	9 GB
36	7a/016402	2807393	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:SORTMERNA (Q65R_3)	COMPLETED	0	2026-04-02 03:00:48.396	1h 30m	1h 30m	645.1%	709.6 MB	2.8 GB	34 GB	8.1 GB
31	3a/92e017	2883979	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:SORTMERNA (Q65R_2)	COMPLETED	0	2026-04-02 04:30:48.794	1h 39m 18s	1h 39m 17s	650.1%	734.8 MB	2.8 GB	36.9 GB	8.8 GB
37	04/eb17d3	2966743	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:SORTMERNA (WT_3)	COMPLETED	0	2026-04-02 06:10:06.762	2h 3m 28s	2h 3m 28s	653.0%	794.2 MB	2.8 GB	45.4 GB	11 GB
33	7b/110fa3	3068645	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:SORTMERNA (vpr_1)	COMPLETED	0	2026-04-02 08:13:35.242	2h 38s	2h 38s	653.4%	778 MB	2.8 GB	44.5 GB	10.7 GB
40	f4/e8f781	3167951	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:SORTMERNA (Q65R_1)	ABORTED	-	2026-04-02 10:14:13.526	-	-	-	-	-	-	-
