Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
D1_1	(12.0, 2.0)	(13.0, 21.0)	(14.0, 208.0)	(15.0, 742.0)	(16.0, 1544.0)	(17.0, 2689.0)	(18.0, 4573.0)	(19.0, 7049.0)	(20.0, 9972.0)	(21.0, 12645.0)	(22.0, 15863.0)	(23.0, 19979.0)	(24.0, 24131.0)	(25.0, 30681.0)	(26.0, 37561.0)	(27.0, 44409.0)	(28.0, 54876.0)	(29.0, 64384.0)	(30.0, 80845.0)	(31.0, 103754.0)	(32.0, 155589.0)	(33.0, 213374.0)	(34.0, 282390.0)	(35.0, 376042.0)	(36.0, 555416.0)	(37.0, 1001160.0)	(38.0, 2225687.0)	(39.0, 24485127.0)	(40.0, 14359204.0)			
D1_1_val_1	(13.0, 3.0)	(14.0, 46.0)	(15.0, 195.0)	(16.0, 529.0)	(17.0, 1078.0)	(18.0, 2166.0)	(19.0, 3621.0)	(20.0, 5581.0)	(21.0, 7795.0)	(22.0, 10672.0)	(23.0, 14616.0)	(24.0, 19142.0)	(25.0, 25890.0)	(26.0, 32647.0)	(27.0, 40311.0)	(28.0, 49299.0)	(29.0, 58549.0)	(30.0, 71836.0)	(31.0, 86762.0)	(32.0, 107924.0)	(33.0, 139328.0)	(34.0, 184942.0)	(35.0, 282166.0)	(36.0, 449407.0)	(37.0, 896000.0)	(38.0, 2117236.0)	(39.0, 24528109.0)	(40.0, 14993356.0)				
D1_2	(11.0, 23.0)	(12.0, 258.0)	(13.0, 1977.0)	(14.0, 7470.0)	(15.0, 13522.0)	(16.0, 16093.0)	(17.0, 16093.0)	(18.0, 16089.0)	(19.0, 17500.0)	(20.0, 19612.0)	(21.0, 21293.0)	(22.0, 24435.0)	(23.0, 28302.0)	(24.0, 31662.0)	(25.0, 37753.0)	(26.0, 42967.0)	(27.0, 50419.0)	(28.0, 61470.0)	(29.0, 72450.0)	(30.0, 93241.0)	(31.0, 117066.0)	(32.0, 157926.0)	(33.0, 210031.0)	(34.0, 284329.0)	(35.0, 396108.0)	(36.0, 608414.0)	(37.0, 1112374.0)	(38.0, 2629760.0)	(39.0, 26066149.0)	(40.0, 12015131.0)		
D1_2_val_2	(10.0, 1.0)	(11.0, 8.0)	(12.0, 75.0)	(13.0, 767.0)	(14.0, 3058.0)	(15.0, 6355.0)	(16.0, 8461.0)	(17.0, 9306.0)	(18.0, 10180.0)	(19.0, 11731.0)	(20.0, 14142.0)	(21.0, 16551.0)	(22.0, 19938.0)	(23.0, 24264.0)	(24.0, 27587.0)	(25.0, 33676.0)	(26.0, 38266.0)	(27.0, 44527.0)	(28.0, 52146.0)	(29.0, 59537.0)	(30.0, 71848.0)	(31.0, 84023.0)	(32.0, 105020.0)	(33.0, 134386.0)	(34.0, 178534.0)	(35.0, 266043.0)	(36.0, 425707.0)	(37.0, 873774.0)	(38.0, 2215739.0)	(39.0, 26012815.0)	(40.0, 13380741.0)	
D2_1	(12.0, 1.0)	(13.0, 19.0)	(14.0, 196.0)	(15.0, 848.0)	(16.0, 1686.0)	(17.0, 3019.0)	(18.0, 4995.0)	(19.0, 7442.0)	(20.0, 10518.0)	(21.0, 13361.0)	(22.0, 16582.0)	(23.0, 21056.0)	(24.0, 25323.0)	(25.0, 32184.0)	(26.0, 39068.0)	(27.0, 46458.0)	(28.0, 57697.0)	(29.0, 66325.0)	(30.0, 83276.0)	(31.0, 106152.0)	(32.0, 161514.0)	(33.0, 244158.0)	(34.0, 322072.0)	(35.0, 415298.0)	(36.0, 609175.0)	(37.0, 1029243.0)	(38.0, 2160576.0)	(39.0, 22778484.0)	(40.0, 12890599.0)			
D2_1_val_1	(12.0, 1.0)	(13.0, 2.0)	(14.0, 40.0)	(15.0, 216.0)	(16.0, 582.0)	(17.0, 1285.0)	(18.0, 2342.0)	(19.0, 3856.0)	(20.0, 5968.0)	(21.0, 8391.0)	(22.0, 11180.0)	(23.0, 15317.0)	(24.0, 20398.0)	(25.0, 27248.0)	(26.0, 34373.0)	(27.0, 42214.0)	(28.0, 51872.0)	(29.0, 60596.0)	(30.0, 73678.0)	(31.0, 88422.0)	(32.0, 108307.0)	(33.0, 139658.0)	(34.0, 183504.0)	(35.0, 278273.0)	(36.0, 440219.0)	(37.0, 860328.0)	(38.0, 1992696.0)	(39.0, 22913066.0)	(40.0, 13739755.0)			
D2_2	(10.0, 4.0)	(11.0, 32.0)	(12.0, 273.0)	(13.0, 1926.0)	(14.0, 7145.0)	(15.0, 12594.0)	(16.0, 15007.0)	(17.0, 15534.0)	(18.0, 15954.0)	(19.0, 17402.0)	(20.0, 19402.0)	(21.0, 21160.0)	(22.0, 23911.0)	(23.0, 27284.0)	(24.0, 30983.0)	(25.0, 36322.0)	(26.0, 41428.0)	(27.0, 47828.0)	(28.0, 57031.0)	(29.0, 64638.0)	(30.0, 80378.0)	(31.0, 95485.0)	(32.0, 122640.0)	(33.0, 156424.0)	(34.0, 212201.0)	(35.0, 313084.0)	(36.0, 505987.0)	(37.0, 1007631.0)	(38.0, 2548760.0)	(39.0, 23893768.0)	(40.0, 11755109.0)	
D2_2_val_2	(10.0, 3.0)	(11.0, 14.0)	(12.0, 94.0)	(13.0, 724.0)	(14.0, 2865.0)	(15.0, 5736.0)	(16.0, 8034.0)	(17.0, 9060.0)	(18.0, 9943.0)	(19.0, 11416.0)	(20.0, 13561.0)	(21.0, 16012.0)	(22.0, 19191.0)	(23.0, 23308.0)	(24.0, 27068.0)	(25.0, 32435.0)	(26.0, 37092.0)	(27.0, 43350.0)	(28.0, 50136.0)	(29.0, 56843.0)	(30.0, 67929.0)	(31.0, 79970.0)	(32.0, 99052.0)	(33.0, 125875.0)	(34.0, 165738.0)	(35.0, 245166.0)	(36.0, 387851.0)	(37.0, 779878.0)	(38.0, 1943494.0)	(39.0, 23181484.0)	(40.0, 13660465.0)	
D3_1	(13.0, 15.0)	(14.0, 207.0)	(15.0, 773.0)	(16.0, 1463.0)	(17.0, 2368.0)	(18.0, 4003.0)	(19.0, 6145.0)	(20.0, 8567.0)	(21.0, 10906.0)	(22.0, 13510.0)	(23.0, 16851.0)	(24.0, 20012.0)	(25.0, 25485.0)	(26.0, 30985.0)	(27.0, 37093.0)	(28.0, 46141.0)	(29.0, 54117.0)	(30.0, 67471.0)	(31.0, 84751.0)	(32.0, 121035.0)	(33.0, 185450.0)	(34.0, 252813.0)	(35.0, 345130.0)	(36.0, 524075.0)	(37.0, 938625.0)	(38.0, 2124893.0)	(39.0, 23892455.0)	(40.0, 16944720.0)				
D3_1_val_1	(13.0, 3.0)	(14.0, 46.0)	(15.0, 224.0)	(16.0, 524.0)	(17.0, 991.0)	(18.0, 1966.0)	(19.0, 3159.0)	(20.0, 4729.0)	(21.0, 6723.0)	(22.0, 8975.0)	(23.0, 12265.0)	(24.0, 15754.0)	(25.0, 21226.0)	(26.0, 26890.0)	(27.0, 33313.0)	(28.0, 41261.0)	(29.0, 49431.0)	(30.0, 61001.0)	(31.0, 73885.0)	(32.0, 91867.0)	(33.0, 120776.0)	(34.0, 160868.0)	(35.0, 246868.0)	(36.0, 397042.0)	(37.0, 802009.0)	(38.0, 1940622.0)	(39.0, 23767516.0)	(40.0, 17834215.0)				
