Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
D1_1	5.2	44169917	17209651	44169917	6625487550	9860879	6456474602	2.550951106986836
D1_2	5.2	44169917	18772732	44169917	6625487550	14471843	6451261996	2.629626162379552
D2_1	5.2	41147325	17651772	41147325	6172098750	12018831	5949318421	3.6094744757607775
D2_2	5.2	41147325	18991290	41147325	6172098750	10760516	5944997569	3.6794806790801915
D3_1	5.2	45760059	19365092	45760059	6864008850	9527189	6652078053	3.0875659054547984
D3_2	5.2	45760059	20872020	45760059	6864008850	11454719	6647368838	3.1561732616355824
D4_1	5.2	34131858	14661365	34131858	5119778700	9704301	4939590661	3.5194497566857725
D4_2	5.2	34131858	15802915	34131858	5119778700	9641505	4935595804	3.5974776800411314
D5_1	5.2	46424882	20308894	46424882	6963732300	12348309	6720277691	3.4960362993850294
D5_2	5.2	46424882	21751359	46424882	6963732300	12927577	6713972682	3.5865769567276446
D6_1	5.2	45178447	22232639	45178447	6776767050	11221737	6470268274	4.522787543656234
D6_2	5.2	45178447	23593581	45178447	6776767050	12465162	6465719536	4.589910081090953
D7_1	5.2	46424193	19036255	46424193	6963628950	12118865	6748869078	3.084022332924559
D7_2	5.2	46424193	20484001	46424193	6963628950	12847755	6743761959	3.157362239985518
D8_1	5.2	31264138	12848220	31264138	4689620700	6962460	4543870056	3.1079409897691725
D8_2	5.2	31264138	13816382	31264138	4689620700	8380274	4540369866	3.1825779428174226
D9_1	5.2	45919571	19061170	45919571	6887935650	12535381	6659689916	3.3137030541218833
D9_2	5.2	45919571	20581482	45919571	6887935650	12356898	6655456269	3.375167725325657
