Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
D1	39784637.0	1907221.0	12627.0	2447759.0	17673.0
D2	36077726.0	1785650.0	12630.0	3250745.0	20574.0
D3	40497647.0	2021550.0	14336.0	3203675.0	22851.0
D4	29945896.0	1461189.0	12604.0	2691700.0	20469.0
D5	40584782.0	2045221.0	18731.0	3757569.0	18579.0
D6	38396604.0	2018338.0	20284.0	4720634.0	22587.0
D7	41152738.0	1976039.0	15787.0	3251796.0	27833.0
D8	27763412.0	1279872.0	10796.0	2191302.0	18756.0
D9	40600452.0	1966752.0	15635.0	3309194.0	27538.0
