Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
D1_1	(1, 39.27237755506763)	(2, 39.20882382459537)	(3, 39.46427250474571)	(4, 39.447833737156444)	(5, 39.50914175365102)	(6, 39.41547182440936)	(7, 39.42474598718399)	(8, 39.464773773516484)	(9, 39.456588700404396)	(10, 39.47061425087124)	(15, 39.56394585935038)	(20, 39.5988087638924)	(25, 39.58678768176087)	(30, 39.569926975411796)	(35, 39.55210426136866)	(40, 39.56061979016171)	(45, 39.55328829800608)	(50, 39.537133384244314)	(55, 39.530766548644415)	(60, 39.5161796477906)	(65, 39.5066881379922)	(70, 39.49553424789094)	(75, 39.48402899194943)	(80, 39.469913262458704)	(85, 39.459144104798746)	(90, 39.43588239479825)	(95, 39.41755982923853)	(100, 39.39865038007656)	(105, 39.376701015761476)	(110, 39.354300375977616)	(115, 39.31906609650183)	(120, 39.27497933038905)	(125, 39.218276167464836)	(130, 39.1546339061493)	(135, 39.07806331626116)	(140, 38.997582988439845)	(145, 38.905075429505565)	(150, 38.836083097009215)
D1_1_val_1	(1, 39.27453609747703)	(2, 39.211508178959754)	(3, 39.46686561729663)	(4, 39.45052448938238)	(5, 39.51190825867114)	(6, 39.41817928924441)	(7, 39.42757499421132)	(8, 39.467560349941486)	(9, 39.459305363436634)	(10, 39.47336669959573)	(15, 39.56671828629774)	(20, 39.601627990829314)	(25, 39.59042651819713)	(30, 39.57450285647379)	(35, 39.55856492554668)	(40, 39.568066916585956)	(45, 39.56394690639512)	(50, 39.55238817101957)	(55, 39.54877162489605)	(60, 39.53652102184088)	(65, 39.53044488082978)	(70, 39.521172070479814)	(75, 39.510493358420234)	(80, 39.49860335480213)	(85, 39.490546308476375)	(90, 39.470706592171496)	(95, 39.45800314078552)	(100, 39.44861888329363)	(105, 39.44131327281902)	(110, 39.43987643445643)	(115, 39.43249172159418)	(120, 39.425980841168126)	(125, 39.41496936585865)	(130, 39.40735016162862)	(135, 39.39402356650796)	(140, 39.392033924507935)	(145, 39.400201083940296)	(150, 39.56860548116175)
D1_2	(1, 39.18287007421816)	(2, 39.107922752039585)	(3, 39.255194163031824)	(4, 39.33906953006047)	(5, 39.44930351578429)	(6, 39.44960045996917)	(7, 39.38005600055803)	(8, 39.43202870406118)	(9, 39.46217284039723)	(10, 39.41395113330187)	(15, 39.49186741736463)	(20, 39.499055291410215)	(25, 39.50134223254257)	(30, 39.50085170411346)	(35, 39.497362741252154)	(40, 39.502962398593596)	(45, 39.484952217591896)	(50, 39.48134531925881)	(55, 39.483368918261725)	(60, 39.47045297821139)	(65, 39.44990321353785)	(70, 39.43937037056239)	(75, 39.41986338348791)	(80, 39.40403537095168)	(85, 39.38093381973074)	(90, 39.35689469826262)	(95, 39.330914192118584)	(100, 39.29284547217962)	(105, 39.25911105968344)	(110, 39.202373466085525)	(115, 39.16187899107893)	(120, 39.10027966772045)	(125, 39.02119985419036)	(130, 38.927141656163855)	(135, 38.83643097178562)	(140, 38.71324449172046)	(145, 38.569387051372544)	(150, 38.50318645606692)
D1_2_val_2	(1, 39.18757144644751)	(2, 39.11602261776475)	(3, 39.26396069759333)	(4, 39.34912418319967)	(5, 39.45904610203048)	(6, 39.45936477986937)	(7, 39.3914225875716)	(8, 39.44473700705152)	(9, 39.47440083105053)	(10, 39.42768813470154)	(15, 39.50573902915905)	(20, 39.51327801739819)	(25, 39.51803119742886)	(30, 39.51846516708494)	(35, 39.5166759132552)	(40, 39.52452091054068)	(45, 39.5087457114081)	(50, 39.508628752086466)	(55, 39.51192064312237)	(60, 39.50136479372045)	(65, 39.48380208143991)	(70, 39.47697829600618)	(75, 39.46199289400168)	(80, 39.45289987518303)	(85, 39.438332738276415)	(90, 39.4271256537582)	(95, 39.417000521285)	(100, 39.40134872375195)	(105, 39.39320609526873)	(110, 39.37242985204628)	(115, 39.37314468726997)	(120, 39.36501457460405)	(125, 39.347824980774)	(130, 39.329953200049374)	(135, 39.32788014598226)	(140, 39.31349354958407)	(145, 39.311368226038816)	(150, 39.517972830153376)
D2_1	(1, 38.966882051263354)	(2, 39.29031024495517)	(3, 39.37419980521212)	(4, 39.44828175343112)	(5, 39.42284082865654)	(6, 39.45891423075498)	(7, 39.48002578539431)	(8, 39.43344637834902)	(9, 39.40751451036003)	(10, 39.420971317090476)	(15, 39.51975504118433)	(20, 39.567112452632095)	(25, 39.55785864087155)	(30, 39.53582978723405)	(35, 39.523220291963085)	(40, 39.531937539074534)	(45, 39.52432701275235)	(50, 39.50903341590249)	(55, 39.503713594990685)	(60, 39.48955936260741)	(65, 39.48002531391773)	(70, 39.47036585731879)	(75, 39.45802501620701)	(80, 39.444098623665084)	(85, 39.433652428195515)	(90, 39.41024815586432)	(95, 39.390599860379744)	(100, 39.36890594953621)	(105, 39.34061395728641)	(110, 39.31050475334666)	(115, 39.26094107454129)	(120, 39.198828672337754)	(125, 39.11907636280123)	(130, 39.02402118728253)	(135, 38.91000800659582)	(140, 38.78839317501198)	(145, 38.64816660135258)	(150, 38.553194454317506)
D2_1_val_1	(1, 38.96942765881888)	(2, 39.29353545939696)	(3, 39.3771969964714)	(4, 39.45128197068557)	(5, 39.42603325090216)	(6, 39.4619681393347)	(7, 39.4831755526565)	(8, 39.43654527501322)	(9, 39.41055436084271)	(10, 39.42405840123685)	(15, 39.522828833265415)	(20, 39.57032090739922)	(25, 39.56196376971647)	(30, 39.54097047501226)	(35, 39.52940850105888)	(40, 39.54009519913154)	(45, 39.53769141439027)	(50, 39.527013312924915)	(55, 39.52435962231349)	(60, 39.51305329389102)	(65, 39.507460246940234)	(70, 39.499746180865166)	(75, 39.487814234165015)	(80, 39.47607194286499)	(85, 39.468239360969854)	(90, 39.448225157970896)	(95, 39.43514975139466)	(100, 39.425562894492344)	(105, 39.417498726385546)	(110, 39.417439729856035)	(115, 39.40913434114556)	(120, 39.40334681752678)	(125, 39.39291667569772)	(130, 39.384206738686956)	(135, 39.37167271670644)	(140, 39.37092962724926)	(145, 39.38037909387223)	(150, 39.55212124730076)
D2_2	(1, 39.22144698349164)	(2, 39.21172010574199)	(3, 39.361112854845366)	(4, 39.404819341232994)	(5, 39.47130869382153)	(6, 39.466396904294506)	(7, 39.43098828417157)	(8, 39.44969990151243)	(9, 39.49130107485723)	(10, 39.4525988117089)	(15, 39.506588464742244)	(20, 39.51649713316723)	(25, 39.51949116983911)	(30, 39.50735508079809)	(35, 39.49962311766318)	(40, 39.50850887633643)	(45, 39.49105256781577)	(50, 39.48913033836343)	(55, 39.490175179066924)	(60, 39.47958963067465)	(65, 39.458529262837864)	(70, 39.44762584688068)	(75, 39.42716461398159)	(80, 39.41089067150781)	(85, 39.38820989699816)	(90, 39.3651721272282)	(95, 39.34073814032868)	(100, 39.30490708205211)	(105, 39.27494663140313)	(110, 39.223485657937665)	(115, 39.19042305180228)	(120, 39.13972094176231)	(125, 39.070631303492995)	(130, 38.990674062044135)	(135, 38.91614293760287)	(140, 38.81854220657114)	(145, 38.698839897854846)	(150, 38.65400632969458)
D2_2_val_2	(1, 39.22604119177632)	(2, 39.219557652923804)	(3, 39.36977244943392)	(4, 39.41533275267313)	(5, 39.481529353974125)	(6, 39.47653137167142)	(7, 39.44299898693033)	(8, 39.46360003276584)	(9, 39.504506482577874)	(10, 39.46755801357184)	(15, 39.521421089497174)	(20, 39.531472959000055)	(25, 39.53734698781484)	(30, 39.52581020234088)	(35, 39.52154199519165)	(40, 39.532849352842184)	(45, 39.51634666317626)	(50, 39.517151008737464)	(55, 39.51883908848169)	(60, 39.51025782511737)	(65, 39.491908920835655)	(70, 39.484541930531286)	(75, 39.4684731836321)	(80, 39.45877452460302)	(85, 39.44387742211182)	(90, 39.432848299808015)	(95, 39.421973293305044)	(100, 39.405499546101225)	(105, 39.39666241136432)	(110, 39.37529808157759)	(115, 39.37572825302982)	(120, 39.367124406672616)	(125, 39.34974211322229)	(130, 39.32983616191706)	(135, 39.328466833032635)	(140, 39.312227541513096)	(145, 39.312220834364034)	(150, 39.520442036834424)
D3_1	(1, 39.09655601624115)	(2, 39.33772729619951)	(3, 39.51855752633536)	(4, 39.491024760260906)	(5, 39.49716308276613)	(6, 39.447797892917926)	(7, 39.49483314695901)	(8, 39.531042956041645)	(9, 39.51608495522263)	(10, 39.548702780300175)	(15, 39.62480362186596)	(20, 39.64745169144122)	(25, 39.6411333167206)	(30, 39.631611261690026)	(35, 39.605002353690146)	(40, 39.6170636493279)	(45, 39.60905647433715)	(50, 39.597621624570024)	(55, 39.59403128391945)	(60, 39.58198258004869)	(65, 39.57514690704399)	(70, 39.56680734174753)	(75, 39.55749232753393)	(80, 39.54625096090894)	(85, 39.537913528476885)	(90, 39.51819587470375)	(95, 39.50411125125516)	(100, 39.489546707096686)	(105, 39.47195048415475)	(110, 39.45396176171888)	(115, 39.42218437262067)	(120, 39.38302765300193)	(125, 39.330971964000305)	(130, 39.2665556921594)	(135, 39.18587309950802)	(140, 39.09387762371548)	(145, 38.97365754270553)	(150, 38.89356058304033)
D3_1_val_1	(1, 39.09832565719266)	(2, 39.339956288743615)	(3, 39.52061883098141)	(4, 39.49315979615061)	(5, 39.4993393316079)	(6, 39.44996614371106)	(7, 39.49706770923172)	(8, 39.53324019217941)	(9, 39.51831175687928)	(10, 39.55087521038391)	(15, 39.626995831021375)	(20, 39.64969249976264)	(25, 39.6440674282188)	(30, 39.63586026632034)	(35, 39.610201389688974)	(40, 39.62340615758349)	(45, 39.619141551865106)	(50, 39.61101705821606)	(55, 39.60926095739959)	(60, 39.59938918460749)	(65, 39.5953037220973)	(70, 39.588672705606356)	(75, 39.57996170210777)	(80, 39.57040518086397)	(85, 39.56389317971318)	(90, 39.5460719538423)	(95, 39.53586255323721)	(100, 39.52776724249093)	(105, 39.521575521710446)	(110, 39.5206480414397)	(115, 39.512830828036314)	(120, 39.506946586884276)	(125, 39.4982442202203)	(130, 39.49044471226528)	(135, 39.479137126436434)	(140, 39.47688358594529)	(145, 39.481910940640546)	(150, 39.62343824347155)
