Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
D1_1	(1, 4.5279686624722435e-06)	(2, 0.03141278259590119)	(3, 0.007027407364156921)	(4, 0.0003599735086665433)	(5, 0.0006407075657398224)	(6, 2.2639843312361217e-06)	(7, 5.2071639618430794e-05)	(8, 0.0001879106994925981)	(9, 4.5279686624722435e-06)	(10, 9.50873419119171e-06)	(15, 0.006836327086600593)	(20, 0.0002775644790095485)	(25, 3.16957806373057e-05)	(30, 8.512581085447818e-05)	(35, 0.0005967862697138417)	(40, 0.0005202635993180608)	(45, 0.0)	(50, 0.0012519833351735752)	(55, 0.00011817998209052554)	(60, 0.00010550166983560326)	(65, 0.0004700031471646188)	(70, 5.38828270834197e-05)	(75, 0.0006624418153196892)	(80, 7.425868606454478e-05)	(85, 2.5809421376091785e-05)	(90, 0.00010550166983560326)	(95, 0.00011908557582301999)	(100, 0.0002589998074934123)	(105, 0.000308807462780607)	(110, 0.00010640726356809771)	(115, 0.0003400504465516655)	(120, 0.0002191536832636566)	(125, 0.0001842883245626203)	(130, 0.0006714977526446336)	(135, 8.512581085447818e-05)	(140, 0.00039846124229755736)	(145, 2.6715015108586238e-05)	(150, 2.2639843312361217e-06)
D1_1_val_1	(1, 4.532145899022067e-06)	(2, 0.03142136751791999)	(3, 0.007033890435282248)	(4, 0.00036030559897225434)	(5, 0.0006412986447116225)	(6, 2.2660729495110334e-06)	(7, 5.2119677838753775e-05)	(8, 0.00018808405480941578)	(9, 4.532145899022067e-06)	(10, 9.517506387946341e-06)	(15, 0.006838554947034397)	(20, 0.0002778274122971262)	(25, 3.172780588420715e-05)	(30, 8.52172506604099e-05)	(35, 0.000597018446360447)	(40, 0.0005209208807594242)	(45, 0.0)	(50, 0.0012509719298953517)	(55, 0.00011843549165907841)	(60, 0.00010580056453728183)	(65, 0.00047087575718617085)	(70, 5.415204404102921e-05)	(75, 0.0006646096405703543)	(80, 7.444305383601997e-05)	(85, 2.6098850191803196e-05)	(90, 0.00010513804772584198)	(95, 0.0001198124674982761)	(100, 0.0002577800936334125)	(105, 0.00030813797273374587)	(110, 0.00010538951388201451)	(115, 0.00034596134239287625)	(120, 0.0002184385960611638)	(125, 0.00018221485599836376)	(130, 0.0006738927365758353)	(135, 8.885265104817399e-05)	(140, 0.0004086765629051935)	(145, 2.677881058457797e-05)	(150, 0.0)
D1_2	(1, 0.02589318879634752)	(2, 0.020726776552466693)	(3, 0.0002445103077735011)	(4, 8.603140458697262e-05)	(5, 0.0)	(6, 4.754367095595855e-05)	(7, 0.0011591599775928943)	(8, 1.3583905987416731e-05)	(9, 0.0)	(10, 0.00039846124229755736)	(15, 0.001919858712888231)	(20, 0.0005379226771017025)	(25, 0.00022277605819363437)	(30, 0.0003214857750355293)	(35, 0.00011274641969555886)	(40, 0.00019923062114877868)	(45, 0.0033905429344592156)	(50, 0.0003282777280292376)	(55, 0.00023907674537853443)	(60, 0.0003658598679277573)	(65, 0.00016255407498275354)	(70, 0.007366099420109845)	(75, 0.0003056378847168764)	(80, 0.0004496272881834938)	(85, 0.0005284139429105108)	(90, 0.0003228441656342709)	(95, 0.00011365201342805331)	(100, 0.000799186468926351)	(105, 0.00011772718522427833)	(110, 0.0004066115858900075)	(115, 0.0001838355276963731)	(120, 0.00016617644991273134)	(125, 0.0005220747867830496)	(130, 0.0015313590016481128)	(135, 0.00026171658869089567)	(140, 0.0003178634001055515)	(145, 0.0009237056071443377)	(150, 4.754367095595855e-05)
D1_2_val_2	(1, 0.025896681667012093)	(2, 0.02073909963392498)	(3, 0.00024473587854719164)	(4, 8.611077208141928e-05)	(5, 0.0)	(6, 4.758753193973171e-05)	(7, 0.0011602293501496491)	(8, 1.3596437697066201e-05)	(9, 0.0)	(10, 0.00039882883911394196)	(15, 0.00192027021741565)	(20, 0.0005384438995776927)	(25, 0.00022301538237267833)	(30, 0.000321862264964161)	(35, 0.00011243642015132673)	(40, 0.00019951122018228298)	(45, 0.003389628898403171)	(50, 0.00032845064382836225)	(55, 0.00023918589074473236)	(60, 0.000366514208261639)	(65, 0.0001627484315028993)	(70, 0.007362539228358645)	(75, 0.0003059279685257658)	(80, 0.00045223245786184756)	(85, 0.0005303327697532481)	(90, 0.00032420979865887265)	(95, 0.00011569147807768864)	(100, 0.0007999064776009939)	(105, 0.00011965276673977124)	(110, 0.0004108846867353304)	(115, 0.0001878922099403505)	(120, 0.00016803361696725587)	(125, 0.0005309127839705927)	(130, 0.001556935190161139)	(135, 0.00027650855413775794)	(140, 0.00034001497924188466)	(145, 0.001006225768270814)	(150, 0.0)
D2_1	(1, 2.430291641072658e-06)	(2, 0.03187327487266791)	(3, 0.007684582169071743)	(4, 0.0003353802464680268)	(5, 0.0006221546601146004)	(6, 0.0)	(7, 9.964195728397898e-05)	(8, 0.00019928391456795796)	(9, 7.2908749232179735e-06)	(10, 2.0900508113224855e-05)	(15, 0.0068466176112298915)	(20, 0.0003251730215755216)	(25, 3.888466625716253e-05)	(30, 9.672560731469179e-05)	(35, 0.0007276293173371538)	(40, 0.0006289594767096039)	(45, 0.0)	(50, 0.0016341280994572552)	(55, 0.00015602472335686464)	(60, 0.00018664639803438012)	(65, 0.0005905608687806559)	(70, 6.221546601146004e-05)	(75, 0.0008369924411854234)	(80, 8.360203245289942e-05)	(85, 3.1593791333944546e-05)	(90, 0.00011568188211505852)	(95, 0.00017741128979830402)	(100, 0.00031788214665230365)	(105, 0.0004321058537827186)	(110, 0.00015165019840293384)	(115, 0.00042578709551592965)	(120, 0.00029114893860050436)	(125, 0.00023573828918404781)	(130, 0.0008938612655865235)	(135, 0.0001215145820536329)	(140, 0.0004705044617116666)	(145, 3.402408297501721e-05)	(150, 1.4581749846435947e-05)
D2_1_val_1	(1, 2.4328658573478885e-06)	(2, 0.03188027419468673)	(3, 0.007680557511647285)	(4, 0.0003357354883140086)	(5, 0.0006228136594810594)	(6, 0.0)	(7, 9.974750015126343e-05)	(8, 0.00019706213444517897)	(9, 7.298597572043666e-06)	(10, 2.0922646373191842e-05)	(15, 0.006845111376234019)	(20, 0.00032504174389956134)	(25, 3.8930181104662376e-05)	(30, 9.63592079722781e-05)	(35, 0.0007271353883263134)	(40, 0.0006289059433923805)	(45, 0.0)	(50, 0.0016355225523534398)	(55, 0.0001559447085365376)	(60, 0.00018681435595063037)	(65, 0.0005905046500604972)	(70, 6.164837901752211e-05)	(75, 0.0008397809864921963)	(80, 8.313517891266053e-05)	(85, 3.210386685544531e-05)	(90, 0.00011657260142360743)	(95, 0.0001796318678390068)	(100, 0.0003188892073484467)	(105, 0.00043194544552316695)	(110, 0.00015126645617428254)	(115, 0.0004259499877541963)	(120, 0.0002895830736860626)	(125, 0.00023939925979664066)	(130, 0.0008987752066829479)	(135, 0.00012345041427827712)	(140, 0.0004694385512656302)	(145, 3.7144129954082606e-05)	(150, 0.0)
D2_2	(1, 0.029323898941182692)	(2, 0.023192273130756374)	(3, 0.00028434412200550093)	(4, 0.0001215145820536329)	(5, 0.0)	(6, 3.402408297501721e-05)	(7, 0.0015408049004400652)	(8, 7.2908749232179735e-06)	(9, 0.0)	(10, 0.0004811977449323863)	(15, 0.0022397567764125613)	(20, 0.0006362503516328218)	(25, 0.00027948353872335566)	(30, 0.0004029423540898467)	(35, 0.00015262231505936292)	(40, 0.0002532363889997709)	(45, 0.0034796915716878312)	(50, 0.000401484179105203)	(55, 0.00028337200534907193)	(60, 0.0004948073781223932)	(65, 0.00021483778107082296)	(70, 0.007184428149338991)	(75, 0.00038544425427412354)	(80, 0.0005618834274159985)	(85, 0.0007115893925060742)	(90, 0.0004296755621416459)	(95, 0.000169148298218657)	(100, 0.0010508581055998173)	(105, 0.0001710925315315151)	(110, 0.0005409829193027736)	(115, 0.00026101332225120347)	(120, 0.00020900508113224858)	(125, 0.0007149918008035759)	(130, 0.0019267352130424033)	(135, 0.00033051966318588147)	(140, 0.0003718346210841167)	(145, 0.0010620374471487515)	(150, 6.561787430896176e-05)
D2_2_val_2	(1, 0.029335496507900842)	(2, 0.023187644486382726)	(3, 0.00028464530530970296)	(4, 0.00011921042701004655)	(5, 0.0)	(6, 3.406012200287044e-05)	(7, 0.0015400040877012135)	(8, 7.298597572043666e-06)	(9, 0.0)	(10, 0.0004807342934119428)	(15, 0.0022396963082744665)	(20, 0.0006359849800103643)	(25, 0.00027934058180939585)	(30, 0.0004025072120702014)	(35, 0.00015235664504067122)	(40, 0.0002531561586851739)	(45, 0.0034802565997524887)	(50, 0.0004009176112652568)	(55, 0.00028319278230211424)	(60, 0.0004937194543408687)	(65, 0.00021592872390188713)	(70, 0.007178688996094037)	(75, 0.00038563508711732117)	(80, 0.0005643595814268484)	(85, 0.0007158315448495436)	(90, 0.0004331569058297288)	(95, 0.00017069196501263908)	(100, 0.0010538539617703274)	(105, 0.00017576003857765698)	(110, 0.0005454193713188601)	(115, 0.0002569831645985494)	(120, 0.00021580842945525465)	(125, 0.000731179865303152)	(130, 0.001952535937743508)	(135, 0.0003400130107584491)	(140, 0.0003895593881725624)	(145, 0.0011637941914513323)	(150, 0.0)
D3_1	(1, 0.0)	(2, 0.03265730055112036)	(3, 0.007746930571046686)	(4, 0.0003474645869665509)	(5, 0.0005463279669285392)	(6, 0.0)	(7, 7.867122723770964e-05)	(8, 0.00019449275622655994)	(9, 4.370623735428313e-06)	(10, 1.2237746459199275e-05)	(15, 0.0069964944756736435)	(20, 0.0003050695367328963)	(25, 4.6328611595540116e-05)	(30, 9.134603607045175e-05)	(35, 0.000756554968602641)	(40, 0.0006315551297693912)	(45, 4.3706237354283134e-07)	(50, 0.001635050339423732)	(55, 0.0001534088931135338)	(60, 0.00017963263552610368)	(65, 0.0005869747676680224)	(70, 5.725517093411091e-05)	(75, 0.000808565391054238)	(80, 7.211529163456717e-05)	(85, 3.321674038925518e-05)	(90, 0.00011888096560365013)	(95, 0.0001634613277050189)	(100, 0.0003190555326862669)	(105, 0.0004243875647100892)	(110, 0.0001590907039695906)	(115, 0.0004160833796127754)	(120, 0.0002692304221023841)	(125, 0.00020279694132387374)	(130, 0.0008715023728444058)	(135, 0.00010533203202382236)	(140, 0.0004532336813639161)	(145, 3.933561361885482e-05)	(150, 8.741247470856625e-06)
D3_1_val_1	(1, 0.0)	(2, 0.032665452122465966)	(3, 0.0077508276862626796)	(4, 0.0003477374723802951)	(5, 0.0005467570320444892)	(6, 0.0)	(7, 7.873301261440645e-05)	(8, 0.00019464550340783816)	(9, 4.374056256355914e-06)	(10, 1.2247357517796558e-05)	(15, 0.00699674038766692)	(20, 0.0003053159776509579)	(25, 4.636861866375833e-05)	(30, 9.099237597629789e-05)	(35, 0.0007564198929087052)	(40, 0.0006300381338455986)	(45, 4.375829091072779e-07)	(50, 0.0016355737402294164)	(55, 0.0001532322790678175)	(60, 0.0001795921817233189)	(65, 0.0005843496871622797)	(70, 5.5730279734101975e-05)	(75, 0.0008069264491947439)	(80, 7.221115128893581e-05)	(85, 3.266881721664326e-05)	(90, 0.00011955401993484466)	(95, 0.00016323236736836422)	(100, 0.0003170183257652325)	(105, 0.0004211151211279321)	(110, 0.000159392959678363)	(115, 0.00041304354051670755)	(120, 0.0002689453650311133)	(125, 0.00020655770634474678)	(130, 0.0008800334637405616)	(135, 0.00011040724123115144)	(140, 0.00045463051526035297)	(145, 4.095715814768858e-05)	(150, 0.0)
