Sample	Unique Reads	Duplicate Reads
D1_1	15153032.0	29016885.0
D1_1_val_1	15139149.0	28990057.0
D1_2	12807174.0	31362743.0
D1_2_val_2	12781877.0	31347329.0
D2_1	14426737.0	26720588.0
D2_1_val_1	14409783.0	26694004.0
D2_2	12282130.0	28865195.0
D2_2_val_2	12249722.0	28854065.0
D3_1	15246275.0	30513784.0
D3_1_val_1	15230286.0	30493863.0
D3_2	12956230.0	32803829.0
D3_2_val_2	12932972.0	32791177.0
D4_1	13135654.0	20996204.0
D4_1_val_1	13121078.0	20978935.0
D4_2	11356075.0	22775783.0
D4_2_val_2	11330850.0	22769163.0
D5_1	16037085.0	30387797.0
D5_1_val_1	16013534.0	30368800.0
D5_2	13905268.0	32519614.0
D5_2_val_2	13871720.0	32510614.0
D6_1	15746938.0	29431509.0
D6_1_val_1	15732966.0	29410132.0
D6_2	13550677.0	31627770.0
D6_2_val_2	13524122.0	31618976.0
D7_1	16383231.0	30040962.0
D7_1_val_1	16362225.0	30010554.0
D7_2	14107364.0	32316829.0
D7_2_val_2	14071852.0	32300927.0
D8_1	7619311.0	23644827.0
D8_1_val_1	7610222.0	23622550.0
D8_2	6997502.0	24266636.0
D8_2_val_2	6984412.0	24248360.0
D9_1	16372984.0	29546587.0
D9_1_val_1	16351453.0	29512503.0
D9_2	13875680.0	32043891.0
D9_2_val_2	13838287.0	32025669.0
