Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
D1	Unknown Library	0.0	41691858.0	7236298.0	0.0	0.0	11982444.0	2322767.0	0.287405	66482591.0
D2	Unknown Library	7144.0	40697990.0	7700575.0	0.0	5830.0	11335908.0	1921470.0	0.278584	66327405.0
D3	Unknown Library	7540.0	45260070.0	8527560.0	0.0	6138.0	13702012.0	2626397.0	0.302782	67125379.0
D4	Unknown Library	0.0	31407085.0	5597450.0	0.0	0.0	7989000.0	1706611.0	0.254369	59910484.0
D5	Unknown Library	8198.0	45852904.0	8761390.0	0.0	6727.0	12751700.0	2243717.0	0.278149	75281367.0
D6	Unknown Library	0.0	40414942.0	7966480.0	0.0	0.0	11898359.0	1750625.0	0.294405	60110325.0
D7	Unknown Library	0.0	43128777.0	7433362.0	0.0	0.0	11941032.0	2676408.0	0.276869	74240844.0
D8	Unknown Library	0.0	29043284.0	4803060.0	0.0	0.0	17789406.0	1420348.0	0.612514	12694763.0
D9	Unknown Library	0.0	42567204.0	7487690.0	0.0	0.0	11966311.0	2691643.0	0.281116	71837585.0
