Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
D6_1_val_1	(20, 2379.0)	(25, 2667.0)	(30, 2684.0)	(35, 3352.0)	(40, 5075.0)	(45, 7309.0)	(50, 12646.0)	(55, 18601.0)	(60, 35620.0)	(65, 45330.0)	(70, 80748.0)	(75, 98918.0)	(80, 150378.0)	(85, 186336.0)	(90, 255213.0)	(95, 326203.0)	(100, 413011.0)	(105, 527802.0)	(110, 634661.0)	(115, 808697.0)	(120, 936179.0)	(125, 1175971.0)	(130, 1311143.0)	(135, 1601982.0)	(140, 1720435.0)	(145, 12055234.0)	(150, 22724524.0)
D6_2	(150, 45178447.0)																										
D6_2_val_2	(20, 4037.0)	(25, 3532.0)	(30, 3486.0)	(35, 3928.0)	(40, 5628.0)	(45, 7588.0)	(50, 13161.0)	(55, 18435.0)	(60, 35544.0)	(65, 45278.0)	(70, 80518.0)	(75, 98683.0)	(80, 150465.0)	(85, 186610.0)	(90, 255155.0)	(95, 326286.0)	(100, 412518.0)	(105, 527635.0)	(110, 634259.0)	(115, 808654.0)	(120, 936207.0)	(125, 1176397.0)	(130, 1311384.0)	(135, 1603608.0)	(140, 1725366.0)	(145, 13420036.0)	(150, 21348700.0)
D7_1	(150, 46424193.0)																										
D7_1_val_1	(20, 3566.0)	(25, 3435.0)	(30, 3675.0)	(35, 4629.0)	(40, 8467.0)	(45, 11754.0)	(50, 20948.0)	(55, 28627.0)	(60, 50614.0)	(65, 58354.0)	(70, 92992.0)	(75, 102103.0)	(80, 141201.0)	(85, 160685.0)	(90, 201146.0)	(95, 236173.0)	(100, 277595.0)	(105, 331302.0)	(110, 374978.0)	(115, 453852.0)	(120, 501536.0)	(125, 610063.0)	(130, 667066.0)	(135, 807805.0)	(140, 881063.0)	(145, 13202236.0)	(150, 27136914.0)
D7_2	(150, 46424193.0)																										
D7_2_val_2	(20, 5613.0)	(25, 4758.0)	(30, 4986.0)	(35, 5729.0)	(40, 9208.0)	(45, 12735.0)	(50, 21687.0)	(55, 28847.0)	(60, 51073.0)	(65, 58550.0)	(70, 92956.0)	(75, 102292.0)	(80, 141490.0)	(85, 161211.0)	(90, 201462.0)	(95, 236728.0)	(100, 277573.0)	(105, 331794.0)	(110, 375208.0)	(115, 454330.0)	(120, 502101.0)	(125, 610314.0)	(130, 668421.0)	(135, 810138.0)	(140, 888076.0)	(145, 14667509.0)	(150, 25647990.0)
D8_1	(150, 31264138.0)																										
D8_1_val_1	(20, 2746.0)	(25, 2404.0)	(30, 2428.0)	(35, 2990.0)	(40, 5520.0)	(45, 7852.0)	(50, 13998.0)	(55, 19138.0)	(60, 34414.0)	(65, 39604.0)	(70, 63408.0)	(75, 70432.0)	(80, 97636.0)	(85, 110440.0)	(90, 138424.0)	(95, 162090.0)	(100, 190484.0)	(105, 224068.0)	(110, 253796.0)	(115, 305470.0)	(120, 339566.0)	(125, 409324.0)	(130, 451892.0)	(135, 548088.0)	(140, 598282.0)	(145, 8890474.0)	(150, 18247804.0)
D8_2	(150, 31264138.0)																										
D8_2_val_2	(20, 4232.0)	(25, 3552.0)	(30, 3480.0)	(35, 3952.0)	(40, 6140.0)	(45, 8636.0)	(50, 14490.0)	(55, 19268.0)	(60, 34628.0)	(65, 39896.0)	(70, 63646.0)	(75, 70392.0)	(80, 97784.0)	(85, 110464.0)	(90, 138414.0)	(95, 162088.0)	(100, 190262.0)	(105, 224432.0)	(110, 253912.0)	(115, 305754.0)	(120, 340068.0)	(125, 409670.0)	(130, 452756.0)	(135, 549468.0)	(140, 602860.0)	(145, 9874018.0)	(150, 17248510.0)
D9_1	(150, 45919571.0)																										
D9_1_val_1	(20, 3661.0)	(25, 3182.0)	(30, 4214.0)	(35, 6390.0)	(40, 13930.0)	(45, 20448.0)	(50, 35924.0)	(55, 44307.0)	(60, 71220.0)	(65, 75561.0)	(70, 108995.0)	(75, 115137.0)	(80, 147732.0)	(85, 165571.0)	(90, 200061.0)	(95, 238098.0)	(100, 273101.0)	(105, 332354.0)	(110, 374304.0)	(115, 461565.0)	(120, 509686.0)	(125, 632003.0)	(130, 691838.0)	(135, 848245.0)	(140, 918887.0)	(145, 12937778.0)	(150, 26629764.0)
D9_2	(150, 45919571.0)																										
D9_2_val_2	(20, 5458.0)	(25, 4347.0)	(30, 5129.0)	(35, 7355.0)	(40, 14656.0)	(45, 21170.0)	(50, 36787.0)	(55, 44450.0)	(60, 71644.0)	(65, 75878.0)	(70, 109076.0)	(75, 115451.0)	(80, 148243.0)	(85, 166293.0)	(90, 200693.0)	(95, 238825.0)	(100, 273646.0)	(105, 333060.0)	(110, 374971.0)	(115, 462661.0)	(120, 510922.0)	(125, 633221.0)	(130, 694244.0)	(135, 851679.0)	(140, 928484.0)	(145, 14475586.0)	(150, 25060027.0)
