Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Optical	Duplicate Pairs Nonoptical	Duplicate Unpaired
D1	59418828.0	0.0	4645534.0	19319354.0	0.0
D2	58724164.0	1314.0	3842940.0	18828876.0	5830.0
D3	63116116.0	1402.0	5252794.0	22151230.0	6138.0
D4	46836170.0	0.0	3413222.0	12564778.0	0.0
D5	66202408.0	1471.0	4487434.0	21015966.0	6727.0
D6	57033166.0	0.0	3501250.0	20295468.0	0.0
D7	62375490.0	0.0	5352816.0	18529248.0	0.0
D8	22507756.0	0.0	2840696.0	32738116.0	0.0
D9	61201786.0	0.0	5383286.0	18549336.0	0.0
