Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
D1_1	(1.0, 22.256752044725395)	(2.0, 10.654294999950812)	(3.0, 6.575013463559169)	(4.0, 4.703778634318763)	(5.0, 3.605682967368077)	(6.0, 3.0049758478315582)	(7.0, 2.5267631209940657)	(8.0, 2.0727267712982513)	(9.0, 1.7861564161171513)	('>10', 21.303247176737035)	('>50', 5.979761582052975)	('>100', 10.838166237637447)	('>500', 2.7904293758724283)	('>1k', 1.8325724329669033)	('>5k', 0.06967892857000925)	('>10k+', 0.0)
D1_1_val_1	(1.0, 22.253316454416506)	(2.0, 10.658142012780235)	(3.0, 6.578470928154381)	(4.0, 4.704250636282846)	(5.0, 3.606986106520196)	(6.0, 3.0080996736844807)	(7.0, 2.5260852228032387)	(8.0, 2.069179996037974)	(9.0, 1.7872876040489345)	('>10', 21.30890577421359)	('>50', 5.973699477065464)	('>100', 10.848043841186886)	('>500', 2.7918306079768773)	('>1k', 1.829842650307853)	('>5k', 0.05585901452054246)	('>10k+', 0.0)
D1_2	(1.0, 17.442405055017627)	(2.0, 9.481190359783955)	(3.0, 6.368703440570765)	(4.0, 4.7208327706539555)	(5.0, 3.8541836611908535)	(6.0, 3.0034557989415576)	(7.0, 2.610848264176774)	(8.0, 2.1122310008071787)	(9.0, 1.9660187553698103)	('>10', 22.48588872413316)	('>50', 6.585132970478251)	('>100', 11.78777232308493)	('>500', 3.0513342670565367)	('>1k', 3.792502191212721)	('>5k', 0.5204926301711036)	('>10k+', 0.21700778735064416)
D1_2_val_2	(1.0, 17.405336067468653)	(2.0, 9.484418443680664)	(3.0, 6.373588407422876)	(4.0, 4.722914166091137)	(5.0, 3.8580417001821266)	(6.0, 3.0081837441869843)	(7.0, 2.6128272224812314)	(8.0, 2.114185038136223)	(9.0, 1.9661404277680457)	('>10', 22.499880581247268)	('>50', 6.585053417013158)	('>100', 11.797888152507497)	('>500', 3.0550761173124648)	('>1k', 3.795692432227778)	('>5k', 0.520961459840003)	('>10k+', 0.19981262243359976)
D2_1	(1.0, 23.002212694996743)	(2.0, 10.700398951300514)	(3.0, 6.684275578349208)	(4.0, 4.708962105352561)	(5.0, 3.6735646828842823)	(6.0, 2.8314076257154546)	(7.0, 2.4115766662881093)	(8.0, 2.0272824035563572)	(9.0, 1.7992513814034539)	('>10', 21.068131042555546)	('>50', 5.979798011288496)	('>100', 10.660488267744846)	('>500', 2.68864323293789)	('>1k', 1.7052911775104997)	('>5k', 0.05871617811606868)	('>10k+', 0.0)
D2_1_val_1	(1.0, 22.99066743219291)	(2.0, 10.705278702868833)	(3.0, 6.6943460710765805)	(4.0, 4.707608861018575)	(5.0, 3.679596151815007)	(6.0, 2.8326655248408525)	(7.0, 2.4090336303721562)	(8.0, 2.028457838721174)	(9.0, 1.7994621320936517)	('>10', 21.080602555869)	('>50', 5.983103934752929)	('>100', 10.658719345525025)	('>500', 2.6782375080147283)	('>1k', 1.6934495057292835)	('>5k', 0.05877080510941808)	('>10k+', 0.0)
D2_2	(1.0, 18.129377568328916)	(2.0, 9.729424094526824)	(3.0, 6.53805415754853)	(4.0, 4.851594670350158)	(5.0, 3.769158999711094)	(6.0, 3.086448594493804)	(7.0, 2.4711648197520426)	(8.0, 2.2443486808920152)	(9.0, 1.8658976635633626)	('>10', 21.829539238298114)	('>50', 6.563243169156265)	('>100', 11.788969674857197)	('>500', 2.9626520074142864)	('>1k', 3.5497911352949134)	('>5k', 0.3841465517454537)	('>10k+', 0.23618897406715247)
D2_2_val_2	(1.0, 18.07670159615581)	(2.0, 9.727102199724657)	(3.0, 6.541959553650857)	(4.0, 4.851805742370094)	(5.0, 3.7747882801556942)	(6.0, 3.0957043467508836)	(7.0, 2.4740201949773564)	(8.0, 2.248114027330925)	(9.0, 1.8714824511680377)	('>10', 21.842124002110307)	('>50', 6.572045818444147)	('>100', 11.803544196908918)	('>500', 2.9629432520740173)	('>1k', 3.5572475411887607)	('>5k', 0.3845251602667777)	('>10k+', 0.2158916367229358)
D3_1	(1.0, 21.443755161999977)	(2.0, 10.43954089317316)	(3.0, 6.453679975205841)	(4.0, 4.6142912324946295)	(5.0, 3.5984333062578067)	(6.0, 2.8888664928266685)	(7.0, 2.463311412129387)	(8.0, 2.159592046713166)	(9.0, 1.8372687771828513)	('>10', 21.53595460761058)	('>50', 6.161423027960124)	('>100', 11.400169885228669)	('>500', 2.9509497075790847)	('>1k', 1.9848322904635243)	('>5k', 0.06793118317426843)	('>10k+', 0.0)
D3_1_val_1	(1.0, 21.43269217400917)	(2.0, 10.436804939998591)	(3.0, 6.458383634019685)	(4.0, 4.618993227801391)	(5.0, 3.602202343996054)	(6.0, 2.889829511470257)	(7.0, 2.4605260330722394)	(8.0, 2.162431012323366)	(9.0, 1.8354127995057739)	('>10', 21.542320535720386)	('>50', 6.163995787291556)	('>100', 11.401185781810272)	('>500', 2.946934078951303)	('>1k', 1.9803263868861714)	('>5k', 0.06796175314397004)	('>10k+', 0.0)
