Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
D2_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.009512161483158383)	(4, 0.011145317465959209)	(5, 0.011490418878991526)	(6, 0.011743169209663083)	(7, 0.011884126124845297)	(8, 0.012119864414029345)	(9, 0.01249898991003668)	(10, 0.013026363196149447)	(12, 0.013554951628082748)	(14, 0.014055591706143716)	(16, 0.014681391803719926)	(18, 0.015124920028215687)	(20, 0.015592751169122173)	(22, 0.016025343081233104)	(24, 0.016450644118420822)	(26, 0.017039989841380943)	(28, 0.01829159003653336)	(30, 0.019510381294531295)	(32, 0.020245544515955775)	(34, 0.020724311969247088)	(36, 0.02122373690148752)	(38, 0.021797285728780667)	(40, 0.022345316493842554)	(42, 0.022972331737239296)	(44, 0.023612713584661944)	(46, 0.024360028264291785)	(48, 0.0253005511293869)	(50, 0.02619489845330164)	(52, 0.026820698550877854)	(54, 0.02747323185650586)	(56, 0.02800668087172131)	(58, 0.02864098699004127)	(60, 0.0295183222724685)	(62, 0.03066420478123426)	(64, 0.03158771560484187)	(66, 0.03230586678477884)	(68, 0.03314553254676944)	(70, 0.03878623944569908)	(72, 0.05962720541371766)	(74, 0.06341481493632939)	(76, 0.06569685878729661)	(78, 0.06799226924228974)	(80, 0.07034600669666861)	(82, 0.07335713803995764)	(84, 0.07660886825571285)	(86, 0.08024579969657808)	(88, 0.08388516142908439)	(90, 0.08769342843064526)	(92, 0.091431216974615)	(94, 0.09464041708665144)	(96, 0.09775605097050659)	(98, 0.10025925136081143)	(100, 0.1024088443173402)	(102, 0.1044162652128662)	(104, 0.10671532110532095)	(106, 0.10911158866341858)	(108, 0.1113997082434885)	(110, 0.11440111842021322)	(112, 0.11857514431375552)	(114, 0.12419519373373604)	(116, 0.1309744922665082)	(118, 0.13846586625011467)	(120, 0.14812627552337848)	(122, 0.16126200184337622)	(124, 0.178983688490078)	(126, 0.19881365313541038)	(128, 0.22029257065921054)	(130, 0.24574258472452343)	(132, 0.27890026872949825)	(134, 0.3225628883530096)	(136, 0.3745091570351171)	(138, 0.42834376232233806)
D2_1_val_1 - polya	(1, 0.0006203807936237116)	(2, 0.0015132425632703866)	(3, 0.0027004811016561564)	(4, 0.004216156530783891)	(5, 0.006065134582368286)	(6, 0.00755891421877989)	(7, 0.009488176843656765)	(8, 0.01247816898233732)	(9, 0.01730740770917288)	(10, 0.02341390101111608)	(12, 0.028406141750393948)	(14, 0.03401389755158083)	(16, 0.039405128291463754)	(18, 0.04428424076837494)	(20, 0.049340952452872525)	(22, 0.054572830479099166)	(24, 0.06068175664689971)	(26, 0.06718845638237664)	(28, 0.07267700175655348)	(30, 0.0782871904235977)	(32, 0.0832271245469426)	(34, 0.08784956967590359)	(36, 0.09259365809773196)	(38, 0.09855053014944828)	(40, 0.10438210960951116)	(42, 0.10940962690372058)	(44, 0.11433131453313536)	(46, 0.11942695207135051)	(48, 0.12383530500486488)	(50, 0.1282509565359513)	(52, 0.13249265815823735)	(54, 0.13737420350100588)	(56, 0.1421036947276902)	(58, 0.14723095952205084)	(60, 0.15151766916269782)	(62, 0.15584087179120504)	(64, 0.160179888047785)	(66, 0.1645724273532266)	(68, 0.1691900067504729)	(70, 0.17433551803876368)	(72, 0.17939101329033258)	(74, 0.1845961297921284)	(76, 0.1886298213836112)	(78, 0.19286300797539652)	(80, 0.19802068359297403)	(82, 0.2032197179301265)	(84, 0.20791758190066525)	(86, 0.2129536142253754)	(88, 0.21846405539226837)	(90, 0.2238260917418631)	(92, 0.22862370321255315)	(94, 0.2330794970302858)	(96, 0.23692342508489544)	(98, 0.24084642127986894)	(100, 0.2446015497306854)	(102, 0.24850629943172875)	(104, 0.252501065169494)	(106, 0.25619537197387676)	(108, 0.2599614483210513)	(110, 0.26394769902831583)	(112, 0.269158897694755)	(114, 0.2735988778844149)	(116, 0.277907483317778)	(118, 0.2819959143910511)	(120, 0.2857863193967991)	(122, 0.28905000894443134)	(124, 0.29250589489479395)	(126, 0.2963181956932581)	(128, 0.30020226603451405)	(130, 0.3045510137545234)	(132, 0.3082805971138377)	(134, 0.31259285184598684)	(136, 0.31647570575431405)	(138, 0.31845970786098127)
D2_2 - illumina_universal_adapter	(1, 0.00015310837338757745)	(2, 0.0002308777059019025)	(3, 0.0004909189114966769)	(4, 0.0013172180694613804)	(5, 0.0018543125221384378)	(6, 0.0026174240974352523)	(7, 0.0031982637996516177)	(8, 0.0039030483755626883)	(9, 0.004741498991732755)	(10, 0.006336985454096955)	(12, 0.008879070510658955)	(14, 0.011848886896049744)	(16, 0.01487216969754413)	(18, 0.018043700289143948)	(20, 0.02088957180084003)	(22, 0.02333201490011805)	(24, 0.025381965899362837)	(26, 0.02716823025555124)	(28, 0.028544990470218905)	(30, 0.02990595378921959)	(32, 0.0315050856890454)	(34, 0.03323545333748913)	(36, 0.03478354911285242)	(38, 0.03697688731892049)	(40, 0.04031489288793379)	(42, 0.04516089442023266)	(44, 0.0512329780854527)	(46, 0.05761978451819164)	(48, 0.06611608409538165)	(50, 0.07779971115983847)	(52, 0.09382019365778943)	(54, 0.11280198652038742)	(56, 0.1324630458966652)	(58, 0.1556212949444466)	(60, 0.186575919576789)	(62, 0.22789938349576794)	(64, 0.2782234325074595)	(66, 0.32875284116282166)	(68, 0.380694249261647)	(70, 0.44151108243366977)	(72, 0.5190009314092714)	(74, 0.6161166005323553)	(76, 0.7173722714660067)	(78, 0.8107452914618387)	(80, 0.9098246362309093)	(82, 1.0306222822504258)	(84, 1.1805068737761202)	(86, 1.3427956738378497)	(88, 1.4942016279308559)	(90, 1.6457205905851717)	(92, 1.8219446829168118)	(94, 2.034621934718721)	(96, 2.2714720823285597)	(98, 2.501762872799143)	(100, 2.7270557685098606)	(102, 2.9760415774293953)	(104, 3.2713742630900065)	(106, 3.6021563977731237)	(108, 3.9318619132592456)	(110, 4.252492719757603)	(112, 4.596269623845535)	(114, 4.9906196818383695)	(116, 5.435551399756849)	(118, 5.895154788312484)	(120, 6.346654369390963)	(122, 6.817201361206348)	(124, 7.34415785230267)	(126, 7.937711625239308)	(128, 8.560467782535074)	(130, 9.183260394205456)	(132, 9.821024817530667)	(134, 10.516042051336264)	(136, 11.2892138188813)	(138, 12.11348732876317)
D2_2 - polya	(1, 0.0005613973690877839)	(2, 0.001995269437320652)	(3, 0.002955234635544352)	(4, 0.00411448374833601)	(5, 0.005115763904457945)	(6, 0.0060684382277584265)	(7, 0.006897167677364203)	(8, 0.008710165241604406)	(9, 0.010741889053541148)	(10, 0.013541585024056849)	(12, 0.015651078168507915)	(14, 0.018262426536840487)	(16, 0.02124439438043664)	(18, 0.02413401114167203)	(20, 0.026863228654596623)	(22, 0.029487943626955095)	(24, 0.032185567348545746)	(26, 0.03459763180231036)	(28, 0.037193183274975956)	(30, 0.04030152628390789)	(32, 0.043048970984140525)	(34, 0.04564452245680613)	(36, 0.048575454175939746)	(38, 0.05202282286880131)	(40, 0.055066763149244816)	(42, 0.05787861057796588)	(44, 0.06089460250453705)	(46, 0.06378300411995191)	(48, 0.06684517158770345)	(50, 0.07013943190717745)	(52, 0.07301568206438694)	(54, 0.07592960174203306)	(56, 0.07862236488034155)	(58, 0.08130905228954738)	(60, 0.08429466557060514)	(62, 0.08734832701761294)	(64, 0.09055874227546992)	(66, 0.09504992122817219)	(68, 0.10115967441382884)	(70, 0.10486222372900304)	(72, 0.1078612036140867)	(74, 0.11083831087440071)	(76, 0.11376924259353433)	(78, 0.11658838089717861)	(80, 0.11957885476151853)	(82, 0.12271393097850225)	(84, 0.12552577840722332)	(86, 0.12876171172731155)	(88, 0.1316598345092907)	(90, 0.13470498993555474)	(92, 0.13750590105189098)	(94, 0.14041982072953707)	(96, 0.14332037380315732)	(98, 0.1464408682702946)	(100, 0.1499088944421053)	(102, 0.15316791553278372)	(104, 0.15611342900176378)	(106, 0.1591014725744626)	(108, 0.1618428415455926)	(110, 0.1643387510609742)	(112, 0.16697318719989696)	(114, 0.16975222569146353)	(116, 0.17246200087125957)	(118, 0.17541237492352177)	(120, 0.1784575303497858)	(122, 0.1818064722311839)	(124, 0.18545433998443397)	(126, 0.18929906136061092)	(128, 0.19259696711754654)	(130, 0.19579766120883924)	(132, 0.19914781823605787)	(134, 0.20201434722670308)	(136, 0.20498780904955546)	(138, 0.20769636908353095)
D2_2 - polyg	(1, 0.07218452232314009)	(2, 0.07603410428259917)	(3, 0.07732701943564983)	(4, 0.07792973176263585)	(5, 0.07830885725864319)	(6, 0.07874874004567733)	(7, 0.07926153158194366)	(8, 0.07991528003339221)	(9, 0.08094572368920701)	(10, 0.0822131207800264)	(12, 0.08477100273225538)	(14, 0.08662288496275275)	(16, 0.0875111565575648)	(18, 0.08821837142511695)	(20, 0.08883080491866725)	(22, 0.0894444535580381)	(24, 0.08997790257325355)	(26, 0.09058669062934224)	(28, 0.09125259053899615)	(30, 0.09186745432418754)	(32, 0.09252241792145663)	(34, 0.09317495122708463)	(36, 0.09378981501227601)	(38, 0.09448123298416118)	(40, 0.0950839453111472)	(42, 0.09559916713905461)	(44, 0.09621646121588706)	(46, 0.09682403412615523)	(48, 0.09742431616150017)	(50, 0.09802702848848618)	(52, 0.09862123479472845)	(54, 0.09917048070561088)	(56, 0.09974767497036563)	(58, 0.10027261796483733)	(60, 0.10083280018810457)	(62, 0.10139055211973075)	(64, 0.10192035569748459)	(66, 0.10249390452477773)	(68, 0.10306866849789142)	(70, 0.10363492645026134)	(72, 0.10420604498591343)	(74, 0.10478566954230925)	(76, 0.1054564300352453)	(78, 0.10644677387898241)	(80, 0.10848092798256023)	(82, 0.1110521765388151)	(84, 0.11392478125856298)	(86, 0.11724212934862716)	(88, 0.1208790607894924)	(90, 0.12486230878921048)	(92, 0.12874226939418298)	(94, 0.13271093564405462)	(96, 0.13639404262610025)	(98, 0.1394598555313134)	(100, 0.14216477012782724)	(102, 0.1446546039141062)	(104, 0.1466681005387349)	(106, 0.14873627872528772)	(108, 0.15098915907656207)	(110, 0.15335747828078738)	(112, 0.15565288873578054)	(114, 0.15859111132983736)	(116, 0.1628246793685859)	(118, 0.1687302880563925)	(120, 0.1756311011712183)	(122, 0.18305078155141313)	(124, 0.19292019590580917)	(126, 0.2061968791409891)	(128, 0.22386509937158733)	(130, 0.24422486759467352)	(132, 0.2655166526621111)	(134, 0.29117810210019723)	(136, 0.32472827820520533)	(138, 0.3693022571941189)
D2_2_val_2 - polya	(1, 0.0005619920130473623)	(2, 0.001985218539595877)	(3, 0.0029364690898189016)	(4, 0.004084781774487105)	(5, 0.005079823910142392)	(6, 0.006023775862793373)	(7, 0.006846084522576959)	(8, 0.008658569586301136)	(9, 0.010685146845471926)	(10, 0.013474427550921281)	(12, 0.015566692188240465)	(14, 0.01815891075924464)	(16, 0.02113430570278111)	(18, 0.02400508741445162)	(20, 0.02669826991853573)	(22, 0.029280757026110514)	(24, 0.031938662975263085)	(26, 0.034314356484963296)	(28, 0.03687373136689327)	(30, 0.039954955975224374)	(32, 0.04267003427202462)	(34, 0.045219677690525206)	(36, 0.04812087022541256)	(38, 0.051535397456200324)	(40, 0.05453633749123894)	(42, 0.05731588673325891)	(44, 0.060304662439010795)	(46, 0.06314989905917914)	(48, 0.0661727348869339)	(50, 0.06942061080649332)	(52, 0.07225368309737495)	(54, 0.07511351691268739)	(56, 0.07775682566669587)	(58, 0.08038067149384556)	(60, 0.08332808848002254)	(62, 0.08632416278334645)	(64, 0.08948567196497004)	(66, 0.09392930145341596)	(68, 0.09997497310892546)	(70, 0.10362183902908995)	(72, 0.10656317385062354)	(74, 0.10947774714772632)	(76, 0.11234852885939682)	(78, 0.11509158511355656)	(80, 0.1180085912765167)	(82, 0.1210752186897037)	(84, 0.12384138716950825)	(86, 0.12701992641213328)	(88, 0.12986759589815897)	(90, 0.13285637160391084)	(92, 0.13559699499221323)	(94, 0.13846047810631174)	(96, 0.1412996325618367)	(98, 0.14435044634695093)	(100, 0.14775402568138063)	(102, 0.15095324428379314)	(104, 0.15383254102596433)	(106, 0.1567337335608517)	(108, 0.15938190804657487)	(110, 0.16177949734899122)	(112, 0.16432914076749183)	(114, 0.16701137537521787)	(116, 0.1696242733060095)	(118, 0.1725084357798954)	(120, 0.1754728828270738)	(122, 0.17874022167349202)	(124, 0.18230801945329272)	(126, 0.18608017796511062)	(128, 0.18930859095781127)	(130, 0.1924165770905732)	(132, 0.19569972956506415)	(134, 0.19848779383758486)	(136, 0.2013232989943238)	(138, 0.20294966981996088)
D3_1 - illumina_universal_adapter	(1, 0.00010052434591485121)	(2, 0.00015952776634313342)	(3, 0.0003103142852154102)	(4, 0.0009025338013659467)	(5, 0.0012631102595387824)	(6, 0.0017569907416421819)	(7, 0.0021394203184921592)	(8, 0.0026136329937861314)	(9, 0.003103142852154102)	(10, 0.004119312870641185)	(12, 0.005633733994967096)	(14, 0.007431153006161989)	(16, 0.009295224029322164)	(18, 0.011175684891490196)	(20, 0.012994957021362233)	(22, 0.014417595047244148)	(24, 0.015623887198222362)	(26, 0.01662257472176773)	(28, 0.017359024821187403)	(30, 0.018041934779848078)	(32, 0.01881116455728346)	(34, 0.019593506205925128)	(36, 0.020326678337543227)	(38, 0.02131225398988231)	(40, 0.02272724342422723)	(42, 0.02492129653941224)	(44, 0.027732700257226503)	(46, 0.030658832848095757)	(48, 0.03444488565891053)	(50, 0.04001196764191235)	(52, 0.04792061129116988)	(54, 0.05731308169860533)	(56, 0.06736333097822272)	(58, 0.07966882210532114)	(60, 0.09621272559985117)	(62, 0.11852803773701429)	(64, 0.1469786129427849)	(66, 0.17568268432521034)	(68, 0.2054225935329323)	(70, 0.2406235970980719)	(72, 0.28601143193456113)	(74, 0.34392984502052326)	(76, 0.40517648808101403)	(78, 0.46355600197106395)	(80, 0.5285428062931474)	(82, 0.607582258580567)	(84, 0.7050417046009491)	(86, 0.811776706843844)	(88, 0.913723690784577)	(90, 1.0182897709987655)	(92, 1.1434054313610043)	(94, 1.3025999376443111)	(96, 1.4889687970026437)	(98, 1.6776322338220762)	(100, 1.8652336090737993)	(102, 2.0790718386092992)	(104, 2.339824343320886)	(106, 2.6357101069297135)	(108, 2.93267213663339)	(110, 3.2268839513515486)	(112, 3.5473610294077638)	(114, 3.9179134362567147)	(116, 4.336981951880787)	(118, 4.770116227341402)	(120, 5.1988929909377966)	(122, 5.650153335685166)	(124, 6.16350276121803)	(126, 6.749310572348694)	(128, 7.371171658672905)	(130, 7.998630421346267)	(132, 8.647729234789667)	(134, 9.361304582234041)	(136, 10.166001971282423)	(138, 11.027131761346723)
D3_1 - polya	(1, 0.0007517472824936698)	(2, 0.0017395082467004687)	(3, 0.002808125750012691)	(4, 0.004420885908385738)	(5, 0.0062936981790167705)	(6, 0.007989500188362957)	(7, 0.009932242438760841)	(8, 0.013094388711343226)	(9, 0.017998228542493794)	(10, 0.02424494251635471)	(12, 0.029526841300619826)	(14, 0.035517873785958186)	(16, 0.040817255065165016)	(18, 0.045665369443688875)	(20, 0.050697050019100715)	(22, 0.056024840352587826)	(24, 0.06190442193267277)	(26, 0.06828662524233196)	(28, 0.0739957524967352)	(30, 0.0796524322663133)	(32, 0.08468957612139441)	(34, 0.08953550518805056)	(36, 0.0945573518600577)	(38, 0.10070791211173918)	(40, 0.106389722967796)	(42, 0.11151755726538726)	(44, 0.11636348633204341)	(46, 0.12156999185687238)	(48, 0.12597120995844868)	(50, 0.13061062705360585)	(52, 0.13514187121131116)	(54, 0.14002385792378458)	(56, 0.14487634292604387)	(58, 0.15018774342052313)	(60, 0.1545135682626633)	(62, 0.15885141232007588)	(64, 0.16339904631678906)	(66, 0.16783850737605036)	(68, 0.17254785445097437)	(70, 0.17801878271179677)	(72, 0.18327336509771547)	(74, 0.18831050895279658)	(76, 0.1923577065318032)	(78, 0.1966573076315308)	(80, 0.2018889442428385)	(82, 0.20683539765540948)	(84, 0.21172284764755223)	(86, 0.2165906298328855)	(88, 0.22199381342580876)	(90, 0.22738825577126115)	(92, 0.23205608192069857)	(94, 0.236532693281711)	(96, 0.24049903432161224)	(98, 0.24454295393281728)	(100, 0.2483912881318619)	(102, 0.25243520774306694)	(104, 0.25658730029172383)	(106, 0.2603067010905733)	(108, 0.26415722060148566)	(110, 0.26836066797903385)	(112, 0.2734808536850881)	(114, 0.2778984616256723)	(116, 0.2823259034696612)	(118, 0.2866102073863148)	(120, 0.29042466925140986)	(122, 0.29381080999043296)	(124, 0.29736521974327)	(126, 0.3012528895559335)	(128, 0.30526293683318895)	(130, 0.309620448697411)	(132, 0.3132906799792369)	(134, 0.3177104732316888)	(136, 0.321936866383848)	(138, 0.32544319927559534)
D3_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0030812897334769607)	(4, 0.003966341039901194)	(5, 0.004215466592820608)	(6, 0.004394662165973169)	(7, 0.004543263372977732)	(8, 0.004770535807220004)	(9, 0.005139853512863697)	(10, 0.005579101198274242)	(12, 0.006090464175319355)	(14, 0.006588715281158182)	(16, 0.007147062463359149)	(18, 0.007613626547116122)	(20, 0.008024465178246383)	(22, 0.008474639422995499)	(24, 0.008967427249165041)	(26, 0.009473326946540869)	(28, 0.010645746763569514)	(30, 0.01169469646007231)	(32, 0.012291286599958273)	(34, 0.012855097061828526)	(36, 0.01338831315755078)	(38, 0.013947752995685604)	(40, 0.014508285489754285)	(42, 0.015052428144815111)	(44, 0.015574717681198794)	(46, 0.0162390524889839)	(48, 0.017097880052995562)	(50, 0.01805613930698822)	(52, 0.01883738829969603)	(54, 0.019538873409232275)	(56, 0.02016605791526624)	(58, 0.02071129322626092)	(60, 0.02158978859708201)	(62, 0.022779690909052366)	(64, 0.02360246082724675)	(66, 0.024334540302930988)	(68, 0.025090658209160087)	(70, 0.028689866855285302)	(72, 0.04263980516283862)	(74, 0.044942031215475485)	(76, 0.04672196773172867)	(78, 0.04851501611918814)	(80, 0.05022502265567446)	(82, 0.05237099890976976)	(84, 0.054659020435266485)	(86, 0.057167758459402335)	(88, 0.05983602424988132)	(90, 0.06228685150952275)	(92, 0.06499991619328988)	(94, 0.06726936256791102)	(96, 0.06962075813757146)	(98, 0.0714498641708482)	(100, 0.07295882201550483)	(102, 0.0743803673854529)	(104, 0.07601061003876766)	(106, 0.07760807301406669)	(108, 0.0790973630519139)	(110, 0.0809275617411245)	(112, 0.08331392230066836)	(114, 0.08639302672227761)	(116, 0.08984035619359669)	(118, 0.09363842821968389)	(120, 0.0983783696607559)	(122, 0.10486000466039608)	(124, 0.11389845454526185)	(126, 0.12410167565561923)	(128, 0.13558767483232484)	(130, 0.14921200167158877)	(132, 0.1671708946004637)	(134, 0.19087934305329457)	(136, 0.22035264421315542)	(138, 0.2505886192148485)
D3_1_val_1 - polya	(1, 0.0007523376760932172)	(2, 0.0017408743900296537)	(3, 0.0028103311447086744)	(4, 0.0044243579033040065)	(5, 0.006298641009152516)	(6, 0.007993587808490433)	(7, 0.00993348175818428)	(8, 0.013098111459657783)	(9, 0.018005802579289118)	(10, 0.02425632896962172)	(12, 0.029535814871043307)	(14, 0.035524991400058645)	(16, 0.04082416055463383)	(18, 0.04567170840074028)	(20, 0.050700779581485486)	(22, 0.0560272865876629)	(24, 0.061906018196205254)	(26, 0.06828229870390809)	(28, 0.07398934860438847)	(30, 0.07964500334385666)	(32, 0.08467298101053777)	(34, 0.08950959371600334)	(36, 0.09452663624204358)	(38, 0.10066890474003136)	(40, 0.10634424273265317)	(42, 0.11146626260884593)	(44, 0.11630178180024739)	(46, 0.12149269306247777)	(48, 0.12587877797353866)	(50, 0.13049450083805825)	(52, 0.13501071392274572)	(54, 0.13987138393762122)	(56, 0.1447079966430868)	(58, 0.1499973241710852)	(60, 0.1543101436398521)	(62, 0.15863061770706766)	(64, 0.16315667241833193)	(66, 0.1675635340966105)	(68, 0.17226017700187268)	(70, 0.1777058770410358)	(72, 0.182931780753317)	(74, 0.1879444492231009)	(76, 0.19195983286643564)	(78, 0.19623109880076717)	(80, 0.20143513223176662)	(82, 0.20634610389359023)	(84, 0.2112002128240812)	(86, 0.21602917093109814)	(88, 0.22139176390139048)	(90, 0.22673686064665743)	(92, 0.2313700797362024)	(94, 0.23581084035046776)	(96, 0.23973108827022677)	(98, 0.24374865894168968)	(100, 0.24756174248316792)	(102, 0.2515541623311568)	(104, 0.25565921412774684)	(106, 0.2593432630096626)	(108, 0.26313556978392316)	(110, 0.267287642685269)	(112, 0.27236045442857776)	(114, 0.2767454458255746)	(116, 0.28112059559599456)	(118, 0.2853448404255703)	(120, 0.289077003926306)	(122, 0.2924067542514569)	(124, 0.29587975491900353)	(126, 0.29969939954486635)	(128, 0.3036273020630739)	(130, 0.3079248123349436)	(132, 0.3115257541479886)	(134, 0.3158593503839733)	(136, 0.31995346703992233)	(138, 0.32212081191494674)
D3_2 - illumina_universal_adapter	(1, 9.615372217942288e-05)	(2, 0.0001507865188722768)	(3, 0.0003124995970831244)	(4, 0.0008719394352179484)	(5, 0.0012215893340522135)	(6, 0.0016848754500076147)	(7, 0.0020563784675190215)	(8, 0.00253933239028385)	(9, 0.0030310275605195352)	(10, 0.004029715084064905)	(12, 0.005537580272787673)	(14, 0.007324072724643995)	(16, 0.00920344093087817)	(18, 0.011123237406665057)	(20, 0.013033199979047231)	(22, 0.014542157823703855)	(24, 0.015851159632464636)	(26, 0.016941630254454)	(28, 0.017756751581111382)	(30, 0.018527074014480623)	(32, 0.01939136485816157)	(34, 0.02030591787479994)	(36, 0.021134151072663608)	(38, 0.022224621694652974)	(40, 0.023722652979971025)	(42, 0.02599865529019532)	(44, 0.02888217429964415)	(46, 0.031859661719404686)	(48, 0.03573749762866346)	(50, 0.04135374912868884)	(52, 0.04928643120849123)	(54, 0.058768499402502956)	(56, 0.06882748992959122)	(58, 0.08116794604657307)	(60, 0.09768890376649209)	(62, 0.11994193451542534)	(64, 0.14823625992265438)	(66, 0.17682997305576026)	(68, 0.20652945399392952)	(70, 0.24146275685527416)	(72, 0.2865785203642329)	(74, 0.34425873445661426)	(76, 0.40509563154190864)	(78, 0.4631713870823462)	(80, 0.527774669171646)	(82, 0.6062634228684014)	(84, 0.7030224764351811)	(86, 0.8088516669089085)	(88, 0.9100272357603385)	(90, 1.013745414969854)	(92, 1.1380415833816997)	(94, 1.2962024371515781)	(96, 1.4809792968142808)	(98, 1.6683894572775793)	(100, 1.8545823990305608)	(102, 2.066941172431618)	(104, 2.3260372107474776)	(106, 2.6197016048427733)	(108, 2.91473728213506)	(110, 3.2065900526920212)	(112, 3.52442508870017)	(114, 3.8924163100401596)	(116, 4.308610047902254)	(118, 4.7389667919790055)	(120, 5.1647868286183805)	(122, 5.612906880211846)	(124, 6.122406878889732)	(126, 6.703934756727477)	(128, 7.320878891349332)	(130, 7.943417424352534)	(132, 8.587907415066926)	(134, 9.296682724993865)	(136, 10.095453548257007)	(138, 10.950179281892972)
D3_2 - polya	(1, 0.0006708907433882461)	(2, 0.002191867803317299)	(3, 0.003111884099624959)	(4, 0.004340029369280315)	(5, 0.005445797174343678)	(6, 0.006501302806449616)	(7, 0.007362315682328993)	(8, 0.009267907630975738)	(9, 0.011370177647716757)	(10, 0.014284291023313585)	(12, 0.016417155406202602)	(14, 0.019347658620807284)	(16, 0.02236666696605439)	(18, 0.025181348651670224)	(20, 0.02816757731890162)	(22, 0.03100629743506231)	(24, 0.033859222078363144)	(26, 0.03637560869403599)	(28, 0.03908539541000155)	(30, 0.04215794389600765)	(32, 0.04508298383094305)	(34, 0.04775343493328975)	(36, 0.050660992373283434)	(38, 0.05436618864499279)	(40, 0.05772173501786787)	(42, 0.060664257447744986)	(44, 0.0638154771609888)	(46, 0.06681591035536033)	(48, 0.07002504083309857)	(50, 0.07351061326210266)	(52, 0.07669351999742832)	(54, 0.07974203005288957)	(56, 0.08266925529969268)	(58, 0.0855735347718848)	(60, 0.08880124040049861)	(62, 0.09201692681384)	(64, 0.09516377590334837)	(66, 0.09993431171056838)	(68, 0.10613622679114115)	(70, 0.10994413272063308)	(72, 0.11313031742376031)	(74, 0.1162006805978987)	(76, 0.11930054548225125)	(78, 0.12228240352574721)	(80, 0.12539210231350445)	(82, 0.1286165299743167)	(84, 0.13158090552287094)	(86, 0.13485887332444219)	(88, 0.13798386929527343)	(90, 0.1411339963525834)	(92, 0.14412568829948405)	(94, 0.1473162436263467)	(96, 0.15061715720252897)	(98, 0.15411256353493774)	(100, 0.15795106383057766)	(102, 0.16151967811055487)	(104, 0.16455835426261142)	(106, 0.16759047447906483)	(108, 0.17034068946458308)	(110, 0.17303408634154077)	(112, 0.17583784146781803)	(114, 0.17879019780109986)	(116, 0.18181357677008242)	(118, 0.18491016368663335)	(120, 0.1880045652913166)	(122, 0.19126177263014454)	(124, 0.1948478694050635)	(126, 0.19851373006315398)	(128, 0.2018244775427409)	(130, 0.20509588940870904)	(132, 0.20833998487633068)	(134, 0.21128359996214163)	(136, 0.21434849985661075)	(138, 0.21727135447967844)
D3_2 - polyg	(1, 0.06892910693143993)	(2, 0.07281896205597113)	(3, 0.0738963208067542)	(4, 0.0744666872042276)	(5, 0.07481196647932643)	(6, 0.0751616163781607)	(7, 0.0756096053110421)	(8, 0.07623460450520836)	(9, 0.07709124675735231)	(10, 0.07804732069947724)	(12, 0.07991794765824056)	(14, 0.08132856646885006)	(16, 0.08213385389210272)	(18, 0.08278835479648311)	(20, 0.08338494493636908)	(22, 0.0839039565049512)	(24, 0.08445793306341673)	(26, 0.08507309835417826)	(28, 0.08566859583813036)	(30, 0.08625863004241319)	(32, 0.08681806988054802)	(34, 0.0873731390949474)	(36, 0.08795771001956094)	(38, 0.08860784030020591)	(40, 0.0891935038807533)	(42, 0.08975731434262355)	(44, 0.0902828818468088)	(46, 0.09086526745955463)	(48, 0.09140722480274774)	(50, 0.09194808949000699)	(52, 0.09248130558572926)	(54, 0.09296644482036179)	(56, 0.09347671514147304)	(58, 0.0940405256033433)	(60, 0.09464585699070012)	(62, 0.09518016574235624)	(64, 0.09568169481599663)	(66, 0.09620616966424803)	(68, 0.09676998012611829)	(70, 0.09732941996425311)	(72, 0.09780800326328251)	(74, 0.09833357076746777)	(76, 0.09889191794966873)	(78, 0.09958356915580026)	(80, 0.10100402186981446)	(82, 0.1026451910824678)	(84, 0.10444042478179497)	(86, 0.10647276481876913)	(88, 0.1087498597849273)	(90, 0.11133399106849928)	(92, 0.11391375172833584)	(94, 0.11650006832377555)	(96, 0.1190262888428531)	(98, 0.12109577918157842)	(100, 0.12300574175396059)	(102, 0.12472886016165322)	(104, 0.1261799072418154)	(106, 0.12764078822538233)	(108, 0.12911696639202322)	(110, 0.13067509375370343)	(112, 0.13218842222209548)	(114, 0.1338831315755078)	(116, 0.1361394660789227)	(118, 0.13921966315646578)	(120, 0.14289863568576255)	(122, 0.14671637551865918)	(124, 0.1515273395954319)	(126, 0.1583422346548985)	(128, 0.16745389248733267)	(130, 0.17813678955265333)	(132, 0.18952772766311338)	(134, 0.2034874998740714)	(136, 0.22174687318475705)	(138, 0.24616008471492573)
