Sample	Reads passing filters
D1_1	44169917.0
D1_2	44169917.0
D2_1	41147325.0
D2_2	41147325.0
D3_1	45760059.0
D3_2	45760059.0
D4_1	34131858.0
D4_2	34131858.0
D5_1	46424882.0
D5_2	46424882.0
D6_1	45178447.0
D6_2	45178447.0
D7_1	46424193.0
D7_2	46424193.0
D8_1	31264138.0
D8_2	31264138.0
D9_1	45919571.0
D9_2	45919571.0
