## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D2.sorted.bam --OUTPUT D2.markdup.sorted.bam --METRICS_FILE D2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 10:50:21 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	7144	40697990	7700575	0	5830	11335908	1921470	0.278584	66327405

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.035948	23748117	0	24961938
2.0	1.596813	3890170	1560330	3010216
3.0	1.900466	884595	132087	658345
4.0	2.064865	317614	17796	262297
5.0	2.153871	156887	4268	136689
6.0	2.202059	91101	1578	81675
7.0	2.228148	59351	773	54043
8.0	2.242273	41457	447	37991
9.0	2.24992	30092	268	27381
10.0	2.25406	22542	190	20789
11.0	2.256301	17519	126	15971
12.0	2.257515	13704	99	12718
13.0	2.258172	11142	45	10272
14.0	2.258528	9201	46	8380
15.0	2.25872	7563	37	7093
16.0	2.258825	6386	29	5781
17.0	2.258881	5325	18	4945
18.0	2.258912	4465	16	4166
19.0	2.258928	4055	14	3782
20.0	2.258937	3654	12	3364
21.0	2.258942	3148	3	2761
22.0	2.258945	2629	7	2505
23.0	2.258946	2339	2	2171
24.0	2.258947	2163	7	2070
25.0	2.258947	1862	1	1687
26.0	2.258947	1723	8	1569
27.0	2.258947	1555	2	1394
28.0	2.258948	1351	4	1344
29.0	2.258948	1326	6	1236
30.0	2.258948	1123	3	997
31.0	2.258948	1071	0	920
32.0	2.258948	950	2	904
33.0	2.258948	883	1	838
34.0	2.258948	817	2	752
35.0	2.258948	756	0	710
36.0	2.258948	720	1	692
37.0	2.258948	644	1	613
38.0	2.258948	616	1	544
39.0	2.258948	566	0	526
40.0	2.258948	537	0	507
41.0	2.258948	516	1	449
42.0	2.258948	462	0	419
43.0	2.258948	409	0	395
44.0	2.258948	426	1	386
45.0	2.258948	341	0	346
46.0	2.258948	359	0	309
47.0	2.258948	345	1	297
48.0	2.258948	302	0	297
49.0	2.258948	291	0	280
50.0	2.258948	301	0	256
51.0	2.258948	234	0	232
52.0	2.258948	237	0	224
53.0	2.258948	239	0	234
54.0	2.258948	231	0	187
55.0	2.258948	213	0	190
56.0	2.258948	202	0	172
57.0	2.258948	171	0	168
58.0	2.258948	198	0	177
59.0	2.258948	169	0	146
60.0	2.258948	153	0	154
61.0	2.258948	149	0	117
62.0	2.258948	136	0	119
63.0	2.258948	149	0	156
64.0	2.258948	123	0	123
65.0	2.258948	124	0	111
66.0	2.258948	126	0	110
67.0	2.258948	114	0	103
68.0	2.258948	116	1	109
69.0	2.258948	109	0	92
70.0	2.258948	97	0	96
71.0	2.258948	95	0	69
72.0	2.258948	90	0	77
73.0	2.258948	96	0	86
74.0	2.258948	62	0	82
75.0	2.258948	65	0	62
76.0	2.258948	86	0	77
77.0	2.258948	76	0	64
78.0	2.258948	60	0	65
79.0	2.258948	83	0	71
80.0	2.258948	61	0	61
81.0	2.258948	70	0	68
82.0	2.258948	57	0	57
83.0	2.258948	74	0	61
84.0	2.258948	48	0	57
85.0	2.258948	63	0	48
86.0	2.258948	48	0	52
87.0	2.258948	58	0	58
88.0	2.258948	58	0	39
89.0	2.258948	48	0	47
90.0	2.258948	42	0	39
91.0	2.258948	48	0	44
92.0	2.258948	41	0	44
93.0	2.258948	38	0	42
94.0	2.258948	54	0	39
95.0	2.258948	42	0	36
96.0	2.258948	37	0	42
97.0	2.258948	40	0	28
98.0	2.258948	34	0	31
99.0	2.258948	45	0	30
100.0	2.258948	39	0	27
101.0	0	29	0	38
102.0	0	15	0	30
103.0	0	32	0	33
104.0	0	34	0	33
105.0	0	24	0	20
106.0	0	39	0	26
107.0	0	33	0	34
108.0	0	28	0	26
109.0	0	27	0	16
110.0	0	20	0	26
111.0	0	31	0	22
112.0	0	29	0	21
113.0	0	16	0	19
114.0	0	25	0	23
115.0	0	19	0	26
116.0	0	28	0	26
117.0	0	19	0	12
118.0	0	21	0	16
119.0	0	25	0	17
120.0	0	22	0	23
121.0	0	14	0	18
122.0	0	21	0	14
123.0	0	18	0	18
124.0	0	13	0	22
125.0	0	17	0	20
126.0	0	24	0	14
127.0	0	18	0	22
128.0	0	18	0	23
129.0	0	17	0	13
130.0	0	18	0	15
131.0	0	21	0	13
132.0	0	17	0	10
133.0	0	18	0	17
134.0	0	14	0	17
135.0	0	10	0	13
136.0	0	16	0	7
137.0	0	11	0	12
138.0	0	14	0	17
139.0	0	15	0	12
140.0	0	18	0	11
141.0	0	15	0	6
142.0	0	13	0	7
143.0	0	10	0	10
144.0	0	8	0	6
145.0	0	5	0	10
146.0	0	14	0	18
147.0	0	7	0	16
148.0	0	5	0	12
149.0	0	12	0	5
150.0	0	13	0	7
151.0	0	11	0	7
152.0	0	14	0	11
153.0	0	8	0	9
154.0	0	9	0	16
155.0	0	12	0	6
156.0	0	9	0	5
157.0	0	9	0	18
158.0	0	7	0	9
159.0	0	9	0	9
160.0	0	8	0	7
161.0	0	10	0	11
162.0	0	8	0	7
163.0	0	5	0	8
164.0	0	8	0	5
165.0	0	8	0	5
166.0	0	15	0	5
167.0	0	4	0	2
168.0	0	11	0	5
169.0	0	3	0	6
170.0	0	6	0	7
171.0	0	8	0	2
172.0	0	9	0	4
173.0	0	6	0	6
174.0	0	4	0	4
175.0	0	3	0	16
176.0	0	5	0	4
177.0	0	5	0	3
178.0	0	8	0	2
179.0	0	5	0	9
180.0	0	6	0	3
181.0	0	6	0	6
182.0	0	6	0	8
183.0	0	6	0	4
184.0	0	4	0	5
185.0	0	6	0	3
186.0	0	5	0	7
187.0	0	1	0	4
188.0	0	7	0	3
189.0	0	2	0	4
190.0	0	5	0	6
191.0	0	4	0	5
192.0	0	6	0	3
193.0	0	6	0	7
194.0	0	5	0	6
195.0	0	3	0	2
196.0	0	7	0	5
197.0	0	5	0	2
198.0	0	5	0	4
199.0	0	5	0	0
200.0	0	5	0	4
201.0	0	0	0	5
202.0	0	5	0	8
203.0	0	4	0	4
204.0	0	4	0	3
205.0	0	7	0	1
206.0	0	5	0	2
207.0	0	4	0	5
208.0	0	1	0	0
209.0	0	4	0	2
210.0	0	1	0	2
211.0	0	2	0	3
212.0	0	0	0	4
213.0	0	3	0	3
214.0	0	3	0	1
215.0	0	4	0	4
216.0	0	2	0	2
217.0	0	5	0	0
218.0	0	2	0	3
219.0	0	3	0	1
220.0	0	4	0	1
221.0	0	4	0	3
222.0	0	2	0	2
223.0	0	2	0	2
224.0	0	0	0	3
225.0	0	3	0	1
226.0	0	2	0	0
227.0	0	1	0	0
228.0	0	0	0	3
229.0	0	1	0	0
230.0	0	0	0	1
231.0	0	0	0	3
232.0	0	3	0	1
233.0	0	2	0	1
235.0	0	6	0	1
236.0	0	2	0	1
237.0	0	0	0	3
238.0	0	3	0	0
239.0	0	0	0	3
240.0	0	0	0	2
241.0	0	1	0	3
242.0	0	1	0	1
243.0	0	2	0	2
244.0	0	3	0	0
245.0	0	2	0	1
246.0	0	1	0	1
247.0	0	3	0	4
248.0	0	2	0	0
249.0	0	0	0	4
250.0	0	1	0	3
251.0	0	1	0	3
252.0	0	1	0	4
253.0	0	3	0	2
254.0	0	0	0	1
255.0	0	1	0	0
256.0	0	1	0	2
257.0	0	2	0	1
258.0	0	4	0	1
259.0	0	3	0	1
260.0	0	2	0	2
261.0	0	1	0	0
262.0	0	2	0	3
263.0	0	4	0	0
264.0	0	0	0	1
265.0	0	1	0	2
266.0	0	3	0	1
267.0	0	0	0	2
268.0	0	1	0	3
269.0	0	2	0	0
270.0	0	2	0	3
271.0	0	1	0	2
272.0	0	3	0	2
273.0	0	4	0	0
274.0	0	1	0	1
275.0	0	1	0	0
276.0	0	1	0	1
277.0	0	1	0	0
278.0	0	2	0	0
279.0	0	1	0	2
281.0	0	1	0	1
282.0	0	0	0	3
283.0	0	0	0	1
285.0	0	1	0	0
287.0	0	1	0	1
289.0	0	0	0	1
