## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D9.sorted.bam --OUTPUT D9.markdup.sorted.bam --METRICS_FILE D9.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 04:21:48 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	7590	45467768	8408579	0	6099	12492773	2727946	0.274805	78666954

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.047227	26266624	0	27987267
2.0	1.634754	4744922	2151586	3537671
3.0	1.964376	1072574	211108	720296
4.0	2.149304	361429	29552	273619
5.0	2.253055	168932	6613	138892
6.0	2.311262	95472	2339	81730
7.0	2.343918	60633	1137	53245
8.0	2.362239	41247	599	36479
9.0	2.372518	29479	393	26274
10.0	2.378285	22276	270	19839
11.0	2.38152	16996	170	14885
12.0	2.383335	13330	125	11984
13.0	2.384353	10634	89	9574
14.0	2.384925	8685	80	7754
15.0	2.385245	7017	43	6303
16.0	2.385425	5979	31	5204
17.0	2.385526	4875	43	4457
18.0	2.385582	4220	34	3875
19.0	2.385614	3746	20	3328
20.0	2.385632	3093	22	2749
21.0	2.385642	2751	20	2544
22.0	2.385648	2429	6	2189
23.0	2.385651	2155	6	1886
24.0	2.385653	1898	9	1743
25.0	2.385654	1729	7	1588
26.0	2.385654	1586	4	1386
27.0	2.385654	1434	6	1278
28.0	2.385655	1289	5	1199
29.0	2.385655	1112	3	1042
30.0	2.385655	1018	2	932
31.0	2.385655	956	2	851
32.0	2.385655	886	0	799
33.0	2.385655	780	3	715
34.0	2.385655	781	4	672
35.0	2.385655	660	2	597
36.0	2.385655	612	0	510
37.0	2.385655	586	0	536
38.0	2.385655	574	1	470
39.0	2.385655	501	1	420
40.0	2.385655	416	1	411
41.0	2.385655	375	0	363
42.0	2.385655	395	1	342
43.0	2.385655	367	1	336
44.0	2.385655	325	1	310
45.0	2.385655	313	0	286
46.0	2.385655	311	0	276
47.0	2.385655	276	0	262
48.0	2.385655	276	0	234
49.0	2.385655	241	0	244
50.0	2.385655	255	0	206
51.0	2.385655	222	1	205
52.0	2.385655	220	0	190
53.0	2.385655	205	1	166
54.0	2.385655	178	1	169
55.0	2.385655	178	0	171
56.0	2.385655	172	0	144
57.0	2.385655	160	0	147
58.0	2.385655	163	0	141
59.0	2.385655	151	0	136
60.0	2.385655	127	1	120
61.0	2.385655	146	0	93
62.0	2.385655	108	0	121
63.0	2.385655	123	0	100
64.0	2.385655	117	0	94
65.0	2.385655	92	0	95
66.0	2.385655	89	0	83
67.0	2.385655	88	0	86
68.0	2.385655	80	0	92
69.0	2.385655	99	0	80
70.0	2.385655	95	0	60
71.0	2.385655	74	0	86
72.0	2.385655	75	0	63
73.0	2.385655	88	0	78
74.0	2.385655	73	0	69
75.0	2.385655	70	0	63
76.0	2.385655	65	0	69
77.0	2.385655	71	0	80
78.0	2.385655	69	0	44
