## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D7.sorted.bam --OUTPUT D7.markdup.sorted.bam --METRICS_FILE D7.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 11:26:15 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	8496	45854928	8235533	0	6912	12411405	2707956	0.270717	80930096

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.046725	26875319	0	28606739
2.0	1.64069	4632427	2143883	3389161
3.0	1.977737	1039007	207096	705004
4.0	2.168995	358349	28579	276178
5.0	2.277525	169848	6422	141059
6.0	2.339111	96468	2372	83221
7.0	2.374057	61999	1106	54405
8.0	2.393888	42229	639	37289
9.0	2.405141	30473	373	27013
10.0	2.411526	22555	246	20409
11.0	2.41515	17268	178	15204
12.0	2.417206	13521	111	12257
13.0	2.418373	11020	86	9811
14.0	2.419035	8924	58	8118
15.0	2.419411	7268	48	6550
16.0	2.419624	6212	48	5562
17.0	2.419745	5314	25	4778
18.0	2.419813	4431	29	3926
19.0	2.419852	3759	23	3417
20.0	2.419874	3347	18	2961
21.0	2.419887	2819	9	2496
22.0	2.419894	2474	12	2164
23.0	2.419898	2147	9	2048
24.0	2.4199	2006	7	1844
25.0	2.419902	1711	8	1558
26.0	2.419902	1630	6	1442
27.0	2.419903	1454	5	1340
28.0	2.419903	1322	4	1196
29.0	2.419903	1209	1	1042
30.0	2.419903	1081	3	974
31.0	2.419903	944	2	881
32.0	2.419903	910	2	841
33.0	2.419903	799	1	690
34.0	2.419903	718	0	676
35.0	2.419903	706	2	654
36.0	2.419903	646	1	547
37.0	2.419903	568	0	521
38.0	2.419903	530	0	497
39.0	2.419903	476	0	484
40.0	2.419903	498	0	420
41.0	2.419903	457	0	393
42.0	2.419903	406	2	350
43.0	2.419903	407	1	342
44.0	2.419903	383	0	340
45.0	2.419903	335	1	308
46.0	2.419903	314	1	256
47.0	2.419903	311	2	273
48.0	2.419903	273	0	268
49.0	2.419903	249	0	250
50.0	2.419903	229	0	243
51.0	2.419903	239	0	210
52.0	2.419903	235	0	207
53.0	2.419903	242	0	185
54.0	2.419903	202	0	178
55.0	2.419903	188	0	199
56.0	2.419903	199	0	162
57.0	2.419903	160	0	155
58.0	2.419903	147	1	137
59.0	2.419903	141	0	126
60.0	2.419903	157	0	130
61.0	2.419903	152	0	117
62.0	2.419903	118	0	109
63.0	2.419903	124	0	104
64.0	2.419903	106	0	88
65.0	2.419903	123	0	86
66.0	2.419903	89	1	79
67.0	2.419903	81	0	75
68.0	2.419903	91	0	82
69.0	2.419903	87	0	89
70.0	2.419903	74	0	81
71.0	2.419903	87	0	84
72.0	2.419903	84	0	79
73.0	2.419903	67	0	57
74.0	2.419903	82	0	57
75.0	2.419903	60	0	68
76.0	2.419903	53	0	65
77.0	2.419903	59	0	49
78.0	2.419903	63	0	53
79.0	2.419903	60	0	65
80.0	2.419903	54	0	56
81.0	2.419903	61	0	54
82.0	2.419903	57	0	53
83.0	2.419903	58	0	49
84.0	2.419903	54	0	52
85.0	2.419903	54	0	47
86.0	2.419903	58	0	33
87.0	2.419903	47	0	41
88.0	2.419903	43	0	48
89.0	2.419903	63	0	36
90.0	2.419903	39	1	39
91.0	2.419903	34	0	41
92.0	2.419903	56	1	37
93.0	2.419903	27	0	31
94.0	2.419903	42	0	52
95.0	2.419903	38	0	31
96.0	2.419903	33	0	28
97.0	2.419903	53	0	19
98.0	2.419903	21	0	42
99.0	2.419903	37	0	23
100.0	2.419903	30	0	20
101.0	0	29	0	29
102.0	0	34	0	20
103.0	0	20	0	18
104.0	0	23	0	22
105.0	0	22	0	25
106.0	0	21	0	14
107.0	0	17	0	20
108.0	0	24	0	16
109.0	0	21	0	29
110.0	0	22	0	23
111.0	0	19	0	18
112.0	0	19	1	13
113.0	0	23	0	20
114.0	0	20	0	16
115.0	0	19	0	21
116.0	0	25	0	28
117.0	0	21	0	19
118.0	0	21	0	18
119.0	0	13	0	16
120.0	0	18	0	20
121.0	0	13	0	10
122.0	0	28	0	13
123.0	0	16	0	17
124.0	0	15	0	8
125.0	0	15	0	13
126.0	0	9	0	18
127.0	0	15	0	15
128.0	0	18	0	17
129.0	0	14	0	5
130.0	0	13	0	14
131.0	0	14	0	12
132.0	0	13	0	13
133.0	0	10	0	9
134.0	0	9	0	15
135.0	0	12	0	10
136.0	0	12	0	16
137.0	0	16	0	7
138.0	0	10	0	7
139.0	0	9	0	11
140.0	0	8	0	10
141.0	0	14	0	16
142.0	0	11	0	7
143.0	0	10	0	6
144.0	0	7	0	15
145.0	0	8	0	8
146.0	0	9	0	8
147.0	0	7	0	10
148.0	0	10	0	7
149.0	0	9	0	5
150.0	0	11	0	6
151.0	0	10	0	5
152.0	0	10	0	11
153.0	0	7	0	6
154.0	0	10	0	7
155.0	0	7	0	9
156.0	0	7	0	11
157.0	0	6	0	5
158.0	0	14	0	9
159.0	0	11	0	11
160.0	0	8	0	6
161.0	0	9	0	3
162.0	0	8	0	3
163.0	0	7	0	2
164.0	0	5	0	2
165.0	0	11	0	6
166.0	0	9	0	9
167.0	0	3	0	5
168.0	0	7	0	8
169.0	0	1	0	4
170.0	0	3	0	2
171.0	0	5	0	4
172.0	0	3	0	8
173.0	0	1	0	2
174.0	0	7	0	2
175.0	0	3	0	4
