## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D4.sorted.bam --OUTPUT D4.markdup.sorted.bam --METRICS_FILE D4.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 11:33:52 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5951	33764753	6280119	0	4652	8370898	1734640	0.247965	66204406

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.041561	20859607	0	22017850
2.0	1.667009	3240392	1419341	2378389
3.0	2.042585	697696	120860	491703
4.0	2.268115	238363	15096	189878
5.0	2.403544	113766	3084	97114
6.0	2.484868	64893	1110	57315
7.0	2.533702	41326	463	36887
8.0	2.563027	28108	254	24992
9.0	2.580636	20056	147	18158
10.0	2.59121	14961	118	13630
11.0	2.597559	11542	61	10330
12.0	2.601372	9114	50	8276
13.0	2.603662	7073	32	6469
14.0	2.605037	5860	23	5365
15.0	2.605862	4804	19	4457
16.0	2.606358	4042	15	3600
17.0	2.606656	3245	13	3068
18.0	2.606835	2891	13	2569
19.0	2.606942	2512	10	2237
20.0	2.607007	2181	4	1972
21.0	2.607045	1872	5	1766
22.0	2.607068	1627	4	1526
23.0	2.607082	1485	2	1368
24.0	2.607091	1281	2	1134
25.0	2.607096	1157	5	1010
26.0	2.607099	990	1	917
27.0	2.607101	923	1	839
28.0	2.607102	837	0	784
29.0	2.607102	715	0	657
30.0	2.607103	672	0	624
31.0	2.607103	627	1	558
32.0	2.607103	560	0	530
33.0	2.607103	517	0	466
34.0	2.607103	488	0	416
35.0	2.607103	435	1	394
36.0	2.607103	400	0	361
37.0	2.607103	369	0	348
38.0	2.607103	326	0	318
39.0	2.607103	274	0	243
40.0	2.607103	303	0	261
41.0	2.607103	274	0	269
42.0	2.607103	276	1	218
43.0	2.607103	212	1	220
44.0	2.607103	222	0	205
45.0	2.607103	229	0	204
46.0	2.607103	196	0	171
47.0	2.607103	162	0	166
48.0	2.607103	177	0	140
49.0	2.607103	173	0	174
50.0	2.607103	148	0	131
51.0	2.607103	148	0	122
52.0	2.607103	138	0	119
53.0	2.607103	121	0	114
54.0	2.607103	118	0	113
55.0	2.607103	113	0	107
56.0	2.607103	113	0	94
57.0	2.607103	99	0	91
58.0	2.607103	76	0	77
59.0	2.607103	96	0	86
60.0	2.607103	73	0	68
61.0	2.607103	84	0	75
62.0	2.607103	79	0	69
63.0	2.607103	69	0	58
64.0	2.607103	75	0	70
65.0	2.607103	62	0	59
66.0	2.607103	58	0	61
67.0	2.607103	57	0	43
68.0	2.607103	53	0	51
69.0	2.607103	58	0	53
70.0	2.607103	51	0	39
71.0	2.607103	56	0	47
72.0	2.607103	48	0	47
73.0	2.607103	44	0	41
74.0	2.607103	43	0	46
75.0	2.607103	38	0	46
76.0	2.607103	46	0	42
77.0	2.607103	33	0	31
78.0	2.607103	42	0	38
79.0	2.607103	42	0	41
80.0	2.607103	49	0	45
81.0	2.607103	46	0	38
82.0	2.607103	31	0	32
83.0	2.607103	38	0	38
84.0	2.607103	30	0	31
85.0	2.607103	41	0	34
86.0	2.607103	30	0	37
87.0	2.607103	30	0	26
88.0	2.607103	28	0	19
89.0	2.607103	36	0	29
90.0	2.607103	24	0	28
91.0	2.607103	29	0	25
92.0	2.607103	26	0	21
93.0	2.607103	27	0	28
94.0	2.607103	29	0	22
95.0	2.607103	33	0	17
96.0	2.607103	20	0	19
97.0	2.607103	28	0	10
98.0	2.607103	14	0	19
99.0	2.607103	14	0	14
100.0	2.607103	22	0	18
101.0	0	11	0	17
102.0	0	15	0	12
103.0	0	14	0	17
104.0	0	13	0	14
105.0	0	12	0	19
106.0	0	12	0	11
107.0	0	11	0	18
108.0	0	13	0	14
109.0	0	21	0	17
110.0	0	16	0	11
111.0	0	23	0	12
112.0	0	9	0	13
113.0	0	16	0	10
114.0	0	10	0	9
115.0	0	14	0	14
116.0	0	13	0	12
117.0	0	10	0	9
118.0	0	14	0	9
119.0	0	7	0	13
120.0	0	9	0	7
121.0	0	9	0	15
122.0	0	10	0	11
123.0	0	13	0	4
124.0	0	10	0	8
125.0	0	8	0	7
126.0	0	11	0	6
127.0	0	8	0	8
128.0	0	11	0	6
129.0	0	9	0	10
130.0	0	13	0	6
131.0	0	7	0	3
132.0	0	5	0	5
133.0	0	3	0	5
134.0	0	4	0	8
135.0	0	10	0	8
136.0	0	4	0	8
137.0	0	5	0	7
138.0	0	6	0	8
139.0	0	7	0	4
140.0	0	6	0	6
141.0	0	5	0	6
142.0	0	7	0	3
143.0	0	9	0	6
144.0	0	5	0	11
145.0	0	9	0	3
146.0	0	5	0	7
147.0	0	8	0	4
148.0	0	2	0	2
149.0	0	6	0	4
150.0	0	7	0	2
151.0	0	5	0	7
152.0	0	3	0	2
153.0	0	4	0	7
154.0	0	5	0	8
155.0	0	5	0	3
156.0	0	3	0	4
157.0	0	5	0	2
158.0	0	3	0	2
159.0	0	4	0	2
160.0	0	7	0	2
161.0	0	4	0	2
162.0	0	3	0	4
163.0	0	3	0	9
164.0	0	4	0	1
165.0	0	2	0	1
166.0	0	5	0	6
167.0	0	0	0	3
168.0	0	2	0	2
169.0	0	5	0	2
170.0	0	2	0	3
171.0	0	3	0	2
172.0	0	2	0	2
173.0	0	1	0	1
174.0	0	3	0	1
175.0	0	4	0	2
176.0	0	2	0	2
177.0	0	2	0	1
178.0	0	2	0	2
179.0	0	5	0	3
180.0	0	1	0	3
181.0	0	2	0	0
182.0	0	3	0	0
183.0	0	1	0	3
184.0	0	1	0	3
185.0	0	1	0	3
186.0	0	2	0	1
188.0	0	2	0	2
189.0	0	0	0	2
190.0	0	2	0	0
191.0	0	2	0	2
192.0	0	2	0	1
193.0	0	3	0	1
194.0	0	1	0	2
195.0	0	1	0	1
196.0	0	1	0	2
197.0	0	2	0	0
198.0	0	2	0	2
199.0	0	2	0	1
200.0	0	1	0	0
201.0	0	1	0	1
202.0	0	1	0	2
203.0	0	0	0	1
204.0	0	2	0	0
205.0	0	0	0	1
206.0	0	1	0	1
207.0	0	0	0	2
208.0	0	2	0	1
209.0	0	2	0	1
210.0	0	1	0	2
211.0	0	1	0	3
212.0	0	4	0	1
213.0	0	2	0	1
214.0	0	2	0	1
215.0	0	0	0	1
216.0	0	1	0	1
217.0	0	1	0	0
218.0	0	1	0	1
219.0	0	2	0	1
220.0	0	3	0	2
222.0	0	1	0	1
223.0	0	2	0	1
224.0	0	0	0	2
225.0	0	0	0	1
226.0	0	0	0	2
227.0	0	1	0	2
230.0	0	2	0	1
231.0	0	1	0	0
232.0	0	2	0	1
233.0	0	0	0	4
234.0	0	0	0	3
235.0	0	0	0	2
236.0	0	3	0	0
237.0	0	3	0	0
239.0	0	1	0	0
240.0	0	2	0	1
241.0	0	2	0	2
243.0	0	1	0	0
245.0	0	0	0	1
246.0	0	1	0	0
247.0	0	3	0	0
248.0	0	0	0	1
249.0	0	1	0	1
250.0	0	2	0	1
251.0	0	1	0	2
252.0	0	1	0	2
253.0	0	0	0	1
254.0	0	0	0	1
256.0	0	1	0	1
257.0	0	1	0	1
260.0	0	0	0	2
261.0	0	0	0	3
262.0	0	3	0	1
263.0	0	1	0	0
264.0	0	2	0	0
266.0	0	0	0	1
268.0	0	1	0	0
269.0	0	1	0	1
270.0	0	1	0	0
271.0	0	2	0	2
274.0	0	3	0	0
275.0	0	1	0	2
276.0	0	0	0	1
279.0	0	0	0	1
280.0	0	2	0	1
282.0	0	1	0	0
287.0	0	0	0	1
288.0	0	2	0	0
289.0	0	0	0	1
291.0	0	1	0	0
292.0	0	0	0	1
293.0	0	1	0	1
295.0	0	1	0	0
298.0	0	0	0	1
299.0	0	1	0	1
300.0	0	2	0	0
304.0	0	2	0	2
305.0	0	0	0	1
306.0	0	1	0	0
307.0	0	1	0	0
310.0	0	0	0	1
312.0	0	0	0	1
317.0	0	1	0	1
318.0	0	1	0	0
320.0	0	0	0	1
321.0	0	0	0	1
325.0	0	1	0	0
326.0	0	1	0	0
327.0	0	1	0	0
329.0	0	1	0	0
330.0	0	1	0	1
334.0	0	1	0	0
335.0	0	0	0	1
339.0	0	0	0	1
341.0	0	0	0	1
342.0	0	1	0	0
344.0	0	1	0	0
349.0	0	1	0	0
352.0	0	0	0	1
353.0	0	0	0	1
357.0	0	2	0	1
364.0	0	1	0	0
368.0	0	1	0	0
373.0	0	0	0	1
382.0	0	0	0	1
384.0	0	0	0	1
387.0	0	1	0	0
389.0	0	0	0	1
395.0	0	3	0	0
401.0	0	0	0	1
402.0	0	0	0	1
413.0	0	0	0	1
416.0	0	0	0	2
421.0	0	2	0	0
423.0	0	1	0	0
425.0	0	0	0	1
426.0	0	1	0	0
433.0	0	1	0	0
434.0	0	1	0	0
435.0	0	0	0	1
438.0	0	0	0	1
439.0	0	0	0	1
449.0	0	1	0	0
450.0	0	0	0	1
453.0	0	1	0	0
455.0	0	1	0	0
469.0	0	1	0	0
470.0	0	0	0	1
483.0	0	1	0	0
495.0	0	0	0	1
516.0	0	0	0	1
536.0	0	1	0	0
550.0	0	1	0	0
627.0	0	0	0	1
641.0	0	1	0	0
651.0	0	0	0	1
672.0	0	1	0	0

