## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D1.sorted.bam --OUTPUT D1.markdup.sorted.bam --METRICS_FILE D1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 04:23:29 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	8238	43759311	7844272	0	6776	12327831	2341850	0.28177	71444793

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
132.0	0	21	0	20
133.0	0	12	0	16
134.0	0	19	0	19
135.0	0	15	0	13
136.0	0	15	0	18
137.0	0	10	0	15
138.0	0	11	0	12
139.0	0	20	0	5
140.0	0	17	0	11
141.0	0	15	0	13
142.0	0	6	0	7
143.0	0	20	0	9
144.0	0	9	0	13
145.0	0	6	0	10
146.0	0	6	0	13
147.0	0	11	0	12
148.0	0	11	0	8
149.0	0	13	0	13
150.0	0	22	0	8
151.0	0	10	0	13
152.0	0	8	0	7
153.0	0	7	0	11
154.0	0	5	0	10
155.0	0	14	0	5
156.0	0	11	0	9
157.0	0	7	0	11
158.0	0	4	0	12
159.0	0	6	0	10
160.0	0	9	0	5
161.0	0	13	0	7
162.0	0	6	0	10
163.0	0	15	0	9
164.0	0	3	0	9
165.0	0	14	0	13
166.0	0	11	0	4
167.0	0	9	0	5
168.0	0	6	0	8
169.0	0	9	0	4
170.0	0	10	0	8
171.0	0	8	0	6
172.0	0	6	0	6
173.0	0	8	0	5
174.0	0	11	0	2
175.0	0	6	0	6
176.0	0	6	0	4
177.0	0	0	0	7
178.0	0	5	0	6
179.0	0	5	0	4
180.0	0	6	0	6
181.0	0	7	0	3
182.0	0	4	0	6
183.0	0	5	0	2
184.0	0	8	0	6
185.0	0	4	0	5
186.0	0	6	0	6
187.0	0	7	0	6
188.0	0	4	0	6
189.0	0	2	0	3
190.0	0	5	0	3
191.0	0	4	0	2
192.0	0	3	0	5
193.0	0	3	0	7
194.0	0	4	0	6
195.0	0	6	0	6
196.0	0	5	0	5
197.0	0	5	0	4
198.0	0	3	0	7
199.0	0	5	0	5
200.0	0	2	0	4
201.0	0	3	0	0
202.0	0	9	0	3
203.0	0	4	0	4
204.0	0	8	0	3
205.0	0	5	0	5
206.0	0	6	0	1
207.0	0	2	0	1
208.0	0	2	0	3
209.0	0	2	0	2
210.0	0	3	0	6
211.0	0	2	0	4
212.0	0	6	0	1
213.0	0	3	0	1
214.0	0	4	0	3
215.0	0	3	0	1
216.0	0	3	0	3
217.0	0	3	0	1
218.0	0	1	0	4
219.0	0	1	0	1
220.0	0	2	0	2
221.0	0	0	0	3
222.0	0	4	0	1
223.0	0	1	0	6
224.0	0	3	0	1
225.0	0	2	0	2
226.0	0	2	0	2
227.0	0	2	0	3
228.0	0	3	0	3
229.0	0	2	0	3
230.0	0	0	0	4
231.0	0	2	0	3
232.0	0	0	0	5
233.0	0	4	0	1
234.0	0	2	0	3
235.0	0	2	0	1
236.0	0	4	0	1
237.0	0	4	0	0
238.0	0	4	0	2
239.0	0	1	0	4
240.0	0	3	0	3
241.0	0	2	0	0
242.0	0	5	0	0
243.0	0	2	0	6
244.0	0	2	0	0
245.0	0	1	0	2
246.0	0	4	0	1
247.0	0	2	0	3
248.0	0	2	0	1
249.0	0	3	0	0
250.0	0	1	0	3
251.0	0	6	0	0
252.0	0	3	0	1
253.0	0	0	0	2
254.0	0	3	0	2
255.0	0	2	0	0
256.0	0	1	0	0
258.0	0	1	0	2
259.0	0	1	0	1
260.0	0	1	0	0
261.0	0	0	0	2
262.0	0	0	0	1
263.0	0	2	0	0
264.0	0	1	0	1
265.0	0	0	0	3
266.0	0	2	0	0
267.0	0	2	0	1
268.0	0	2	0	2
269.0	0	3	0	0
270.0	0	0	0	4
272.0	0	2	0	0
273.0	0	2	0	0
274.0	0	3	0	0
275.0	0	2	0	0
276.0	0	0	0	1
277.0	0	0	0	2
278.0	0	1	0	1
280.0	0	1	0	1
281.0	0	3	0	2
282.0	0	0	0	1
283.0	0	2	0	0
284.0	0	1	0	1
285.0	0	1	0	0
286.0	0	1	0	0
288.0	0	0	0	2
289.0	0	0	0	1
290.0	0	0	0	1
291.0	0	1	0	0
292.0	0	1	0	1
293.0	0	0	0	1
294.0	0	1	0	0
295.0	0	2	0	1
296.0	0	0	0	1
297.0	0	1	0	0
298.0	0	0	0	3
299.0	0	2	0	2
300.0	0	2	0	0
301.0	0	0	0	1
303.0	0	1	0	1
304.0	0	1	0	0
305.0	0	1	0	2
307.0	0	0	0	1
308.0	0	1	0	2
311.0	0	2	0	1
313.0	0	1	0	1
315.0	0	1	0	1
316.0	0	0	0	1
317.0	0	1	0	1
319.0	0	1	0	1
320.0	0	1	0	1
321.0	0	1	0	1
323.0	0	0	0	1
324.0	0	2	0	0
325.0	0	2	0	1
326.0	0	1	0	0
327.0	0	1	0	0
328.0	0	1	0	2
329.0	0	1	0	0
330.0	0	0	0	1
332.0	0	0	0	1
333.0	0	1	0	1
334.0	0	1	0	2
336.0	0	1	0	1
337.0	0	2	0	0
341.0	0	1	0	0
342.0	0	1	0	0
346.0	0	1	0	3
347.0	0	1	0	2
348.0	0	1	0	0
352.0	0	1	0	0
355.0	0	0	0	2
357.0	0	1	0	1
358.0	0	1	0	0
359.0	0	2	0	1
360.0	0	1	0	0
363.0	0	1	0	1
364.0	0	0	0	1
365.0	0	1	0	0
367.0	0	0	0	1
370.0	0	0	0	1
371.0	0	0	0	1
373.0	0	1	0	0
374.0	0	1	0	0
375.0	0	0	0	1
376.0	0	0	0	1
377.0	0	3	0	1
378.0	0	0	0	2
379.0	0	1	0	0
381.0	0	1	0	0
383.0	0	0	0	1
385.0	0	0	0	1
386.0	0	1	0	1
388.0	0	1	0	0
389.0	0	1	0	0
394.0	0	0	0	1
395.0	0	0	0	1
397.0	0	2	0	0
