## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT D8.sorted.bam --OUTPUT D8.markdup.sorted.bam --METRICS_FILE D8.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 20 11:29:56 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5868	30908720	5350962	0	4933	19130613	1438501	0.61896	13190524

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.01239	7203806	0	7557005
2.0	1.109594	2176035	879501	2026079
3.0	1.118928	883219	124642	802696
4.0	1.119824	448033	30303	407911
5.0	1.11991	261678	11801	238970
6.0	1.119918	167762	5992	153905
7.0	1.119919	114678	3613	105629
8.0	1.119919	83195	2313	76521
9.0	1.119919	62307	1561	57690
10.0	1.119919	48294	1191	44874
11.0	1.119919	38408	831	35519
12.0	1.119919	31128	628	28914
13.0	1.119919	25865	504	24062
14.0	1.119919	21781	372	20113
15.0	1.119919	18162	283	17032
16.0	1.119919	15650	292	14489
17.0	1.119919	13628	222	12634
18.0	1.119919	11851	174	11029
19.0	1.119919	10306	141	9705
20.0	1.119919	9335	124	8738
21.0	1.119919	8232	114	7815
22.0	1.119919	7479	106	6866
23.0	1.119919	6771	77	6364
24.0	1.119919	6068	67	5710
25.0	1.119919	5489	55	5127
26.0	1.119919	4996	46	4662
27.0	1.119919	4566	41	4300
28.0	1.119919	4270	60	4022
29.0	1.119919	3876	35	3664
30.0	1.119919	3601	38	3319
31.0	1.119919	3411	37	3188
32.0	1.119919	3099	24	2978
33.0	1.119919	2912	18	2677
34.0	1.119919	2786	23	2571
35.0	1.119919	2466	17	2366
36.0	1.119919	2335	27	2167
37.0	1.119919	2177	21	2052
38.0	1.119919	2044	15	1946
39.0	1.119919	1984	15	1932
40.0	1.119919	1893	10	1762
41.0	1.119919	1781	16	1660
42.0	1.119919	1636	16	1555
43.0	1.119919	1630	8	1518
44.0	1.119919	1502	8	1414
45.0	1.119919	1416	10	1336
46.0	1.119919	1415	9	1260
47.0	1.119919	1265	12	1257
48.0	1.119919	1233	4	1184
49.0	1.119919	1237	3	1174
50.0	1.119919	1128	7	1066
51.0	1.119919	1100	5	1006
52.0	1.119919	1072	4	977
53.0	1.119919	1038	2	954
54.0	1.119919	938	8	899
55.0	1.119919	892	7	856
56.0	1.119919	904	1	858
57.0	1.119919	850	4	820
58.0	1.119919	808	4	758
59.0	1.119919	788	6	725
60.0	1.119919	725	6	714
61.0	1.119919	729	5	652
62.0	1.119919	716	0	631
63.0	1.119919	666	6	649
64.0	1.119919	633	5	596
65.0	1.119919	611	3	598
66.0	1.119919	614	1	609
67.0	1.119919	585	1	552
68.0	1.119919	576	4	528
69.0	1.119919	535	1	508
70.0	1.119919	524	2	471
71.0	1.119919	508	2	434
72.0	1.119919	508	0	461
73.0	1.119919	441	3	459
74.0	1.119919	444	4	409
75.0	1.119919	466	1	449
